window,start_ts,span_us,work_cov_us,wait_cov_us,idle_us,biggest_gap_us,gap_at_off_us,gap_before,gap_after,last_dataready_off_us,fill_end_off_us,listener_start_off_us,wcls_last_dr_off_us,dispatch_first_dr_off_us
34,137717613246227,1880.4,677.8,771.7,430.9,260.2,431.1,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1877.6,1441.8,693.1,697.7,1864.4
35,137717619083742,1129.2,602.1,447.1,79.9,55.0,607.9,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1126.5,1034.3,664.5,672.7,1112.0
36,137717624237395,1071.2,646.8,342.7,81.7,57.5,594.2,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1069.4,975.8,653.1,657.1,1055.8
37,137717629285175,1002.3,561.6,345.9,94.8,66.0,521.9,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1000.3,908.7,589.7,594.4,987.0
38,137717634299675,950.3,566.7,303.8,79.8,53.1,511.7,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,947.7,853.2,577.4,583.5,926.1
39,137717639201341,1050.8,548.2,407.6,95.0,63.0,454.0,rx collecting results@148/0-RX-13,prepare streams@25/0-worker,1048.3,945.3,519.1,535.4,1024.2
40,137717644201149,1340.6,699.2,402.1,239.3,84.0,1223.3,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1338.1,879.2,510.7,516.4,1325.0
41,137717649513561,697.2,116.8,543.9,36.5,11.7,660.0,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,695.0,595.5,81.8,86.6,681.2
42,137717654196078,1011.4,466.9,454.9,89.7,60.0,422.0,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1009.6,919.1,483.5,495.1,996.7
43,137717659193406,1695.1,707.6,716.5,271.0,97.7,1570.9,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1692.7,1200.3,516.9,540.4,1678.6
44,137717664878376,1194.0,322.6,770.3,101.1,50.5,925.5,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,1192.4,925.5,219.7,223.6,1177.8
45,137717670079401,1215.6,727.6,406.1,81.9,50.5,692.5,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1213.5,1115.7,744.4,748.8,1193.9
46,137717675246308,828.5,486.0,254.0,88.5,61.5,436.8,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,826.0,725.8,499.5,502.4,803.9
47,137717680086733,1764.3,672.8,775.8,315.7,173.0,1564.9,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1762.5,1233.0,499.7,520.0,1747.2
