window,start_ts,dur_us,n_slices,n_threads,n_data_ready,n_rope_spans,us:fill_logits_buffer,us:waiting_for_logits,us:notify_listener,us:setup_logits,us:finalize_minibatches,us:construct_minibatches,us:gather_token_data,us:compute_forward_args,us:forward args,us:forward,us:add_tokens,us:finalize_ranges,us:work_queue::do_work get_work,us:poll_dma_completions,us:matmul enqueue,us:Prepare hardware matmul job,us:Launch hardware matmul job,us:legacy hw_prepare,us:legacy tx_launch,us:tx submitting activation DMA request,us:rx collecting results,us:data ready,us:Rope Q,us:Free scratchpads,us:other
0,137717438590913,1620.25,222,10,24,0,544.526,180.319,565.85,0.901,1.254,5.735,0.757,23.431,0.0,83.284,2.223,5.075,2.338,0.0,9.372,498.075,17.261,22.572,1195.149,30.071,1341.859,0.0,0.0,4.063,135.184
1,137717444163673,1061.184,234,10,28,0,400.796,177.319,409.289,0.372,0.454,4.972,0.18,18.503,0.0,63.987,1.41,1.43,0.872,0.0,8.544,86.61,15.059,67.904,1292.444,30.339,1004.502,0.0,0.0,3.541,401.245
2,137717449111946,1110.619,223,10,24,0,504.078,184.498,511.438,0.389,0.465,5.301,0.224,16.98,0.0,62.021,1.177,1.169,1.083,0.0,11.946,213.877,18.145,54.514,800.456,29.689,977.671,0.0,0.0,3.24,415.304
3,137717454208002,1124.171,211,10,22,0,457.197,441.206,463.566,0.405,0.404,4.646,0.223,18.46,0.0,62.243,1.374,1.348,1.075,0.0,7.779,81.361,113.382,65.407,1955.003,806.809,920.902,0.0,0.0,3.196,385.344
4,137717459308433,948.702,221,10,24,1,256.019,174.897,262.951,0.339,0.422,4.785,0.201,17.817,0.0,69.612,1.358,1.369,0.898,0.0,8.915,76.788,116.983,64.012,1246.676,25.058,914.283,0.0,0.0,3.884,416.024
5,137717464257255,1015.841,226,10,25,0,380.938,180.676,386.855,0.201,0.442,4.723,0.214,18.752,0.0,71.374,1.241,1.318,0.923,0.0,8.573,91.964,24.052,67.179,1371.264,25.64,1010.118,0.0,0.0,3.146,397.709
6,137717469268367,858.639,219,10,24,0,653.281,179.148,659.883,0.216,0.456,4.897,0.186,17.975,0.0,71.208,1.298,1.435,0.743,0.0,7.392,33.305,13.447,22.157,187.756,20.938,925.438,0.0,0.0,3.63,59.597
7,137717474089742,1090.437,219,10,24,0,500.813,174.92,507.516,0.389,0.497,4.523,0.209,17.334,0.0,72.032,1.339,1.308,1.128,0.0,8.628,94.153,14.988,78.097,1281.278,22.349,926.683,0.0,0.0,2.525,420.319
8,137717479183630,1133.145,217,10,24,0,255.49,183.129,261.75,0.256,0.465,4.985,0.2,17.319,0.0,63.146,1.464,1.337,1.353,0.0,58.914,78.928,65.325,53.582,2642.14,327.359,870.726,0.0,0.0,3.472,410.574
9,137717484348145,414.593,219,10,24,0,234.321,173.934,239.88,0.344,0.492,4.25,0.187,17.22,0.0,58.777,1.152,1.328,1.054,0.0,6.11,46.938,12.011,33.325,128.991,20.925,905.235,0.0,0.0,2.81,46.762
10,137717488699172,1366.056,232,10,27,0,659.475,179.3,691.428,0.202,0.492,48.76,0.21,80.378,0.0,139.899,21.473,7.42,3.246,0.0,94.329,77.883,100.716,61.929,745.443,23.782,1007.875,0.0,0.0,2.82,314.751
11,137717494117781,1127.223,227,10,26,0,431.517,183.776,438.944,0.331,0.514,4.912,0.195,18.542,0.0,62.813,1.242,1.239,0.973,0.0,8.665,86.77,14.721,69.834,1307.608,23.125,1003.279,0.0,0.0,3.281,425.219
12,137717499228298,1869.068,217,10,24,0,665.353,240.579,720.414,8.572,2.54,57.116,0.205,100.075,0.0,188.049,22.936,9.569,2.379,0.0,8.023,71.152,14.465,57.178,1539.236,21.989,889.199,0.0,0.0,2.515,473.812
13,137717505100717,1105.918,225,10,25,0,395.208,180.04,401.319,0.402,0.479,4.464,0.191,18.731,0.0,71.433,1.153,1.392,1.031,0.0,8.025,96.457,13.953,76.513,1764.427,22.389,958.852,0.0,0.0,3.196,404.594
14,137717510188324,2129.697,216,10,24,0,741.816,167.598,801.119,1.515,1.181,52.257,0.494,80.522,0.0,300.152,19.078,6.989,7.553,0.0,7.511,76.157,13.53,65.002,1430.258,21.507,940.955,0.0,0.0,3.499,689.371
15,137717516345771,1731.251,217,10,24,0,679.571,177.381,776.018,0.356,0.47,4.901,0.203,111.418,0.0,63.142,24.652,6.825,8.059,0.0,9.68,82.942,15.918,70.324,1739.638,22.378,1144.479,0.0,0.0,2.71,412.096
