window,start_ts,dur_us,n_slices,n_threads,n_data_ready,n_rope_spans,us:fill_logits_buffer,us:waiting_for_logits,us:notify_listener,us:setup_logits,us:finalize_minibatches,us:construct_minibatches,us:gather_token_data,us:compute_forward_args,us:forward args,us:forward,us:add_tokens,us:finalize_ranges,us:work_queue::do_work get_work,us:poll_dma_completions,us:matmul enqueue,us:Prepare hardware matmul job,us:Launch hardware matmul job,us:legacy hw_prepare,us:legacy tx_launch,us:tx submitting activation DMA request,us:rx collecting results,us:data ready,us:Rope Q,us:Free scratchpads,us:other
0,137654887021504,1212.211,222,10,24,0,530.156,181.591,541.324,1.033,1.725,18.06,0.848,24.461,0.0,87.515,2.555,5.484,1.834,0.0,8.094,119.992,15.276,22.819,1222.108,36.012,1305.684,0.0,0.0,3.714,133.618
1,137654892115393,1134.031,226,10,25,0,469.825,167.871,484.809,0.403,0.586,5.182,0.216,18.371,0.0,66.532,1.471,1.521,1.02,0.0,10.01,71.409,122.244,55.544,1213.503,36.942,1023.18,0.0,0.0,2.798,421.171
2,137654897224309,1784.641,215,10,24,0,651.463,192.444,715.907,4.174,2.821,73.237,0.435,103.546,0.0,299.273,33.432,10.528,6.898,0.0,9.11,182.81,15.934,167.038,898.962,22.766,948.76,0.0,0.0,3.214,566.155
3,137654902977202,423.219,198,10,19,0,222.517,169.347,229.564,0.421,0.578,5.394,0.243,17.656,0.0,68.797,1.366,1.402,0.8,0.0,7.273,34.007,25.693,27.99,134.376,16.221,903.105,0.0,0.0,2.89,49.751
4,137654907474599,1590.397,221,10,24,0,629.908,173.647,690.504,0.444,0.514,34.064,0.265,86.368,0.0,94.939,32.937,9.409,8.367,0.0,129.235,85.073,135.608,65.217,1284.657,23.207,985.864,0.0,0.0,2.715,409.794
5,137654913090783,1123.013,224,10,25,0,395.499,187.265,402.421,0.44,0.529,4.308,0.232,18.555,0.0,69.882,1.182,1.313,0.803,0.0,7.132,196.67,13.364,72.815,1241.353,22.511,1035.791,0.0,0.0,2.814,400.963
6,137654918200067,1023.517,232,10,27,0,401.015,187.79,407.179,0.508,0.496,4.878,0.238,16.888,0.0,72.231,1.458,1.213,0.81,0.0,9.024,93.419,15.242,72.783,1294.182,28.406,1006.668,0.0,0.0,3.283,408.774
7,137654923146357,1735.611,218,10,24,0,622.661,176.251,684.664,1.09,1.235,54.652,0.583,76.54,0.0,340.954,26.096,10.27,7.706,0.0,9.167,99.687,15.255,75.89,1199.794,22.026,934.937,0.0,0.0,2.606,753.291
8,137654928888745,1185.052,232,10,27,0,684.878,245.031,749.541,0.283,0.511,4.484,0.288,108.264,0.0,65.446,32.905,10.603,6.643,0.0,7.737,34.552,14.824,22.946,376.733,55.891,959.844,0.0,0.0,3.537,50.972
9,137654934050979,1152.732,237,10,28,0,541.654,180.394,548.0,0.414,0.483,4.533,0.222,16.225,0.0,62.638,1.235,1.201,1.203,0.0,7.37,78.259,13.812,59.144,1124.538,25.656,1016.763,0.0,0.0,3.466,392.781
10,137654939245524,1021.605,217,10,24,0,414.723,179.369,420.47,0.43,0.441,4.752,0.252,16.965,0.0,62.375,1.414,1.298,1.011,0.0,8.754,214.685,15.029,190.748,758.324,21.776,953.302,0.0,0.0,2.954,404.688
11,137654944393066,1699.439,223,10,24,0,818.218,182.685,925.699,0.436,0.499,4.586,0.249,17.881,0.0,63.019,1.52,1.065,0.951,0.0,9.92,240.965,16.261,222.76,1271.907,28.22,1012.097,0.0,0.0,2.995,427.813
12,137654949996279,1111.285,221,10,24,0,688.799,177.59,740.067,0.385,0.449,5.291,0.258,17.889,0.0,81.379,24.578,1.292,4.696,0.0,7.771,44.804,33.279,32.767,219.982,45.648,1023.279,0.0,0.0,2.436,48.312
13,137654955109282,1029.249,218,10,24,0,302.452,167.301,314.635,0.424,0.44,4.3,0.283,19.297,0.0,160.544,3.412,1.134,0.893,0.0,8.076,90.566,14.46,76.883,1349.537,21.653,922.382,0.0,0.0,2.864,427.79
14,137654960072548,856.403,234,10,28,0,217.507,170.985,223.352,0.45,0.455,4.843,0.276,18.586,0.0,78.765,3.054,1.177,0.804,0.0,7.887,84.293,13.943,69.85,1444.093,26.127,1017.198,0.0,0.0,3.044,415.604
15,137654964877277,575.61,236,10,28,0,210.478,176.835,243.405,0.491,0.492,4.486,0.232,17.369,0.0,60.824,1.681,1.078,9.848,0.0,8.396,73.179,18.064,52.971,708.557,25.321,1076.359,0.0,0.0,3.246,49.846
16,137654969367632,445.581,215,10,23,0,245.873,181.605,254.187,0.421,0.503,4.638,0.232,17.381,0.0,62.725,1.266,1.124,0.972,0.0,7.474,46.612,13.864,32.271,164.561,19.959,972.445,0.0,0.0,3.256,46.987
