window,start_ts,span_us,work_cov_us,wait_cov_us,idle_us,biggest_gap_us,gap_at_off_us,gap_before,gap_after,last_dataready_off_us,fill_end_off_us,listener_start_off_us,wcls_last_dr_off_us,dispatch_first_dr_off_us
0,137654887021504,1212.2,313.1,854.1,45.0,12.3,1173.2,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1209.1,1078.6,537.3,546.8,1195.9
1,137654892115393,1134.0,528.8,510.5,94.7,65.8,483.1,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1131.8,1035.3,550.5,557.0,1117.1
2,137654897224309,1784.6,745.6,738.9,300.1,104.4,1650.9,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1782.9,1208.8,492.9,499.6,1764.9
3,137654902977202,423.2,128.3,264.3,30.5,17.6,379.9,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,408.8,324.4,94.9,100.3,407.3
4,137654907474599,1590.4,692.4,748.6,149.4,87.6,1242.8,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,1588.4,1242.8,552.3,558.7,1573.4
5,137654913090783,1123.0,585.2,440.1,97.8,65.9,552.7,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1120.9,1023.2,620.8,626.6,1099.6
6,137654918200067,1023.5,488.8,438.8,95.9,57.8,451.1,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1020.8,918.0,510.8,521.8,1006.4
7,137654923146357,1735.6,775.0,731.8,228.8,72.8,1637.1,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1733.6,1194.0,509.4,513.3,1719.0
8,137654928888745,1185.1,252.5,811.8,120.8,77.7,867.0,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,1182.1,867.0,117.5,198.3,1168.4
9,137654934050979,1152.7,464.6,610.7,77.5,49.6,462.8,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1150.1,1061.6,513.6,517.4,1136.1
10,137654939245524,1021.6,485.6,446.4,89.6,61.7,443.4,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1019.6,926.8,506.4,509.9,1004.9
11,137654944393066,1699.4,622.4,949.7,127.3,62.5,1549.9,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,1697.2,1549.9,624.2,633.4,1682.7
12,137654949996279,1111.3,186.1,794.9,130.2,91.9,871.3,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,1108.8,871.3,131.2,136.3,1076.4
13,137654955109282,1029.2,521.7,344.6,163.0,88.3,906.1,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1027.0,835.9,521.3,525.2,1012.8
14,137654960072548,856.4,500.6,262.3,93.5,62.4,456.4,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,853.9,743.4,520.1,523.4,839.2
15,137654964877277,575.6,161.3,388.3,26.0,10.9,539.2,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,573.1,476.2,232.8,236.9,559.7
16,137654969367632,445.6,123.7,297.7,24.2,12.8,405.9,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,442.9,354.3,100.1,103.8,428.2
17,137654973762647,1864.5,821.0,745.0,298.5,111.0,1280.3,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,1862.8,1280.3,596.6,607.0,1848.9
18,137654979651485,1418.4,523.9,782.6,111.9,57.6,1119.5,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,1415.3,1119.5,387.8,391.5,1401.2
19,137654985031860,506.6,127.7,345.3,33.6,15.5,457.4,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,503.7,401.5,94.8,98.6,482.7
20,137654989512928,672.5,121.3,520.9,30.3,13.9,622.7,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,669.4,568.6,86.6,90.9,646.1
21,137654994099018,1126.9,534.9,505.8,86.2,56.8,584.6,rx collecting results@149/0-RX-38,prepare streams@25/0-worker,1124.0,1018.5,643.4,647.3,1106.9
22,137654999198486,910.7,115.1,761.0,34.6,19.6,864.3,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,908.3,807.5,84.2,89.3,893.6
23,137655004097690,2504.0,1199.3,1026.1,278.6,106.3,2370.8,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,2501.2,1777.9,986.7,1001.8,2487.2
24,137655010550228,592.2,128.1,351.8,112.3,94.0,472.1,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,589.8,403.7,86.5,90.4,576.0
25,137655015163472,948.2,176.0,741.7,30.5,12.0,907.2,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,946.6,847.0,160.6,165.3,930.4
26,137655020084943,1097.8,515.0,503.2,79.5,52.8,458.8,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1095.2,999.5,527.6,536.8,1082.4
27,137655025170722,932.2,136.3,719.5,76.4,55.1,781.4,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,929.4,781.4,91.1,102.6,913.8
28,137655030085250,1108.4,477.0,551.9,79.5,51.8,436.4,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1106.0,1008.5,489.5,494.6,1092.0
29,137655035149925,1149.7,647.1,331.0,171.6,113.1,1007.8,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1146.6,822.1,526.7,530.6,1130.9
30,137655040279131,850.8,132.1,687.3,31.3,13.8,811.3,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,848.5,756.8,117.0,121.6,839.5
