window,start_ts,span_us,work_cov_us,wait_cov_us,idle_us,biggest_gap_us,gap_at_off_us,gap_before,gap_after,last_dataready_off_us,fill_end_off_us,listener_start_off_us,wcls_last_dr_off_us,dispatch_first_dr_off_us
0,137270221660626,2253.3,691.1,1533.8,28.4,10.1,2213.4,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,2249.0,2124.9,1810.2,1814.3,2235.1
1,137270228024680,1228.6,664.1,477.3,87.2,51.6,714.8,rx collecting results@148/0-RX-13,prepare streams@25/0-worker,1225.8,1128.9,790.6,817.7,1212.7
2,137270233298782,2230.4,876.9,1118.8,234.7,105.4,2098.4,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,2228.5,1709.3,719.0,729.0,2214.1
3,137270239631304,627.2,137.8,462.2,27.3,10.9,588.7,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,624.1,527.5,216.4,228.9,609.5
4,137270244342661,1793.3,533.8,1074.5,185.0,90.6,46.6,rx collecting results@147/0-RX-10,Launch hardware matmul job@24/?-work_queue,1790.7,1688.7,820.4,829.7,1768.1
5,137270250308560,1811.9,525.0,1202.5,84.3,44.7,640.0,rx collecting results@148/0-RX-13,prepare streams@25/0-worker,1809.8,1701.5,686.3,711.4,1795.0
6,137270256191893,1139.7,540.5,527.8,71.4,42.8,595.2,rx collecting results@148/0-RX-13,prepare streams@25/0-worker,1137.3,1031.8,640.0,646.9,1122.9
7,137270261397239,1734.0,524.4,1181.9,27.7,12.0,1692.4,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1732.3,1635.3,662.0,857.2,1714.0
8,137270267230494,1154.2,616.0,470.0,68.2,35.1,709.1,rx collecting results@148/0-RX-13,prepare streams@25/0-worker,1152.5,1062.8,746.4,777.4,1138.3
9,137270272438667,516.5,138.9,350.5,27.1,12.9,477.9,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,514.4,420.4,117.5,124.1,500.6
10,137270277016354,1268.5,567.8,631.0,69.7,37.0,714.8,rx collecting results@148/0-RX-13,prepare streams@25/0-worker,1265.5,1167.8,753.3,763.2,1243.2
11,137270282341782,883.7,172.1,680.1,31.6,12.0,797.4,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,882.0,739.8,110.8,135.7,819.1
12,137270287303377,1072.7,539.3,494.2,39.2,22.1,1023.5,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1069.8,968.6,712.6,719.7,1055.5
13,137270292449483,2351.0,874.9,1256.1,220.1,95.4,2228.5,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,2348.3,1689.7,582.1,585.9,2333.4
