window,start_ts,dur_us,n_slices,n_threads,n_data_ready,n_rope_spans,us:fill_logits_buffer,us:waiting_for_logits,us:notify_listener,us:setup_logits,us:finalize_minibatches,us:construct_minibatches,us:gather_token_data,us:compute_forward_args,us:forward args,us:forward,us:add_tokens,us:finalize_ranges,us:work_queue::do_work get_work,us:poll_dma_completions,us:matmul enqueue,us:Prepare hardware matmul job,us:Launch hardware matmul job,us:legacy hw_prepare,us:legacy tx_launch,us:tx submitting activation DMA request,us:rx collecting results,us:data ready,us:Rope Q,us:Free scratchpads,us:other
0,137270221660626,2253.694,226,10,25,1,300.075,191.207,314.714,0.898,0.856,5.596,0.935,23.341,0.0,89.157,1.588,5.23,1.94,0.0,10.446,502.87,18.834,66.912,2442.372,30.662,2049.445,0.0,0.0,5.19,138.463
1,137270228024680,1228.635,236,10,28,0,325.673,211.53,338.295,0.393,0.444,4.58,0.26,19.41,0.0,63.041,0.808,1.688,1.061,0.0,122.964,84.867,129.904,63.962,1782.003,27.981,1228.688,0.0,0.0,3.305,470.518
2,137270233298782,2230.442,236,10,28,0,922.555,240.376,990.347,4.069,0.424,53.958,1.039,105.456,0.0,294.68,6.23,14.178,5.883,0.0,9.867,211.235,17.285,196.141,2010.781,43.236,1198.412,0.0,0.0,2.554,626.801
3,137270239631304,627.214,237,10,28,0,305.473,187.267,311.087,0.445,0.427,5.469,0.278,18.396,0.0,65.632,0.75,1.378,1.278,0.0,9.149,48.639,16.002,23.491,670.942,25.743,937.982,0.0,0.0,3.562,53.318
4,137270244342661,1793.493,242,10,28,1,862.315,207.778,868.29,0.433,0.446,4.37,0.302,18.043,0.0,74.705,0.686,1.361,1.07,0.0,10.805,77.508,22.967,61.441,2103.836,46.814,1139.159,0.0,0.0,3.32,400.396
5,137270250308560,1811.876,225,10,25,0,1002.967,270.793,1015.219,0.402,0.494,4.219,0.247,18.229,0.0,76.48,0.76,1.381,1.207,0.0,9.367,84.773,15.595,68.79,2016.978,25.623,1194.353,0.0,0.0,2.547,433.53
6,137270256191893,1139.701,227,10,26,0,385.649,193.898,391.811,0.394,0.478,4.763,0.274,17.442,0.0,77.955,1.188,1.273,1.21,0.0,9.283,82.008,15.242,65.635,1743.562,23.955,1174.925,0.0,0.0,3.057,473.484
7,137270261397239,1734.015,235,10,28,0,966.234,270.761,973.318,0.387,0.501,4.189,0.309,17.5,0.0,67.427,0.8,1.339,1.172,0.0,108.111,79.166,114.835,62.933,2517.569,25.153,1121.408,0.0,0.0,4.151,342.881
8,137270267230494,1154.514,228,10,26,0,309.352,194.907,316.385,0.274,0.464,4.433,0.258,18.148,0.0,60.977,0.654,1.231,0.994,0.0,8.417,182.902,14.428,165.387,2009.188,24.763,1164.905,0.0,0.0,2.335,447.984
9,137270272438667,516.479,233,10,27,0,296.562,176.963,302.971,0.354,0.45,4.746,0.269,18.875,0.0,65.335,0.786,1.335,0.918,0.0,18.564,33.319,28.27,21.8,259.821,23.63,985.247,0.0,0.0,2.583,65.915
10,137270277016354,1268.497,235,10,28,1,408.696,238.804,414.449,0.369,0.459,4.709,0.28,18.608,0.0,70.281,0.621,1.318,1.037,0.0,10.79,88.882,17.898,68.994,1725.797,24.969,1293.277,0.0,0.0,3.686,434.925
