window,start_ts,dur_us,n_slices,n_threads,n_data_ready,n_rope_spans,us:fill_logits_buffer,us:waiting_for_logits,us:notify_listener,us:setup_logits,us:finalize_minibatches,us:construct_minibatches,us:gather_token_data,us:compute_forward_args,us:forward args,us:forward,us:add_tokens,us:finalize_ranges,us:work_queue::do_work get_work,us:poll_dma_completions,us:matmul enqueue,us:Prepare hardware matmul job,us:Launch hardware matmul job,us:legacy hw_prepare,us:legacy tx_launch,us:tx submitting activation DMA request,us:rx collecting results,us:data ready,us:Rope Q,us:Free scratchpads,us:other
0,137779839114173,1930.262,232,10,27,0,459.663,178.201,561.635,1.265,3.017,200.524,1.129,144.974,0.0,368.264,31.736,25.803,12.301,0.0,8.74,45.951,15.891,25.994,2234.077,164.701,1319.288,0.0,0.0,3.09,387.35
1,137779844975389,1117.033,241,10,28,0,657.99,168.92,828.135,0.377,0.556,4.78,0.218,18.515,0.0,62.206,1.833,1.571,9.62,0.0,8.152,47.421,18.47,36.283,244.501,27.255,968.8,0.0,0.0,1.803,49.082
2,137779850065472,452.818,239,10,28,0,249.869,175.486,257.68,0.34,0.447,5.681,0.235,17.332,0.0,63.004,1.31,1.242,1.006,0.0,7.045,34.407,23.648,23.094,199.146,24.842,950.993,0.0,0.0,3.617,47.555
3,137779854497546,714.464,244,10,28,1,390.854,182.092,397.148,0.363,0.422,4.786,0.244,17.304,0.0,72.331,1.22,1.325,1.154,0.0,7.778,52.387,19.558,24.481,682.021,79.331,927.081,0.0,0.0,3.358,56.008
4,137779859180515,1034.788,238,10,28,1,393.46,181.708,399.526,0.259,0.577,4.1,0.231,17.982,0.0,71.719,1.12,1.285,0.864,0.0,7.591,91.209,14.365,67.479,1375.948,25.645,987.151,0.0,0.0,3.704,404.223
5,137779864203738,453.313,237,10,28,0,235.348,172.372,241.235,0.214,0.62,4.075,0.243,17.314,0.0,70.315,1.328,1.307,1.046,0.0,6.838,33.441,14.721,22.452,272.596,24.692,966.361,0.0,0.0,4.004,75.598
6,137779868663945,493.017,241,10,28,0,293.748,173.355,302.947,0.332,0.52,4.793,0.24,18.152,0.0,61.489,1.231,1.327,1.234,0.0,8.04,33.004,23.519,22.116,233.842,25.021,957.237,0.0,0.0,3.325,47.247
7,137779873174366,1929.626,237,10,28,0,631.659,179.865,706.534,0.389,0.548,5.449,0.257,17.982,0.0,63.807,40.373,1.193,5.318,0.0,7.634,384.49,14.525,50.504,3031.658,508.596,1046.588,0.0,0.0,3.53,400.31
8,137779879174722,1284.345,227,10,25,1,661.714,175.829,718.582,1.951,0.447,51.581,0.812,81.851,0.0,259.285,29.793,9.179,4.896,0.0,7.214,34.44,23.441,22.956,186.038,26.385,968.004,0.0,0.0,4.023,170.519
9,137779884529998,671.588,240,10,28,1,435.794,165.768,447.638,0.33,0.466,4.577,0.283,17.215,0.0,68.12,2.958,1.235,1.127,0.0,24.178,34.928,31.325,23.478,256.304,24.948,952.715,0.0,0.0,3.708,61.859
