window,start_ts,span_us,work_cov_us,wait_cov_us,idle_us,biggest_gap_us,gap_at_off_us,gap_before,gap_after,last_dataready_off_us,fill_end_off_us,listener_start_off_us,wcls_last_dr_off_us,dispatch_first_dr_off_us
0,137462593010880,924.5,276.8,541.3,106.4,74.1,140.4,kernel_add_rmsnorm_70@25/0-worker,legacy tx_launch@5/0-TX-38,921.6,797.0,533.2,540.3,908.7
1,137462597974224,542.3,143.8,367.7,30.8,10.5,507.0,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,539.7,434.1,119.9,131.9,527.0
2,137462602598256,780.9,466.9,290.3,23.7,10.3,745.2,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,778.3,688.4,440.0,446.1,764.9
3,137462607348958,962.6,652.6,220.1,89.9,59.1,528.6,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,960.9,866.6,589.3,595.4,948.6
4,137462612363717,533.0,126.0,378.7,28.2,14.3,493.6,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,530.8,438.9,118.3,125.1,516.9
5,137462616942817,463.2,134.0,301.5,27.7,10.1,424.2,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,459.6,371.7,121.6,128.7,445.6
6,137462621434559,1014.1,623.9,360.2,30.0,11.7,969.0,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1011.7,910.8,595.9,603.9,990.7
7,137462626433321,520.2,123.6,372.7,23.9,11.7,472.9,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,517.5,420.5,98.9,103.6,494.7
8,137462630993157,540.9,159.1,356.1,25.7,10.8,493.6,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,538.3,439.2,133.4,145.0,513.9
9,137462635482993,1594.1,592.2,809.7,192.2,79.2,1315.2,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,1592.1,1315.2,535.6,547.4,1568.0
10,137462641098069,1754.2,706.2,824.3,223.7,82.8,1636.1,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1751.9,1303.7,510.0,526.0,1738.5
11,137462646879226,522.3,189.5,307.4,25.3,11.5,475.3,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,519.7,419.7,164.6,170.3,506.5
12,137462651390587,961.3,505.6,368.9,86.8,61.5,477.1,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,958.3,858.9,540.9,553.8,944.2
13,137462656302002,1161.1,529.2,598.3,33.6,15.0,1120.8,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1158.8,1051.8,735.7,741.6,1145.7
14,137462661533975,858.4,542.7,284.5,31.2,11.0,821.5,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,856.2,755.3,503.6,508.0,843.7
15,137462666403538,443.9,120.7,296.8,26.4,10.4,406.5,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,441.5,354.0,107.4,112.7,427.0
16,137462670898908,507.0,128.5,349.9,28.7,10.9,469.7,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,505.5,413.6,108.0,111.6,490.5
17,137462675388538,1024.4,605.2,384.0,35.2,8.6,992.4,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1022.5,937.1,628.6,634.0,1010.1
18,137462680441252,897.2,560.0,246.6,90.6,64.2,507.3,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,895.8,805.5,574.1,580.9,882.7
19,137462685370925,509.8,116.0,362.1,31.6,15.7,470.3,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,508.2,416.7,99.4,104.8,494.8
20,137462689962583,469.0,146.6,298.8,23.5,11.3,432.4,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,467.2,379.2,137.1,141.2,453.6
21,137462694415204,449.8,115.9,305.9,28.0,12.6,412.6,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,447.6,356.8,87.9,92.5,434.7
22,137462698864722,546.0,135.3,387.0,23.7,10.9,509.4,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,543.3,454.6,105.5,109.4,530.7
23,137462703374144,519.5,122.2,369.1,28.2,13.0,473.8,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,516.9,420.0,114.5,120.1,496.8
24,137462707981392,516.7,125.0,364.3,27.3,11.2,466.6,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,513.3,409.2,102.1,108.2,489.2
25,137462712476883,1602.8,582.8,852.9,167.1,65.4,1339.7,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,1600.5,1339.7,539.2,543.6,1587.8
26,137462718085522,1136.1,508.9,545.3,81.9,49.5,486.8,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1134.5,1029.0,537.9,541.3,1121.2
27,137462723242201,1066.6,699.0,265.3,102.4,73.6,648.1,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1064.8,977.5,723.9,779.0,1051.6
28,137462728300849,1051.3,590.1,372.1,89.1,61.6,534.6,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1049.8,959.6,620.7,631.4,1036.3
