window,start_ts,dur_us,n_slices,n_threads,n_data_ready,n_rope_spans,us:fill_logits_buffer,us:waiting_for_logits,us:notify_listener,us:setup_logits,us:finalize_minibatches,us:construct_minibatches,us:gather_token_data,us:compute_forward_args,us:forward args,us:forward,us:add_tokens,us:finalize_ranges,us:work_queue::do_work get_work,us:poll_dma_completions,us:matmul enqueue,us:Prepare hardware matmul job,us:Launch hardware matmul job,us:legacy hw_prepare,us:legacy tx_launch,us:tx submitting activation DMA request,us:rx collecting results,us:data ready,us:Rope Q,us:Free scratchpads,us:other
0,137462593010880,924.52,213,10,24,0,247.005,183.201,263.8,0.887,0.977,7.709,14.655,23.184,0.0,87.736,1.548,5.261,1.889,0.0,8.895,120.307,15.97,19.67,1017.632,30.266,952.737,0.0,0.0,3.776,168.705
1,137462597974224,542.311,214,10,24,0,303.262,189.0,314.163,0.428,0.504,5.582,0.229,28.544,0.0,64.008,0.636,11.761,1.006,0.0,8.334,41.507,14.84,28.553,264.636,21.749,964.69,0.0,0.0,3.064,78.158
2,137462602598256,780.931,234,10,28,0,238.221,176.464,248.408,0.435,0.483,5.143,0.231,18.634,0.0,61.72,0.724,1.526,0.912,0.0,8.437,97.826,129.757,80.933,834.7,24.507,1093.194,0.0,0.0,3.205,372.745
3,137462607348958,962.88,179,10,18,0,267.992,259.965,277.303,0.4,0.514,4.784,0.267,17.987,0.0,63.445,0.636,1.405,0.945,0.0,6.028,68.602,115.926,55.404,1375.497,100.81,993.04,0.0,0.0,2.143,496.889
4,137462612363717,532.975,217,10,24,0,310.938,183.942,320.653,0.417,0.469,4.631,0.288,18.138,0.0,64.171,0.654,1.403,1.037,0.0,7.281,46.105,13.648,21.371,193.684,21.527,979.404,0.0,0.0,2.678,51.449
5,137462616942817,463.196,228,10,26,1,239.089,188.133,250.103,0.419,0.515,4.421,0.275,17.703,0.0,61.404,1.143,1.341,0.999,0.0,7.978,50.408,14.723,38.134,198.444,23.171,1104.715,0.0,0.0,4.044,51.431
6,137462621434559,1014.1,241,10,28,0,304.255,183.95,314.956,0.427,0.491,4.802,0.261,17.535,0.0,70.199,0.802,1.207,0.966,0.0,10.114,184.1,24.185,169.664,1542.313,25.439,1082.877,0.0,0.0,2.946,448.905
7,137462626433321,520.184,196,10,24,1,305.464,176.801,321.601,0.241,0.657,4.718,0.255,18.008,0.0,71.297,0.546,1.376,0.733,0.0,6.735,44.495,12.169,27.623,184.141,21.504,962.365,0.0,0.0,3.152,52.01
8,137462630993157,540.909,212,10,24,0,296.583,181.653,305.786,0.379,0.487,4.488,0.249,18.899,0.0,71.378,0.508,1.64,0.807,0.0,8.586,40.144,15.955,33.654,260.067,68.771,1009.598,0.0,0.0,3.145,49.749
9,137462635482993,1594.101,201,10,24,0,652.444,174.786,779.65,0.362,0.466,5.557,0.242,77.772,0.0,77.549,4.294,11.632,7.573,0.0,7.563,88.483,12.975,63.673,1449.391,22.305,973.234,0.0,0.0,2.652,440.293
10,137462641098069,1754.199,227,10,26,0,681.319,191.886,793.668,0.966,0.789,54.94,0.651,78.219,0.0,272.281,5.931,9.354,6.76,0.0,10.247,98.85,17.257,71.751,1343.638,32.849,1109.746,0.0,0.0,2.856,556.546
11,137462646879226,522.252,200,10,24,0,247.794,188.939,255.129,0.382,0.494,4.283,0.274,18.052,0.0,71.681,0.555,1.268,0.923,0.0,7.586,64.667,12.965,42.885,336.47,22.585,1007.9,0.0,0.0,2.982,120.603
12,137462651390587,961.265,206,10,24,0,310.494,184.589,318.012,0.39,0.5,4.077,0.246,18.44,0.0,71.899,0.66,1.405,0.877,0.0,10.448,66.633,19.191,43.738,1588.986,30.622,1040.383,0.0,0.0,3.71,423.182
13,137462656302002,1161.138,217,10,24,0,308.568,189.891,316.115,0.395,0.469,5.206,0.261,17.628,0.0,77.135,0.611,1.223,0.797,0.0,7.529,70.021,13.689,51.766,2804.576,22.414,988.868,0.0,0.0,2.998,462.834
