config_id,config_label,metric,total_users,n_baseline,n_changed,trimmed_low_samples_per_arm,baseline_tps_per_user,changed_tps_per_user,baseline_tps_total,changed_tps_total,delta_percent,verdict,methods_confirming,methods_evaluated,baseline_iqr_low,baseline_iqr_high,changed_iqr_low,changed_iqr_high,iqr_delta_low_percent,iqr_delta_high_percent,iqr_vote,baseline_bootstrap_low,baseline_bootstrap_high,changed_bootstrap_low,changed_bootstrap_high,bootstrap_delta_low_percent,bootstrap_delta_high_percent,bootstrap_vote,baseline_t_interval_low,baseline_t_interval_high,changed_t_interval_low,changed_t_interval_high,t_interval_delta_low_percent,t_interval_delta_high_percent,t_interval_vote
560bae0119f4,"llama-3.2-3b-instruct-fast (tp2), 800s 199p 335g, 32u/4inst",prompt_tps,32,200,200,20,1292.4019495454643,1243.9648709673381,41356.862385454857,39806.87587095482,-3.7478339146084894,inconclusive,2,3,1213.2327987784706,1351.6470681439771,1158.2073334172978,1290.937347148184,-14.311408598126308,6.4047517053569036,no_vote,1278.0131658157406,1305.4288262357454,1223.9140368641863,1256.2685883342278,-6.2442921232718778,-1.7014361090430197,down,1230.318915817609,1275.5048752831592,1170.2539197716501,1219.3142598380198,-8.2517093859122763,-0.89445556254623693,down
560bae0119f4,"llama-3.2-3b-instruct-fast (tp2), 800s 199p 335g, 32u/4inst",generation_tps,32,200,200,20,119.07417168576558,114.16768912732323,3810.3734939444985,3653.3660520743433,-4.1205262980039574,inconclusive,2,3,114.93778125,121.63815624999999,110.46112500000001,116.44056250000001,-9.1887542483199969,1.3074736902492834,no_vote,118.5345779099969,119.65799193670142,113.64056180226353,114.67777476768654,-5.0288576943703696,-3.2537367663626582,down,117.90966618133268,118.9784816661959,113.02569980622135,114.00844889594313,-5.0032424154441424,-3.30864924966362,down
8eb171249a19,"llama-3.1-8b-instruct-good (tp4), 1919p 130g, 8u/2inst",prompt_tps,8,200,200,20,727.51466388906806,887.22294121236678,5820.1173111125445,7097.7835296989342,21.952585322410933,improvement,3,3,718.95243963601445,732.03657313869337,882.28751905455385,890.09549893997928,20.525060007813778,23.804503590058033,up,726.32953258250666,728.77585643587611,886.42496711437127,887.98921699026835,21.632043554445946,22.25707163977917,up,724.94239013782544,727.20525094769437,885.32782384139921,886.88716058019816,21.74387116809724,22.338984813894513,up
8eb171249a19,"llama-3.1-8b-instruct-good (tp4), 1919p 130g, 8u/2inst",generation_tps,8,200,200,20,126.40566095352489,122.78104979983016,1011.2452876281991,982.24839839864126,-2.8674436938606496,inconclusive,2,3,123.54500000000002,128.19062500000001,120.283,124.41068750000001,-6.168645328002742,0.70070622040552255,no_vote,125.91848520134724,126.87342968278158,122.37599676482053,123.15821005500997,-3.5448185874740412,-2.1921127322358624,down,125.23585115286637,126.22021027706907,121.4155595366327,122.47311442356987,-3.8065621423776452,-2.2060270312885377,down
4474ec5e9025,"ingested-llama-3.1-8b (tp2), 1919p 130g, 8u/4inst",prompt_tps,8,200,200,20,534.56968949269776,869.30016508504082,4276.5575159415821,6954.4013206803265,62.616807905812898,improvement,3,3,528.38492395776336,537.71860025121953,859.01529470317291,875.44220344082794,59.751828242847679,65.682661209086035,up,532.35768967520562,535.51133003098937,864.2284112313871,871.00697321138603,61.383777105402281,63.613110152084438,up,523.0839945761328,530.313159605539,841.50072037121572,858.75866092081822,58.679962043021192,64.172230430543081,up
4474ec5e9025,"ingested-llama-3.1-8b (tp2), 1919p 130g, 8u/4inst",generation_tps,8,200,200,20,107.83052731143995,119.18718832382885,862.64421849151961,953.49750659063079,10.53195351589833,improvement,3,3,104.79362499999999,109.7715,115.14187500000001,121.2085,4.8923217775105554,15.664001507725311,up,107.38718521306374,108.26965841227188,118.50080195983591,119.84396337472485,9.4496867336605348,11.599873985844745,up,106.87287069741686,107.70091493921491,117.54372598834358,118.81356402948775,9.1390226858182544,11.172801155381995,up
df6cdd63bd71,"llama-3.1-8b-instruct-good (tp2), 1919p 130g, 8u/4inst",prompt_tps,8,200,200,20,865.02945931574357,1072.5309579145428,6920.2356745259485,8580.2476633163424,23.987795602121722,improvement,3,3,846.44778918629572,879.6658856493948,1042.2211845294646,1090.3768578579347,18.479209155651954,28.81796984857532,up,861.23307887685837,868.52070293507268,1067.5971676199074,1077.3965687360853,22.921326343986625,25.099301822118548,up,855.77934452938621,863.03441780909725,1058.9045212012445,1069.6117767554658,22.695514726907874,24.986865316744854,up
df6cdd63bd71,"llama-3.1-8b-instruct-good (tp2), 1919p 130g, 8u/4inst",generation_tps,8,200,200,20,103.51951472465517,110.04406631850156,828.15611779724134,880.35253054801251,6.3027262165985087,inconclusive,2,3,98.610500000000002,106.739875,105.01949999999999,113.41300000000001,-1.6117453763178968,15.011078941897683,no_vote,102.62381706704332,104.49167815535252,109.14245023491901,110.93452897330027,4.4508540408854103,8.0982291867273126,up,102.09469362818804,103.74430216714404,108.11006325943811,109.84134365574546,4.2081936078381732,7.5877107342811057,up
1b84700b66bb,"ingested-gpt-oss-120b (tp4), 2047p 514g, 8u/2inst",prompt_tps,8,200,200,20,494.41775282741878,689.45504217477014,3955.3420226193502,5515.6403373981611,39.447873429300387,improvement,3,3,492.65605670378943,495.43486376766515,686.78019068333197,690.86870878266996,38.621691953717338,40.23347513578959,up,494.10665797785964,494.68916869316109,689.01574889221126,689.86109064406003,39.282562161692347,39.617849609096332,up,493.63902554058637,494.23918451563856,688.06716453625995,689.12041646200896,39.217444932168945,39.600068229482055,up
1b84700b66bb,"ingested-gpt-oss-120b (tp4), 2047p 514g, 8u/2inst",generation_tps,8,200,200,20,89.24773233285309,96.405633158271826,713.98185866282472,771.24506526617461,8.0202607263152093,improvement,3,3,87.226249999999993,90.233062500000003,94.993937500000001,97.466250000000002,5.2761979568187733,11.739585273928444,up,88.950261147330366,89.573177456477438,96.081294330865006,96.731818122475019,7.2656983476440562,8.7482115001954686,up,88.453593537366345,89.114593094358383,95.326995684900368,96.090950632558503,6.9712517050535494,8.6343095738284923,up
