0918,2026.09.18-3faba6d0,ingested-qwen-3-4b-instruct-2507-tp2,8,1024,1536,528,186.33
0918,2026.09.18-3faba6d0,ingested-qwen-3-4b-instruct-2507-tp4,8,1024,1536,636,148.82
0918,2026.09.18-3faba6d0,gemma-2-9b-it-fast-tp2,8,1024,1536,844,102.04
0918,2026.09.18-3faba6d0,ingested-gpt-oss-120b-tp4,8,1024,1536,1094,101.16
0918,2026.09.18-3faba6d0,ingested-gemma-4-31b-it-tp2,8,1024,1536,5429,38.09
0919,2026.09.18-3faba6d0,llama-3.2-3b-instruct-fast-tp2,32,200,845,57,196.41
0919,2026.09.18-3faba6d0,llama-3.1-8b-instruct-good-tp2,8,1024,1536,682,140.25
0919,2026.09.18-3faba6d0,llama-3.3-70b-instruct-good-tp2,8,1024,1536,9427,16.59
0919,2026.09.18-3faba6d0,llama-3.3-70b-instruct-good-tp2,4,1024,1536,4170,27.92
0919,2026.09.18-3faba6d0,llama-3.3-70b-instruct-good-tp4,4,1024,1536,4917,30.21
0919,2026.09.18-3faba6d0,mixtral-8x7b-instruct-v0.1-tp2,8,1024,1536,1259,78.89
0919,2026.09.18-3faba6d0,qwen-2.5-32b-it-fast-tp2,8,1024,1536,3979,35.19
0919,2026.09.18-3faba6d0,ingested-qwen-3-4b-instruct-2507-tp2,8,1024,1536,508,185.13
0919,2026.09.18-3faba6d0,ingested-qwen-3-4b-instruct-2507-tp4,8,1024,1536,633,143.3
0919,2026.09.18-3faba6d0,gemma-2-9b-it-fast-tp2,8,1024,1536,856,101.55
0919,2026.09.18-3faba6d0,ingested-gpt-oss-120b-tp4,8,1024,1536,1099,108.24
0919,2026.09.18-3faba6d0,ingested-gemma-4-31b-it-tp2,8,1024,1536,5439,38.12
0920,2026.09.18-3faba6d0,llama-3.2-3b-instruct-fast-tp2,32,200,845,56,197.28
0920,2026.09.18-3faba6d0,llama-3.1-8b-instruct-good-tp2,8,1024,1536,673,140.44
0920,2026.09.18-3faba6d0,llama-3.3-70b-instruct-good-tp2,8,1024,1536,9420,16.57
0920,2026.09.18-3faba6d0,llama-3.3-70b-instruct-good-tp2,4,1024,1536,4547,28.0
0920,2026.09.18-3faba6d0,llama-3.3-70b-instruct-good-tp4,4,1024,1536,4906,30.16
0920,2026.09.18-3faba6d0,mixtral-8x7b-instruct-v0.1-tp2,8,1024,1536,1262,79.04
0920,2026.09.18-3faba6d0,qwen-2.5-32b-it-fast-tp2,8,1024,1536,3988,35.26
0920,2026.09.18-3faba6d0,ingested-qwen-3-4b-instruct-2507-tp2,8,1024,1536,514,185.64
0920,2026.09.18-3faba6d0,ingested-qwen-3-4b-instruct-2507-tp4,8,1024,1536,638,145.27
0920,2026.09.18-3faba6d0,gemma-2-9b-it-fast-tp2,8,1024,1536,847,102.08
0920,2026.09.18-3faba6d0,ingested-gpt-oss-120b-tp4,8,1024,1536,1050,109.08
0920,2026.09.18-3faba6d0,ingested-gemma-4-31b-it-tp2,8,1024,1536,5434,38.07
0921,2026.09.18-3faba6d0,llama-3.2-3b-instruct-fast-tp2,32,200,845,56,198.17
0921,2026.09.18-3faba6d0,llama-3.1-8b-instruct-good-tp2,8,1024,1536,673,140.14
0921,2026.09.18-3faba6d0,llama-3.3-70b-instruct-good-tp2,8,1024,1536,9426,16.58
