a0921,2026.09.18-3faba6d0,llama-3.3-70b-instruct-good-tp4,4,1024,1536,4865,33.99
a0921,2026.09.18-3faba6d0,mixtral-8x7b-instruct-v0.1-tp2,8,1024,1536,1194,77.83
a0921,2026.09.18-3faba6d0,qwen-2.5-32b-it-fast-tp2,8,1024,1536,3946,37.52
a0921,2026.09.18-3faba6d0,ingested-qwen-3-4b-instruct-2507-tp2,8,1024,1536,518,207.04
a0921,2026.09.18-3faba6d0,ingested-qwen-3-4b-instruct-2507-tp4,8,1024,1536,699,185.88
a0921,2026.09.18-3faba6d0,gemma-2-9b-it-fast-tp2,8,1024,1536,807,96.28
a0921,2026.09.18-3faba6d0,ingested-gpt-oss-120b-tp4,8,1024,1536,1067,123.36
a0921,2026.09.18-3faba6d0,ingested-gemma-4-31b-it-tp2,8,1024,1536,5100,35.2
g0922,2026.09.18-3faba6d0,llama-3.2-3b-instruct-fast-tp2,32,200,845,53,228.96
g0922,2026.09.18-3faba6d0,llama-3.1-8b-instruct-good-tp2,8,1024,1536,629,151.89
g0922,2026.09.18-3faba6d0,llama-3.1-8b-instruct-good-tp2,32,4096,1536,13265,29.0
g0922,2026.09.18-3faba6d0,llama-3.3-70b-instruct-good-tp2,8,1024,1536,9374,17.6
g0922,2026.09.18-3faba6d0,llama-3.3-70b-instruct-good-tp2,4,1024,1536,3989,31.63
g0922,2026.09.18-3faba6d0,llama-3.3-70b-instruct-good-tp4,4,1024,1536,4856,34.02
g0922,2026.09.18-3faba6d0,mixtral-8x7b-instruct-v0.1-tp2,8,1024,1536,1195,77.86
g0922,2026.09.18-3faba6d0,qwen-2.5-32b-it-fast-tp2,8,1024,1536,3937,37.53
g0922,2026.09.18-3faba6d0,ingested-qwen-3-4b-instruct-2507-tp2,8,1024,1536,509,207.44
g0922,2026.09.18-3faba6d0,ingested-qwen-3-4b-instruct-2507-tp4,8,1024,1536,708,187.9
g0922,2026.09.18-3faba6d0,gemma-2-9b-it-fast-tp2,8,1024,1536,802,96.75
g0922,2026.09.18-3faba6d0,ingested-gpt-oss-120b-tp4,8,1024,1536,1073,122.71
g0922,2026.09.18-3faba6d0,ingested-gemma-4-31b-it-tp2,8,1024,1536,5109,35.08
g0923,2026.09.23-5cf65b92,llama-3.2-3b-instruct-fast-tp2,32,200,845,54,228.99
g0923,2026.09.23-5cf65b92,llama-3.1-8b-instruct-good-tp2,8,1024,1536,623,151.03
g0923,2026.09.23-5cf65b92,llama-3.1-8b-instruct-good-tp2,32,4096,1536,13324,28.91
g0923,2026.09.23-5cf65b92,llama-3.3-70b-instruct-good-tp2,8,1024,1536,9376,17.58
g0923,2026.09.23-5cf65b92,llama-3.3-70b-instruct-good-tp2,4,1024,1536,4241,31.58
g0923,2026.09.23-5cf65b92,llama-3.3-70b-instruct-good-tp4,4,1024,1536,4865,33.94
g0923,2026.09.23-5cf65b92,mixtral-8x7b-instruct-v0.1-tp2,8,1024,1536,1199,77.7
g0923,2026.09.23-5cf65b92,qwen-2.5-32b-it-fast-tp2,8,1024,1536,3938,37.56
g0923,2026.09.23-5cf65b92,ingested-qwen-3-4b-instruct-2507-tp2,8,1024,1536,485,211.13
g0923,2026.09.23-5cf65b92,ingested-qwen-3-4b-instruct-2507-tp4,8,1024,1536,659,191.2
g0923,2026.09.23-5cf65b92,gemma-2-9b-it-fast-tp2,8,1024,1536,809,96.4
g0923,2026.09.23-5cf65b92,ingested-gpt-oss-120b-tp4,8,1024,1536,1029,124.53
g0923,2026.09.23-5cf65b92,ingested-gemma-4-31b-it-tp2,8,1024,1536,4994,35.55
