window,start_ts,span_us,work_cov_us,wait_cov_us,idle_us,biggest_gap_us,gap_at_off_us,gap_before,gap_after,last_dataready_off_us,fill_end_off_us,listener_start_off_us,wcls_last_dr_off_us,dispatch_first_dr_off_us
0,137591470350142,125.4,88.1,10.0,27.3,13.8,80.4,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,,,,,
1,137591474667659,1203.4,354.7,802.9,45.9,10.6,1167.7,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1201.0,1104.9,796.9,800.8,1187.7
2,137591479825215,623.0,297.3,300.8,24.9,10.6,578.3,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,620.5,524.2,279.1,289.1,599.1
3,137591484462978,1798.4,738.1,783.3,277.0,96.8,1667.6,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1796.1,1291.5,549.2,562.9,1782.4
4,137591490382499,1015.2,486.9,483.8,44.5,22.8,966.2,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1012.5,910.8,661.1,692.1,998.7
5,137591495393688,1929.3,834.7,821.9,272.8,97.0,1805.2,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1927.1,1302.2,556.0,560.3,1912.2
6,137591501400913,748.5,115.3,607.9,25.4,12.6,709.8,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,745.6,655.1,97.5,119.4,731.9
7,137591506167978,419.2,124.0,261.2,34.0,14.1,379.9,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,417.6,321.7,98.0,103.2,402.9
8,137591510601550,768.1,474.2,265.7,28.2,15.1,727.6,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,764.4,672.1,436.8,443.3,752.0
9,137591515437268,572.1,165.7,380.7,25.7,12.3,529.0,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,569.7,473.4,138.9,142.4,550.9
10,137591519988355,448.2,124.3,297.2,26.7,12.1,404.6,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,446.1,351.6,129.5,133.2,425.4
11,137591524463018,505.1,123.1,358.3,23.7,11.4,461.5,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,503.2,405.9,105.5,110.5,489.9
12,137591528950028,475.2,145.9,300.1,29.2,13.9,435.1,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,473.1,370.9,116.4,121.3,458.1
