window,start_ts,span_us,work_cov_us,wait_cov_us,idle_us,biggest_gap_us,gap_at_off_us,gap_before,gap_after,last_dataready_off_us,fill_end_off_us,listener_start_off_us,wcls_last_dr_off_us,dispatch_first_dr_off_us
0,137842483090346,775.0,212.6,518.7,43.7,12.4,82.4,kernel_add_rmsnorm_70@25/0-worker,legacy tx_launch@5/0-TX-38,771.9,651.3,404.3,412.1,759.1
1,137842487890092,471.4,145.8,296.9,28.7,11.8,430.7,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,468.3,370.8,113.5,134.3,453.6
2,137842492319901,526.4,126.8,366.3,33.3,17.9,482.8,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,523.3,426.9,117.1,124.4,509.7
3,137842496892562,711.4,219.8,462.1,29.5,12.5,673.6,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,708.9,616.6,309.9,314.4,696.0
4,137842501613933,828.5,325.6,436.5,66.3,35.9,141.0,rx collecting results@149/0-RX-38,Prepare hardware matmul job@24/?-work_queue,826.3,732.6,427.2,433.2,812.8
5,137842506536203,831.2,528.2,273.4,29.6,11.2,784.9,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,828.8,729.4,498.5,503.8,805.8
6,137842511452699,1621.5,642.5,857.5,121.4,72.4,1298.1,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,1619.0,1298.1,564.5,581.4,1603.2
7,137842517129236,1929.2,833.1,931.4,164.7,60.7,1418.8,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,1927.0,1418.8,654.5,916.4,1912.0
8,137842523086191,449.9,135.1,286.0,28.8,11.9,413.0,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,447.1,357.3,117.7,122.5,434.4
9,137842527594817,458.7,128.5,305.2,25.1,12.6,419.8,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,455.7,361.3,103.7,110.4,442.2
10,137842532079803,1121.7,590.0,483.5,48.3,19.6,600.2,rx collecting results@149/0-RX-38,prepare streams@25/0-worker,1118.6,1026.0,621.0,624.4,1106.0
11,137842537227949,527.7,147.3,355.8,24.7,11.1,466.1,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,523.9,411.2,167.3,191.5,487.2
12,137842541783283,1186.2,327.5,673.5,185.2,101.1,1058.2,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1183.8,726.2,118.0,122.6,1168.7
13,137842547027367,444.4,134.2,283.4,26.8,13.1,407.6,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,441.9,339.8,116.1,120.8,430.1
14,137842551500200,534.7,143.9,356.8,33.9,17.7,493.0,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,139.9,434.6,116.2,139.9,
15,137842556069929,1539.7,385.5,458.2,695.9,560.1,505.9,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,1536.7,505.9,127.9,131.8,1524.1
16,137842561675153,509.3,126.4,355.8,27.2,12.7,470.6,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,506.6,415.4,108.2,121.8,493.4
17,137842566271826,1111.0,622.8,410.2,78.0,47.0,631.6,rx collecting results@149/0-RX-38,prepare streams@25/0-worker,1107.2,1008.3,693.3,711.6,1088.8
18,137842571418225,955.8,502.5,376.9,76.3,44.7,492.5,rx collecting results@149/0-RX-38,prepare streams@25/0-worker,953.4,847.4,539.2,553.1,926.8
19,137842576534274,501.3,142.0,327.1,32.2,18.5,456.3,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,498.1,394.0,123.7,133.6,484.5
20,137842581087571,1140.6,516.1,577.4,47.2,23.2,657.6,rx collecting results@149/0-RX-38,prepare streams@25/0-worker,1138.6,1042.1,682.0,686.7,1125.7
21,137842586239105,466.3,134.4,304.1,27.7,13.5,426.4,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,463.1,361.7,100.7,113.8,449.6
22,137842590724004,537.4,121.1,388.0,28.3,11.9,500.9,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,535.3,443.2,103.9,113.7,522.1
23,137842595338327,1885.5,782.2,890.7,212.7,84.2,1776.4,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1883.0,1438.5,685.9,709.5,1870.4
24,137842601276338,574.9,170.3,369.6,35.0,10.8,519.4,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,572.5,463.3,153.6,160.3,539.8
25,137842605881109,451.3,130.7,285.5,35.1,22.2,403.4,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,449.1,347.5,110.9,118.2,435.7
26,137842610377380,535.3,132.1,377.2,26.1,13.7,497.4,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,532.6,436.0,118.1,122.3,520.1
27,137842614923252,452.9,164.3,262.6,26.0,11.7,416.0,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,449.9,360.2,140.3,144.1,437.0
28,137842619405088,1881.6,812.4,839.6,229.5,86.2,1769.3,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1880.1,1442.0,685.3,691.8,1865.3
29,137842625321030,537.1,148.9,361.1,27.1,12.1,491.3,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,534.2,434.4,133.3,137.5,513.1
30,137842629869215,553.5,163.3,358.3,31.9,14.1,503.0,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,550.5,449.9,188.3,192.9,526.7
31,137842634519849,522.0,123.7,359.0,39.4,26.4,470.0,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,518.6,414.1,110.4,114.1,505.8
32,137842639056049,1870.1,676.4,846.3,347.4,127.3,1511.3,gather_token_job_ids@24/?-work_queue,resize@24/?-work_queue,1867.3,1321.5,596.8,612.7,1853.9
33,137842645061241,558.3,126.0,401.1,31.2,12.2,520.8,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,556.8,462.5,147.8,154.5,542.6
34,137842649681920,1338.1,324.4,745.3,268.4,163.7,1144.1,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1335.9,794.1,110.4,113.6,1316.9
35,137842655054119,1195.3,602.0,505.0,88.4,47.9,623.2,rx collecting results@149/0-RX-38,prepare streams@25/0-worker,1192.5,1098.6,672.8,676.3,1178.9
36,137842660287350,473.6,165.1,282.2,26.4,13.8,415.0,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,470.1,361.6,121.2,124.6,437.3
37,137842664802057,570.4,229.6,317.2,23.7,11.0,522.2,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,566.7,467.2,236.7,241.9,552.5
38,137842669421238,1651.4,574.2,938.3,138.9,83.5,1374.9,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,1648.5,1374.9,592.2,596.0,1635.3
39,137842675128802,428.7,138.3,267.3,23.0,10.6,393.1,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,425.7,326.9,105.5,111.8,413.0
40,137842679601105,958.5,319.6,436.3,202.6,89.2,844.6,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,957.0,483.7,105.2,119.8,942.8
41,137842684608304,446.8,127.5,295.4,23.8,10.5,408.9,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,444.1,350.0,93.9,113.7,430.2
42,137842689119082,1098.7,565.2,471.0,62.5,28.0,566.6,rx collecting results@149/0-RX-38,prepare streams@25/0-worker,1095.8,1006.8,595.6,606.4,1082.6
43,137842694248391,550.6,136.8,389.2,24.7,12.6,513.6,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,547.5,459.3,116.4,120.7,535.3
44,137842698852687,518.9,134.7,358.7,25.6,11.6,482.9,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,516.5,418.5,115.0,120.0,503.4
45,137842703429566,955.4,624.9,293.7,36.8,11.4,911.6,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,952.7,853.7,612.6,626.7,932.8
46,137842708384851,508.4,121.4,362.6,24.4,11.7,462.8,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,505.7,411.2,100.3,105.8,491.9
47,137842712953211,1140.8,159.7,884.0,97.1,44.7,921.4,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,1138.1,921.4,109.6,113.2,1123.9
48,137842718103546,1111.6,579.9,478.9,52.8,25.2,565.2,rx collecting results@149/0-RX-38,prepare streams@25/0-worker,1108.6,1020.4,592.3,703.5,1095.8
49,137842723258732,470.9,119.1,322.0,29.8,12.6,432.1,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,466.4,377.0,126.3,134.8,454.5
50,137842727736736,734.0,153.1,485.4,95.5,60.1,222.6,rx collecting results@147/0-RX-10,Launch hardware matmul job@24/?-work_queue,730.9,635.7,336.3,347.9,717.4
51,137842732481695,886.8,566.3,294.2,26.3,13.7,843.1,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,879.2,790.6,549.7,560.4,865.9
52,137842737378393,1004.1,522.9,420.7,60.5,31.4,553.2,rx collecting results@149/0-RX-38,prepare streams@25/0-worker,1001.5,897.8,586.7,590.4,977.2
53,137842742377960,505.0,111.2,356.4,37.4,12.2,460.2,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,504.5,404.3,95.3,102.2,490.6
54,137842746923341,524.7,138.2,360.2,26.3,11.5,488.5,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,522.8,423.2,120.2,123.8,509.5
55,137842751494250,455.5,120.4,307.4,27.6,12.0,417.5,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,452.9,358.1,118.3,122.2,439.6
56,137842755954382,523.2,130.5,366.3,26.4,10.9,486.4,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,520.4,431.5,106.3,120.5,506.9
57,137842760515183,435.3,120.3,285.3,29.7,13.8,396.6,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,433.0,344.1,102.7,117.2,420.3
58,137842765016827,530.2,141.4,360.3,28.5,14.3,482.3,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,527.9,426.4,122.7,128.2,505.8
59,137842769540117,438.4,136.9,272.1,29.5,10.2,385.8,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,435.8,331.0,97.9,101.1,405.7
60,137842774022066,519.7,134.5,355.2,30.0,11.9,482.3,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,517.3,415.6,108.8,115.9,503.9
61,137842778587375,804.5,473.9,306.3,24.3,11.3,767.6,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,803.1,700.2,451.1,460.3,788.1
62,137842783420025,490.3,125.7,337.1,27.5,12.3,454.0,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,488.1,402.2,103.7,109.7,475.8
63,137842787955099,429.6,118.2,285.8,25.6,10.3,393.6,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,427.3,337.8,104.7,109.5,413.3
64,137842792394652,533.1,130.9,376.3,25.9,12.2,495.1,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,529.5,440.1,121.7,125.6,516.3
65,137842796927152,514.6,189.3,300.6,24.7,11.6,475.6,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,512.2,420.7,164.5,170.2,497.1
66,137842801535425,973.6,521.7,413.3,38.6,14.6,925.3,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,970.9,867.3,529.7,533.9,949.7
67,137842806559468,513.6,118.6,357.3,37.8,23.4,464.8,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,511.0,405.5,98.6,115.7,497.9
68,137842811108721,1113.7,528.8,520.6,64.3,37.7,536.8,rx collecting results@149/0-RX-38,prepare streams@25/0-worker,1111.0,1010.6,575.9,587.6,1097.7
69,137842816212985,1093.4,553.4,466.8,73.2,30.1,598.1,rx collecting results@149/0-RX-38,prepare streams@25/0-worker,1091.2,1003.3,629.9,634.8,1078.4
70,137842821376189,501.0,119.3,357.1,24.6,11.6,463.3,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,497.6,411.8,110.7,113.8,484.8
71,137842825914784,528.5,143.9,356.3,28.3,13.0,490.2,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,527.0,434.3,128.5,136.8,512.8
72,137842830527760,538.5,147.2,366.5,24.8,11.2,495.4,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,536.1,438.4,140.8,145.3,516.6
73,137842835093805,466.3,133.6,307.7,25.0,12.5,420.3,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,464.5,365.5,110.7,117.5,450.3
74,137842839551681,442.7,116.0,287.0,39.6,10.5,404.7,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,439.8,337.7,117.9,124.0,425.9
75,137842844038799,509.8,143.6,341.8,24.4,11.5,472.4,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,506.9,416.9,112.7,124.7,493.6
76,137842848660287,442.6,124.9,292.1,25.6,11.8,403.6,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,438.6,347.7,105.6,116.8,425.6
77,137842853102945,1090.5,637.2,389.3,63.9,32.1,649.0,rx collecting results@149/0-RX-38,prepare streams@25/0-worker,1087.6,997.2,686.1,694.2,1074.6
78,137842858284839,1790.2,788.6,847.5,154.2,83.9,1491.4,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,1787.3,1491.4,740.1,761.5,1766.4
79,137842864098108,509.9,130.4,354.3,25.3,11.9,462.1,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,506.6,408.2,103.5,107.7,492.3
80,137842868711365,508.6,129.8,350.9,27.9,12.5,471.1,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,506.3,406.1,97.9,103.7,493.1
81,137842873314192,516.3,119.0,374.1,23.2,10.3,480.6,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,514.8,425.7,116.1,130.8,500.9
82,137842877851405,575.4,266.1,279.3,30.0,15.8,534.8,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,572.8,481.1,243.4,248.3,559.6
83,137842882494912,1747.5,745.9,776.7,225.0,76.3,1646.8,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1744.6,1300.7,568.5,583.1,1732.5
84,137842888407479,522.2,138.2,352.1,31.9,12.3,483.7,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,519.3,426.3,123.1,131.9,505.5
85,137842893008016,1219.5,571.2,581.5,66.8,36.7,584.4,rx collecting results@149/0-RX-38,prepare streams@25/0-worker,1217.9,1118.6,623.0,637.1,1197.8
86,137842898307089,949.2,549.1,315.2,84.9,52.1,554.4,rx collecting results@149/0-RX-38,prepare streams@25/0-worker,947.6,850.7,611.4,628.6,933.8
87,137842903304316,527.0,126.1,375.5,25.4,12.3,489.7,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,524.8,428.1,106.6,110.6,511.7
88,137842907892227,540.1,201.4,310.0,28.7,12.4,500.4,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,536.5,443.3,180.8,202.4,522.3
89,137842912459390,513.3,129.6,359.4,24.3,12.0,475.6,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,510.7,420.4,111.1,116.8,497.9
90,137842916989344,511.7,128.2,358.0,25.5,11.6,475.3,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,508.9,421.4,121.0,124.2,495.8
91,137842921518939,530.8,149.0,354.7,27.1,10.9,488.1,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,528.2,426.0,116.7,123.2,508.8
92,137842926076959,527.6,133.1,367.1,27.4,11.7,482.3,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,524.9,428.4,114.5,125.9,512.1
93,137842930688872,463.9,125.0,310.1,28.8,11.1,427.7,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,461.9,357.3,104.2,112.4,447.5
