window,start_ts,dur_us,n_slices,n_threads,n_data_ready,n_rope_spans,us:fill_logits_buffer,us:waiting_for_logits,us:notify_listener,us:setup_logits,us:finalize_minibatches,us:construct_minibatches,us:gather_token_data,us:compute_forward_args,us:forward args,us:forward,us:add_tokens,us:finalize_ranges,us:work_queue::do_work get_work,us:poll_dma_completions,us:matmul enqueue,us:Prepare hardware matmul job,us:Launch hardware matmul job,us:legacy hw_prepare,us:legacy tx_launch,us:tx submitting activation DMA request,us:rx collecting results,us:data ready,us:Rope Q,us:Free scratchpads,us:other
0,136761654353205,1146.818,239,10,28,0,286.152,175.714,294.997,0.789,1.039,17.406,0.681,24.374,0.0,82.405,1.61,5.507,1.634,0.0,10.96,37.001,22.599,23.949,2461.923,32.369,1363.968,0.0,0.0,3.835,117.478
1,136761659503901,948.039,237,10,28,0,306.57,177.228,313.965,0.421,0.62,5.193,0.191,18.846,0.0,63.63,0.73,1.631,1.081,0.0,8.163,232.453,15.295,219.063,1335.582,29.593,1169.458,0.0,0.0,3.368,309.745
2,136761664542445,517.964,234,10,28,0,300.241,170.41,306.89,0.475,0.489,7.819,0.214,18.102,0.0,66.259,0.755,1.356,1.12,0.0,7.229,45.279,13.323,34.214,234.608,24.859,962.293,0.0,0.0,3.644,65.306
3,136761669080582,1405.385,239,10,28,0,250.782,181.949,257.879,0.389,0.47,5.182,0.211,18.734,0.0,62.297,0.874,1.4,0.805,0.0,121.589,74.676,129.218,55.698,3885.777,862.816,968.052,0.0,0.0,3.966,81.012
4,136761674537483,695.02,242,10,28,1,475.548,208.125,482.538,0.472,0.494,4.902,0.213,17.294,0.0,69.082,0.686,1.398,0.971,0.0,8.008,32.713,35.759,22.126,256.421,24.57,1000.034,0.0,0.0,3.38,48.935
5,136761679274890,1377.04,238,10,28,1,634.414,239.027,704.349,1.079,2.755,57.399,1.283,88.459,0.0,358.027,7.113,9.128,4.944,0.0,7.895,32.791,18.478,21.957,297.993,25.45,991.706,0.0,0.0,2.923,417.669
6,136761684741751,553.562,224,10,24,1,326.484,201.332,333.037,0.456,0.477,5.6,0.219,18.114,0.0,75.783,0.484,1.059,0.714,0.0,7.777,32.795,13.895,21.417,252.804,21.603,968.371,0.0,0.0,3.569,68.999
7,136761689347716,1739.934,239,10,28,0,651.617,243.178,710.035,0.416,0.467,4.547,0.208,33.966,0.0,64.784,5.35,1.291,7.308,0.0,8.745,553.923,16.243,539.094,2672.704,27.649,1052.201,0.0,0.0,2.708,82.191
8,136761695175307,442.585,235,10,28,0,234.074,187.498,239.845,0.461,0.443,4.77,0.204,18.703,0.0,61.299,0.734,1.249,0.869,0.0,6.931,44.286,14.015,33.718,189.915,26.532,997.593,0.0,0.0,3.008,58.395
9,136761699625046,1434.13,239,10,28,0,622.647,240.538,692.304,0.446,0.523,45.644,0.225,98.426,0.0,121.4,6.472,7.011,7.031,0.0,7.976,176.829,14.986,56.585,1060.366,25.938,1112.796,0.0,0.0,3.199,272.989
10,136761705184628,541.118,243,10,28,1,299.397,174.639,306.154,0.411,0.502,4.494,0.199,19.49,0.0,73.505,0.675,1.636,0.781,0.0,12.041,39.975,34.341,29.523,271.65,25.146,962.034,0.0,0.0,3.556,58.794
11,136761709760341,527.677,228,10,26,0,238.667,209.949,244.967,0.444,0.464,4.289,0.239,18.651,0.0,71.829,0.658,1.428,0.847,0.0,7.537,33.039,13.592,21.856,526.75,23.878,945.611,0.0,0.0,3.137,56.182
12,136761714339007,1729.572,223,10,24,0,652.724,250.671,713.653,0.418,0.484,59.431,0.255,97.308,0.0,210.011,3.206,6.644,3.528,0.0,8.953,73.318,15.108,58.97,1649.513,25.35,1193.103,0.0,0.0,3.431,580.934
13,136761720105085,1820.926,243,10,28,0,634.505,211.347,693.385,0.443,0.448,64.464,0.953,84.383,0.0,275.556,3.881,8.371,10.423,0.0,88.233,82.873,96.759,70.804,1692.438,26.82,1170.535,0.0,0.0,3.428,551.822
14,136761726045245,1431.858,239,10,28,0,302.041,179.537,308.053,0.395,0.462,4.788,0.227,18.736,0.0,62.515,0.724,1.315,0.694,0.0,11.766,159.927,19.273,52.675,1616.37,30.749,1980.274,0.0,0.0,4.193,381.455
15,136761731511905,1587.827,234,10,28,0,652.569,337.161,713.512,0.415,0.463,4.683,0.186,19.741,0.0,66.796,0.598,1.623,0.945,0.0,7.393,184.553,13.976,63.719,2092.629,26.061,1150.305,0.0,0.0,4.116,379.643
16,136761737196557,765.847,228,10,26,0,381.761,164.762,388.135,0.412,0.624,5.357,0.187,19.027,0.0,69.433,0.704,1.225,0.92,0.0,6.995,44.164,13.09,33.222,230.09,22.834,958.291,0.0,0.0,2.528,58.542
17,136761741991421,1080.402,233,10,28,0,634.739,228.845,696.208,0.426,0.489,24.789,0.25,83.609,0.0,105.33,2.366,5.037,7.027,0.0,7.853,43.496,14.23,22.132,235.338,24.721,965.267,0.0,0.0,3.242,83.359
18,136761747160606,953.295,237,10,28,0,664.292,233.691,724.057,0.441,0.475,5.359,0.219,18.564,0.0,76.669,0.739,1.104,0.802,0.0,7.634,32.554,14.533,21.813,273.584,24.611,948.028,0.0,0.0,3.073,84.473
19,136761752165827,449.46,235,10,27,0,227.747,183.712,233.278,0.441,0.465,4.837,0.194,18.577,0.0,62.471,0.638,1.274,1.083,0.0,8.17,35.367,24.357,24.315,369.576,48.262,972.499,0.0,0.0,3.463,59.057
20,136761756737173,651.91,230,10,27,0,241.089,178.332,247.226,0.445,0.421,5.114,0.211,18.933,0.0,62.623,0.615,1.196,0.85,0.0,7.499,156.162,13.89,58.126,481.394,23.928,1179.484,0.0,0.0,3.216,142.487
21,136761761417673,1737.041,233,10,28,0,617.083,212.582,684.351,0.432,0.401,57.835,0.196,80.263,0.0,259.989,7.86,7.717,8.407,0.0,9.325,85.725,109.216,67.464,1466.078,26.971,1182.928,0.0,0.0,3.639,516.209
22,136761767282340,1771.934,229,10,26,0,657.12,234.213,733.213,0.446,0.417,57.742,0.192,77.219,0.0,169.931,2.707,9.329,3.632,0.0,8.807,82.323,15.062,65.567,1520.629,28.718,1245.672,0.0,0.0,3.055,509.055
23,136761773139913,1144.045,229,10,26,1,351.257,192.41,357.448,0.429,0.422,4.577,0.246,17.757,0.0,76.032,0.666,1.236,0.941,0.0,7.196,90.92,13.344,73.014,1532.945,23.971,1255.75,0.0,0.0,3.385,404.916
24,136761778355687,1721.157,239,10,28,0,638.65,219.442,695.404,0.46,0.423,12.799,0.191,98.359,0.0,106.661,4.436,6.02,4.408,0.0,10.092,78.08,17.223,58.82,2080.61,25.322,1136.925,0.0,0.0,4.028,437.878
