window,start_ts,span_us,work_cov_us,wait_cov_us,idle_us,biggest_gap_us,gap_at_off_us,gap_before,gap_after,last_dataready_off_us,fill_end_off_us,listener_start_off_us,wcls_last_dr_off_us,dispatch_first_dr_off_us
0,137079790313982,908.0,187.0,612.5,108.5,79.1,10.5,Launch hardware matmul job@24/?-work_queue,legacy tx_launch@5/0-TX-38,905.1,774.3,525.9,532.6,879.4
1,137079795209566,480.4,136.2,311.3,32.9,11.8,372.0,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,478.8,372.0,122.5,126.3,463.7
2,137079799728930,662.1,357.2,278.8,26.1,12.4,623.8,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,659.5,557.1,313.9,320.0,646.5
3,137079804523478,857.2,539.2,284.0,34.0,11.0,821.1,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,850.3,752.7,494.6,502.3,841.7
4,137079809539909,456.1,131.6,297.2,27.3,10.7,419.6,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,454.4,366.2,126.6,130.4,441.2
5,137079814056859,1133.9,546.5,494.2,93.3,67.2,522.8,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1132.4,1042.2,591.3,595.7,1118.6
6,137079819220393,513.4,137.6,350.7,25.1,10.4,477.8,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,511.6,422.6,111.0,115.8,498.0
7,137079823789035,677.5,233.0,361.4,83.1,55.8,50.7,kernel_add_rmsnorm_70@25/0-worker,Prepare hardware matmul job@24/?-work_queue,675.6,561.0,259.3,263.1,633.2
8,137079828612288,879.8,193.0,655.3,31.5,12.0,830.7,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,877.8,773.7,471.8,476.4,863.4
9,137079833559887,887.3,484.0,378.5,24.8,11.0,850.5,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,884.5,780.4,479.2,486.8,871.4
10,137079838545029,811.3,480.8,305.0,25.4,10.8,774.6,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,808.9,718.3,471.3,490.5,795.3
11,137079843482352,454.6,131.0,298.2,25.5,11.8,417.4,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,453.0,362.0,120.8,126.3,439.6
12,137079848087007,1294.1,844.8,419.1,30.2,11.1,1257.0,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1292.2,1196.4,937.2,941.4,1278.1
13,137079853462928,568.8,144.6,399.2,25.0,12.2,516.9,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,566.0,462.4,127.2,132.1,550.3
14,137079858102615,1891.0,730.5,782.3,378.2,195.8,1669.9,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1889.4,1288.5,567.4,572.8,1875.4
15,137079864204026,516.1,142.2,339.3,34.6,12.5,479.4,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,514.5,415.8,170.9,174.8,501.6
16,137079868799696,670.4,302.4,341.1,26.9,10.6,634.6,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,668.8,575.9,337.8,344.3,655.9
17,137079873616970,446.8,140.1,282.9,23.9,10.8,410.0,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,444.4,351.0,126.9,130.8,430.8
18,137079878164229,533.3,149.4,359.4,24.5,10.3,491.9,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,531.7,437.4,129.9,137.9,511.4
19,137079882760032,692.4,316.2,347.6,28.6,12.5,645.1,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,690.9,587.3,284.1,288.4,675.4
20,137079887528005,596.0,149.0,419.5,27.4,14.6,555.8,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,593.9,487.5,167.6,172.7,580.7
21,137079892233704,991.1,510.7,389.1,91.2,65.7,496.5,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,989.4,899.4,564.8,573.2,975.7
22,137079897332035,925.7,508.3,328.4,89.0,64.1,463.2,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,923.3,835.5,529.5,534.9,908.7
23,137079902359156,449.0,126.9,296.8,25.3,12.0,411.2,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,447.4,356.0,114.3,119.0,433.4
24,137079906938124,2112.8,1006.8,844.9,261.1,87.2,1630.0,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,2111.4,1630.0,838.7,844.0,2085.1
25,137079913170639,448.0,123.5,302.9,21.5,9.5,401.8,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,444.9,347.2,111.4,115.0,429.9
26,137079917778285,1333.0,469.6,760.0,103.4,68.5,431.5,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1331.1,1227.8,501.9,506.5,1317.3
27,137079923219695,464.1,132.4,309.2,22.5,10.7,428.0,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,462.4,373.8,134.5,145.9,447.9
28,137079927806063,691.9,311.0,352.2,28.6,12.2,655.1,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,690.2,599.9,300.8,305.1,676.9
29,137079932654818,467.9,131.4,306.2,30.4,14.5,428.3,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,466.0,370.8,130.0,134.2,452.3
30,137079937266139,1047.6,526.6,386.6,134.4,60.5,561.1,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1046.1,951.7,623.9,632.8,1023.8
31,137079942467702,1596.6,662.4,773.4,160.8,76.6,1255.1,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,1592.8,1255.1,547.4,565.7,1579.7
32,137079948229661,597.8,141.6,433.3,22.9,11.2,560.5,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,595.5,497.7,199.0,204.7,581.2
33,137079952973387,536.3,141.3,368.3,26.7,10.8,500.4,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,534.3,442.6,138.6,142.7,520.4
34,137079957600183,857.6,468.7,353.0,35.9,18.8,754.4,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,854.7,754.4,447.2,452.3,842.0
35,137079962547686,468.1,128.0,312.2,27.8,10.9,418.4,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,466.5,364.9,106.3,111.9,438.8
36,137079967093834,1224.5,544.6,464.0,215.9,119.1,203.2,kernel_add_rmsnorm_70@25/0-worker,Prepare hardware matmul job@24/?-work_queue,1221.7,1120.0,874.7,882.0,1197.4
37,137079972431623,506.8,111.6,370.7,24.5,9.6,459.5,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,504.8,405.9,100.4,105.2,478.9
38,137079977112668,1096.6,514.1,489.7,92.9,62.5,493.0,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1095.1,992.8,556.6,560.8,1082.1
39,137079982372178,528.9,129.0,365.8,34.1,12.2,491.8,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,526.7,426.2,117.6,122.3,513.7
40,137079986991383,537.7,139.8,372.3,25.7,12.6,500.2,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,535.1,446.9,141.6,159.8,522.1
41,137079991612349,763.0,453.6,283.0,26.4,10.9,725.6,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,760.4,667.5,427.3,436.5,746.4
42,137079996537587,437.6,133.6,279.2,24.9,9.3,396.5,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,435.7,343.6,113.7,120.2,416.9
43,137080001114094,1086.5,509.9,484.1,92.5,64.7,481.8,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1083.6,984.5,547.6,551.3,1061.0
44,137080006296234,1914.8,889.3,772.5,253.0,76.0,1812.3,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1912.7,1355.4,643.0,647.5,1898.3
45,137080012438589,1145.2,727.1,387.5,30.7,16.1,1103.6,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1143.3,1036.6,719.9,725.7,1129.8
46,137080017679545,452.1,134.0,294.7,23.4,10.3,410.5,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,450.1,355.1,114.7,119.1,429.9
47,137080022200653,1062.5,536.0,437.5,89.0,61.8,555.4,rx collecting results@149/0-RX-38,prepare streams@25/0-worker,1060.9,956.3,619.9,650.4,1034.8
48,137080027355927,969.5,524.4,365.5,79.6,56.0,496.5,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,967.0,871.6,554.7,566.7,953.3
49,137080032513600,457.3,123.0,306.2,28.1,10.9,421.3,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,455.6,362.7,110.7,115.9,442.2
50,137080037114469,1125.1,702.3,342.7,80.1,56.6,671.8,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1123.5,1033.9,729.9,735.1,1110.6
51,137080042318606,927.8,519.5,316.2,92.2,66.8,498.8,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,926.3,836.7,567.9,582.2,912.5
52,137080047341263,517.1,127.7,366.0,23.4,10.8,481.3,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,515.5,426.4,124.4,128.1,502.4
53,137080052043695,1145.3,540.4,515.0,89.8,62.8,522.4,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1143.4,1045.8,586.4,589.9,1123.9
54,137080057322516,935.5,518.0,326.0,91.5,63.0,457.0,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,933.6,828.2,534.2,546.4,917.7
55,137080062369537,972.5,510.0,378.1,84.3,57.2,487.1,rx collecting results@148/0-RX-13,prepare streams@25/0-worker,970.6,875.1,558.5,575.7,957.4
56,137080067467753,446.4,142.7,279.0,24.6,12.8,406.6,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,444.9,352.7,124.6,130.1,429.9
57,137080072035412,1716.7,695.1,751.3,270.4,88.8,1601.8,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1714.6,1248.5,534.2,537.7,1700.2
58,137080077894288,1255.3,551.5,617.0,86.7,63.4,510.6,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1252.3,1164.1,590.7,599.1,1237.2
59,137080083277366,550.4,141.9,381.6,27.0,10.7,507.3,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,548.9,451.4,127.7,137.6,528.0
60,137080087952110,540.6,151.9,357.4,31.3,18.5,496.3,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,538.6,441.6,138.9,143.7,524.8
61,137080092591274,878.1,483.7,350.8,43.5,13.1,838.4,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,876.4,768.5,452.0,457.4,862.1
62,137080097589117,1523.8,481.4,542.0,500.5,483.9,953.9,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,1521.8,953.9,449.0,458.7,1507.3
63,137080103198980,1057.8,483.8,475.8,98.2,72.0,451.6,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1056.2,966.8,526.0,537.8,1042.9
64,137080108488856,1589.7,631.8,784.7,173.2,66.0,558.2,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1587.3,1353.3,634.1,646.6,1572.3
65,137080114234348,456.3,130.7,298.6,27.0,10.2,414.7,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,453.9,358.3,121.6,126.9,434.6
66,137080118784619,452.8,122.5,305.9,24.4,10.9,410.3,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,450.1,356.4,106.1,117.5,430.9
67,137080123395972,905.5,515.0,295.9,94.7,68.5,473.8,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,903.6,807.1,544.3,551.0,887.7
68,137080128410812,1850.9,721.6,749.8,379.5,205.4,1296.2,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,1848.6,1296.2,600.3,629.0,1836.0
69,137080134382713,955.3,507.3,357.2,90.8,65.3,483.6,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,952.6,861.0,551.4,559.2,938.2
70,137080139446974,516.7,136.0,358.2,22.5,10.1,481.1,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,514.5,426.7,129.3,135.4,501.1
71,137080144077961,1126.5,505.7,534.7,86.0,58.1,465.7,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1124.6,1027.3,525.2,528.5,1106.3
72,137080149357155,511.2,128.3,359.7,23.1,9.5,469.6,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,509.0,417.0,106.7,113.8,489.0
73,137080153983655,503.6,117.1,358.9,27.6,15.1,462.1,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,501.2,408.7,108.6,112.3,487.0
74,137080158611368,529.4,134.4,369.4,25.7,10.4,491.1,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,527.3,420.2,113.4,118.7,512.3
75,137080163283018,944.5,496.7,352.1,95.6,71.4,457.4,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,942.2,851.8,531.1,548.1,927.6
76,137080168282633,523.4,135.0,364.8,23.6,11.1,487.7,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,521.7,434.0,126.0,129.6,508.2
77,137080172926846,562.6,170.0,362.1,30.5,13.9,516.9,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,560.1,460.9,162.8,166.5,540.7
78,137080177622416,511.9,128.4,358.7,24.9,10.0,470.6,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,509.5,414.3,106.1,112.3,490.8
79,137080182245514,520.8,133.7,362.6,24.5,10.7,479.0,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,518.1,423.9,121.4,126.7,504.4
80,137080186898745,495.7,195.8,271.6,28.3,10.9,393.4,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,493.7,393.4,162.4,168.0,479.7
81,137080191546836,464.7,131.2,307.5,26.0,11.1,419.8,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,464.6,367.9,117.5,132.3,442.0
82,137080196162716,1879.9,764.8,842.5,272.6,94.8,1407.7,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,1878.2,1407.7,697.8,706.8,1863.9
83,137080202179754,1061.4,513.4,473.7,74.3,49.4,490.7,rx collecting results@149/0-RX-38,prepare streams@25/0-worker,1059.2,968.7,542.4,555.0,1044.7
84,137080207304915,976.4,581.5,299.8,95.1,65.7,530.1,rx collecting results@149/0-RX-38,prepare streams@25/0-worker,974.5,866.6,598.1,609.0,945.6
85,137080212387959,891.9,504.4,297.6,90.0,68.4,474.8,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,890.1,796.0,545.3,558.5,876.1
86,137080217378880,968.9,513.5,364.1,91.3,63.3,481.9,rx collecting results@149/0-RX-38,prepare streams@25/0-worker,967.1,869.1,547.6,559.6,953.5
87,137080222484396,922.5,506.6,331.8,84.1,56.5,456.8,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,922.6,826.7,519.6,526.0,919.1
88,137080227581786,444.1,132.7,281.5,29.9,11.4,398.1,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,442.0,344.5,111.1,116.5,428.0
89,137080232157213,520.9,127.0,369.7,24.2,11.8,483.4,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,518.4,428.4,117.8,123.5,505.1
90,137080236811764,553.0,258.6,270.8,23.6,10.8,510.1,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,546.4,458.5,230.1,234.5,532.4
91,137080241461786,883.9,536.4,291.1,56.4,31.1,519.3,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,882.0,787.5,551.9,559.5,863.1
