window,start_ts,dur_us,n_slices,n_threads,n_data_ready,n_rope_spans,us:fill_logits_buffer,us:waiting_for_logits,us:notify_listener,us:setup_logits,us:finalize_minibatches,us:construct_minibatches,us:gather_token_data,us:compute_forward_args,us:forward args,us:forward,us:add_tokens,us:finalize_ranges,us:work_queue::do_work get_work,us:poll_dma_completions,us:matmul enqueue,us:Prepare hardware matmul job,us:Launch hardware matmul job,us:legacy hw_prepare,us:legacy tx_launch,us:tx submitting activation DMA request,us:rx collecting results,us:data ready,us:Rope Q,us:Free scratchpads,us:other
0,137079790313982,908.05,144,10,16,1,237.807,179.112,248.409,0.802,0.989,6.914,0.737,24.124,0.0,90.184,1.266,5.493,4.843,0.0,7.286,16.003,18.029,10.775,1379.955,26.724,928.099,0.0,0.0,3.494,126.122
1,137079795209566,480.633,243,10,28,0,236.008,177.211,249.452,0.368,0.455,4.773,0.222,18.893,0.0,72.022,0.718,1.671,1.06,0.0,10.807,47.55,19.813,36.396,298.893,25.227,1013.846,0.0,0.0,2.161,48.618
2,137079799728930,662.051,230,10,27,0,236.591,178.725,243.252,0.333,0.472,5.157,0.253,18.982,0.0,74.441,0.731,1.441,0.789,0.0,9.682,86.99,15.76,65.576,894.433,26.285,1056.152,0.0,0.0,3.091,275.62
3,137079804523478,857.224,218,10,23,0,252.152,204.541,258.093,0.407,0.49,5.221,0.255,18.719,0.0,62.087,0.81,1.645,10.789,0.0,8.391,96.85,18.064,80.147,1509.516,57.752,1055.47,0.0,0.0,2.25,418.436
4,137079809539909,456.173,229,10,27,0,233.247,186.643,239.541,0.351,0.444,4.18,0.238,18.68,0.0,59.969,0.752,1.385,0.955,0.0,7.845,46.335,13.998,23.535,235.79,25.709,1071.211,0.0,0.0,2.245,54.066
5,137079814056859,1134.156,241,10,28,0,444.543,200.255,450.882,0.239,0.439,5.418,0.237,18.032,0.0,60.371,0.758,1.365,0.798,0.0,114.574,92.902,121.92,74.913,1226.122,25.082,1034.544,0.0,0.0,2.223,396.317
6,137079819220393,513.397,221,10,24,0,305.375,187.825,311.616,0.429,0.441,5.242,0.234,17.855,0.0,61.513,0.712,1.377,0.971,0.0,7.106,37.523,23.577,25.78,189.306,21.349,1006.843,0.0,0.0,2.495,62.339
7,137079823789035,677.481,235,10,28,0,295.196,174.523,301.695,0.364,0.434,4.205,0.223,17.083,0.0,87.38,0.988,1.744,0.854,0.0,7.836,116.863,13.958,98.974,184.495,25.157,1094.348,0.0,0.0,2.35,103.376
8,137079828612288,879.778,225,10,25,0,295.556,177.042,301.967,0.363,0.463,4.349,0.217,17.147,0.0,73.933,0.883,1.269,0.782,0.0,10.914,85.644,17.471,57.136,1632.953,23.599,1024.29,0.0,0.0,2.461,89.167
9,137079833559887,887.259,237,10,28,0,295.549,187.903,301.217,0.389,0.516,5.435,0.269,18.769,0.0,75.844,0.749,1.317,0.805,0.0,9.136,78.614,17.248,64.317,1577.828,24.884,1123.831,0.0,0.0,3.171,405.303
10,137079838545029,811.29,235,10,28,0,241.298,185.9,247.035,0.439,0.5,4.535,0.265,18.389,0.0,61.446,0.694,1.331,0.78,0.0,9.517,69.918,23.847,53.351,1518.422,24.876,1038.228,0.0,0.0,2.869,390.707
11,137079843482352,454.884,231,10,27,0,235.697,184.081,241.194,0.428,0.498,5.092,0.249,18.388,0.0,62.636,0.617,1.353,0.903,0.0,7.282,44.756,13.669,33.29,262.681,22.931,1039.544,0.0,0.0,2.164,59.729
12,137079848087007,1294.113,241,10,28,0,252.791,185.696,259.225,0.392,0.456,5.303,0.229,19.772,0.0,63.008,0.712,1.199,0.959,0.0,9.86,444.53,17.331,62.504,2295.342,25.478,1118.04,0.0,0.0,2.362,395.06
13,137079853462928,568.844,239,10,28,0,323.544,184.277,335.293,0.352,0.449,4.97,0.231,18.168,0.0,76.489,0.627,1.292,0.837,0.0,8.836,58.122,17.538,27.95,233.691,24.986,1053.445,0.0,0.0,3.46,59.806
14,137079858102615,1891.285,240,10,28,0,652.565,192.921,721.063,2.42,1.146,55.152,1.266,113.219,0.0,368.82,5.172,11.346,5.756,0.0,10.215,82.38,17.671,62.219,1627.612,25.603,1070.254,0.0,0.0,2.058,554.574
15,137079864204026,516.193,236,10,27,0,236.052,184.339,244.947,0.342,0.449,4.864,0.222,18.341,0.0,61.007,0.685,1.386,1.054,0.0,7.571,33.408,17.944,22.484,534.137,24.313,1117.161,0.0,0.0,2.327,68.833
16,137079868799696,670.634,243,10,28,0,231.69,177.662,238.101,0.407,0.48,4.453,0.24,18.457,0.0,61.524,0.752,1.113,0.85,0.0,11.096,203.435,23.085,189.195,1169.838,27.35,1019.95,0.0,0.0,2.157,52.945
17,137079873616970,446.821,243,10,28,0,218.011,179.791,224.182,0.395,0.437,4.678,0.231,19.191,0.0,65.491,0.706,1.293,0.935,0.0,8.97,48.237,18.692,37.022,267.618,24.706,1053.443,0.0,0.0,3.049,57.274
18,137079878164229,533.604,238,10,28,1,300.815,180.495,307.461,0.387,0.526,5.143,0.231,17.987,0.0,67.383,0.696,1.174,0.976,0.0,7.556,52.57,18.171,31.312,274.245,24.897,1033.268,0.0,0.0,1.895,62.214
19,137079882760032,692.714,237,10,28,0,296.672,183.931,303.155,0.373,0.485,4.951,0.26,18.335,0.0,72.385,0.649,1.189,0.955,0.0,9.085,85.703,16.133,65.951,850.693,25.179,1057.238,0.0,0.0,2.06,216.947
20,137079887528005,595.965,238,10,28,0,313.625,182.181,319.898,0.366,0.549,5.131,9.056,18.073,0.0,79.094,0.667,1.196,1.081,0.0,11.828,34.469,14.122,23.689,535.77,25.196,1027.586,0.0,0.0,2.544,69.77
21,137079892233704,991.424,241,10,28,0,328.173,175.093,334.592,0.371,0.465,4.726,0.238,18.272,0.0,60.372,0.659,1.211,0.767,0.0,12.449,82.316,19.811,64.48,1545.637,25.007,1080.139,0.0,0.0,2.098,410.607
22,137079897332035,925.725,225,10,25,0,300.11,187.905,305.979,0.392,0.484,4.547,0.221,17.906,0.0,60.72,0.653,1.133,1.172,0.0,8.816,174.269,15.058,157.572,1025.627,33.226,1021.756,0.0,0.0,3.106,404.646
23,137079902359156,449.078,225,10,25,0,236.045,184.134,241.694,0.374,0.481,4.391,0.24,18.36,0.0,63.266,1.395,1.076,1.005,0.0,8.442,35.388,23.54,23.326,226.513,22.553,1077.802,0.0,0.0,2.164,54.533
24,137079906938124,2112.992,243,10,28,1,718.465,184.998,791.345,1.077,0.421,54.17,0.493,100.55,0.0,253.895,6.293,2.25,9.127,0.0,10.02,287.316,17.121,62.839,1961.588,317.414,995.184,0.0,0.0,2.125,557.597
25,137079913170639,447.959,233,10,28,0,230.026,175.767,235.855,0.38,0.459,5.199,0.222,18.173,0.0,71.807,0.676,1.017,0.952,0.0,6.89,44.025,13.238,32.383,242.47,24.639,1029.901,0.0,0.0,3.575,50.767
26,137079917778285,1333.014,241,10,28,0,649.556,188.906,725.92,0.348,0.602,4.925,0.234,17.68,0.0,73.383,0.82,0.985,0.845,0.0,11.025,85.84,21.927,67.299,1257.297,25.002,1076.978,0.0,0.0,2.521,372.248
27,137079923219695,464.214,239,10,28,0,232.751,188.255,239.341,0.372,0.447,5.054,0.248,18.855,0.0,60.798,0.703,1.04,0.791,0.0,8.587,36.41,16.841,24.778,368.372,24.629,1030.405,0.0,0.0,2.122,60.754
28,137079927806063,691.941,225,10,25,0,292.995,181.45,299.061,0.379,0.467,4.44,0.263,19.408,0.0,61.123,0.696,1.113,1.07,0.0,8.546,225.266,14.741,209.424,559.998,200.803,1076.529,0.0,0.0,2.376,77.636
29,137079932654818,467.942,241,10,28,0,234.789,184.56,240.805,0.367,0.46,4.857,0.223,18.317,0.0,64.222,0.624,0.98,0.986,0.0,8.148,43.072,15.34,23.025,341.962,24.454,1053.895,0.0,0.0,2.281,58.147
30,137079937266139,1047.884,238,10,28,0,321.955,191.292,327.868,0.372,0.485,4.64,0.224,18.46,0.0,66.521,0.795,1.314,1.013,0.0,13.089,108.232,22.316,87.435,1267.887,25.264,1013.55,0.0,0.0,2.119,412.333
31,137079942467702,1596.578,238,10,28,0,643.36,194.557,707.673,0.397,0.472,50.235,0.225,68.916,0.0,164.169,3.301,4.301,5.598,0.0,8.663,80.84,18.854,66.706,1618.14,35.914,1081.398,0.0,0.0,4.24,514.116
32,137079948229661,597.844,238,10,28,0,291.446,182.247,298.739,0.409,0.484,12.592,0.23,17.806,0.0,71.409,1.064,1.295,0.768,0.0,13.395,34.167,16.539,23.179,659.238,25.173,1173.86,0.0,0.0,2.859,70.269
33,137079952973387,536.323,232,10,28,0,297.627,186.287,304.054,0.372,0.444,4.228,0.265,18.999,0.0,61.08,0.737,1.709,0.902,0.0,7.743,59.203,13.869,39.382,210.704,24.715,1078.941,0.0,0.0,2.517,50.21
34,137079957600183,857.618,241,10,28,0,301.238,179.999,307.246,0.363,0.461,4.812,0.222,18.145,0.0,61.587,0.591,1.21,0.894,0.0,11.893,175.896,21.213,158.188,990.58,24.5,1140.643,0.0,0.0,3.33,345.111
35,137079962547686,468.084,213,10,24,0,252.449,183.721,258.64,0.353,0.467,4.725,0.232,18.226,0.0,73.914,0.654,1.541,0.965,0.0,20.264,30.452,26.703,24.796,227.069,21.422,993.129,0.0,0.0,2.665,48.767
36,137079967093834,1224.521,241,10,28,1,238.854,184.852,245.268,0.329,0.493,3.96,0.247,19.02,0.0,74.18,0.744,1.622,0.907,0.0,12.888,101.486,16.469,88.523,1544.961,25.087,1065.301,0.0,0.0,3.468,414.232
37,137079972431623,506.847,215,10,24,0,299.534,179.595,305.529,0.34,0.477,4.403,0.214,18.831,0.0,71.124,0.707,1.166,0.861,0.0,7.511,32.589,13.615,21.994,209.766,21.177,965.752,0.0,0.0,2.687,48.819
38,137079977112668,1096.863,239,10,28,0,430.152,193.056,436.222,0.357,0.517,4.842,0.22,18.97,0.0,70.481,0.672,1.201,1.036,0.0,8.369,78.319,15.222,56.762,1558.917,24.611,1034.378,0.0,0.0,2.139,429.509
39,137079982372178,528.889,234,10,28,0,295.992,179.191,308.564,0.337,0.508,5.489,0.221,18.272,0.0,73.03,0.666,1.267,0.792,0.0,7.131,38.595,13.299,26.721,269.52,24.764,1030.533,0.0,0.0,2.741,63.892
40,137079986991383,538.104,235,10,27,0,299.425,188.024,305.343,0.323,0.426,4.532,0.22,18.519,0.0,61.756,0.814,1.449,0.709,0.0,8.476,44.574,18.87,24.162,398.26,60.991,993.825,0.0,0.0,3.161,48.44
41,137079991612349,762.984,239,10,28,0,233.898,181.686,240.231,0.319,0.422,4.442,0.245,18.96,0.0,62.349,0.637,1.174,0.897,0.0,8.459,96.631,97.153,78.796,1022.04,24.663,1041.371,0.0,0.0,3.112,318.272
42,137079996537587,437.59,242,10,28,1,223.423,186.419,229.821,0.336,0.417,4.114,0.217,18.091,0.0,64.96,0.683,1.129,1.07,0.0,8.271,53.641,15.515,26.949,227.273,24.769,1086.959,0.0,0.0,2.453,47.91
43,137080001114094,1086.502,226,10,25,0,431.182,181.218,436.92,0.325,0.47,4.403,0.222,18.963,0.0,69.106,0.78,1.245,0.909,0.0,8.632,95.179,22.774,79.018,1340.882,23.305,1128.274,0.0,0.0,3.454,406.005
44,137080006296234,1914.777,237,10,28,0,630.495,171.331,712.419,2.68,0.453,61.377,0.802,79.556,0.0,384.141,8.667,6.024,6.561,0.0,9.957,73.729,16.577,55.173,1900.392,114.634,974.179,0.0,0.0,2.718,818.487
45,137080012438589,1145.25,217,10,24,0,304.68,178.742,316.688,0.674,0.908,5.359,0.441,21.601,0.0,73.152,1.28,3.651,1.837,0.0,9.12,42.356,15.976,28.25,439.478,29.642,922.332,0.0,0.0,2.666,651.2
