Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444761.484552	-	0.44	2838
1788444761.484040	151	1.04	3593
1788444761.484062	152	0.39	2793
1788444761.484080	153	0.42	2829
1788444761.484105	24	0.47	2840
1788444761.484126	25	0.43	2832
1788444761.484148	26	0.40	2764
1788444761.484167	27	0.41	2721
1788444761.484184	28	0.44	2802
1788444761.484203	29	0.41	2746
1788444761.484223	30	0.43	2629
1788444761.484244	31	0.41	2743
1788444761.484261	32	0.42	2732
1788444761.484278	33	0.40	2758
1788444761.484295	34	0.40	2727
1788444761.484314	35	0.41	2739
1788444761.484332	48	0.41	2744
1788444761.484349	49	0.41	2732
1788444761.484367	50	0.40	2737
1788444761.484385	51	0.41	2752
1788444761.484404	52	0.41	2766
1788444761.484423	53	0.41	2752
1788444761.484442	54	0.41	2789
1788444761.484468	55	0.43	2732
1788444761.484489	56	0.42	2755
1788444761.484507	57	0.41	2749
1788444761.484531	58	0.45	2721
1788444761.484552	59	0.51	2968
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444762.486896	-	2.99	3776
1788444762.484702	151	0.40	2808
1788444762.484723	152	0.41	2792
1788444762.484743	153	0.40	2798
1788444762.486444	24	66.64	3927
1788444762.486466	25	0.42	2796
1788444762.486484	26	0.73	3388
1788444762.486502	27	0.87	3440
1788444762.486538	28	0.45	2843
1788444762.486556	29	0.40	2747
1788444762.486575	30	0.39	2628
1788444762.486596	31	1.07	3581
1788444762.486614	32	0.41	2718
1788444762.486632	33	0.40	2735
1788444762.486649	34	0.41	2743
1788444762.486667	35	1.25	3653
1788444762.486686	48	0.41	2743
1788444762.486704	49	0.40	2712
1788444762.486722	50	0.40	2722
1788444762.486740	51	0.41	2743
1788444762.486757	52	0.40	2721
1788444762.486774	53	0.40	2745
1788444762.486793	54	1.32	3688
1788444762.486817	55	0.41	2752
1788444762.486838	56	0.61	2712
1788444762.486855	57	0.40	2761
1788444762.486876	58	0.42	2743
1788444762.486896	59	0.42	2748
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444763.488335	-	4.09	3781
1788444763.487874	151	0.41	2809
1788444763.487892	152	0.41	2791
1788444763.487910	153	0.41	2813
1788444763.487927	24	99.76	3892
1788444763.487947	25	0.42	2803
1788444763.487963	26	0.40	2727
1788444763.487981	27	0.41	2717
1788444763.487998	28	0.42	2734
1788444763.488015	29	0.41	2733
1788444763.488032	30	0.39	2593
1788444763.488050	31	0.40	2710
1788444763.488066	32	0.41	2703
1788444763.488083	33	0.40	2731
1788444763.488100	34	0.41	2721
1788444763.488117	35	0.41	2716
1788444763.488135	48	0.41	2742
1788444763.488153	49	0.40	2710
1788444763.488171	50	0.40	2711
1788444763.488188	51	0.41	2740
1788444763.488206	52	0.40	2721
1788444763.488223	53	0.40	2738
1788444763.488242	54	0.41	2758
1788444763.488260	55	0.41	2728
1788444763.488280	56	0.43	2701
1788444763.488298	57	0.41	2748
1788444763.488316	58	0.42	2726
1788444763.488335	59	0.51	2973
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444764.488905	-	4.08	3784
1788444764.488464	151	0.41	2807
1788444764.488481	152	0.41	2787
1788444764.488498	153	0.41	2799
1788444764.488514	24	99.76	3895
1788444764.488532	25	0.42	2788
1788444764.488549	26	0.40	2727
1788444764.488565	27	0.40	2718
1788444764.488582	28	0.41	2719
1788444764.488599	29	0.41	2733
1788444764.488616	30	0.38	2589
1788444764.488633	31	0.40	2711
1788444764.488649	32	0.41	2705
1788444764.488665	33	0.40	2731
1788444764.488682	34	0.41	2720
1788444764.488698	35	0.40	2713
1788444764.488716	48	0.41	2743
1788444764.488732	49	0.40	2709
1788444764.488749	50	0.40	2709
1788444764.488767	51	0.41	2741
1788444764.488783	52	0.40	2719
1788444764.488801	53	0.40	2739
1788444764.488818	54	0.40	2759
1788444764.488836	55	0.40	2724
1788444764.488853	56	0.43	2702
1788444764.488870	57	0.40	2749
1788444764.488888	58	0.41	2717
1788444764.488905	59	0.41	2744
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444765.489984	-	4.09	3781
1788444765.489549	151	0.41	2809
1788444765.489566	152	0.41	2789
1788444765.489583	153	0.41	2807
1788444765.489600	24	99.76	3892
1788444765.489619	25	0.42	2799
1788444765.489635	26	0.39	2728
1788444765.489651	27	0.41	2718
1788444765.489669	28	0.41	2728
1788444765.489686	29	0.41	2731
1788444765.489702	30	0.38	2590
1788444765.489717	31	0.40	2711
1788444765.489733	32	0.40	2706
1788444765.489750	33	0.40	2731
1788444765.489766	34	0.40	2716
1788444765.489782	35	0.40	2714
1788444765.489798	48	0.41	2742
1788444765.489815	49	0.40	2709
1788444765.489831	50	0.40	2710
1788444765.489848	51	0.41	2740
1788444765.489865	52	0.40	2720
1788444765.489882	53	0.40	2739
1788444765.489898	54	0.41	2759
1788444765.489914	55	0.40	2723
1788444765.489933	56	0.49	2714
1788444765.489950	57	0.40	2753
1788444765.489967	58	0.41	2719
1788444765.489984	59	0.47	2892
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444766.490533	-	4.08	3784
1788444766.490090	151	0.41	2808
1788444766.490106	152	0.41	2791
1788444766.490123	153	0.41	2799
1788444766.490139	24	99.76	3895
1788444766.490156	25	0.42	2789
1788444766.490171	26	0.40	2727
1788444766.490188	27	0.40	2718
1788444766.490205	28	0.41	2721
1788444766.490222	29	0.40	2733
1788444766.490238	30	0.38	2590
1788444766.490254	31	0.39	2711
1788444766.490271	32	0.40	2706
1788444766.490287	33	0.40	2733
1788444766.490304	34	0.40	2715
1788444766.490320	35	0.40	2714
1788444766.490337	48	0.41	2744
1788444766.490354	49	0.40	2708
1788444766.490370	50	0.40	2710
1788444766.490387	51	0.41	2742
