Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444735.450476	-	0.41	2750
1788444735.450003	151	0.41	2812
1788444735.450022	152	0.41	2786
1788444735.450039	153	0.42	2826
1788444735.450062	24	0.43	2761
1788444735.450079	25	0.41	2793
1788444735.450096	26	0.40	2735
1788444735.450113	27	0.44	2720
1788444735.450132	28	0.41	2739
1788444735.450150	29	0.41	2737
1788444735.450168	30	0.39	2605
1788444735.450186	31	0.41	2726
1788444735.450205	32	0.42	2713
1788444735.450222	33	0.40	2742
1788444735.450240	34	0.41	2717
1788444735.450257	35	0.41	2722
1788444735.450274	48	0.41	2743
1788444735.450291	49	0.40	2722
1788444735.450310	50	0.42	2754
1788444735.450327	51	0.41	2747
1788444735.450345	52	0.40	2730
1788444735.450364	53	0.41	2747
1788444735.450383	54	0.41	2768
1788444735.450402	55	0.41	2731
1788444735.450421	56	0.41	2717
1788444735.450441	57	0.41	2754
1788444735.450459	58	0.41	2722
1788444735.450476	59	0.52	2920
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444736.451093	-	2.91	3548
1788444736.450621	151	0.41	2807
1788444736.450639	152	0.41	2787
1788444736.450658	153	0.43	2798
1788444736.450680	24	67.95	3675
1788444736.450700	25	0.42	2791
1788444736.450717	26	0.40	2728
1788444736.450735	27	0.41	2715
1788444736.450753	28	0.41	2725
1788444736.450770	29	0.41	2732
1788444736.450787	30	0.40	2611
1788444736.450804	31	0.40	2710
1788444736.450822	32	0.41	2704
1788444736.450839	33	0.40	2732
1788444736.450858	34	0.41	2718
1788444736.450878	35	0.41	2718
1788444736.450896	48	0.41	2739
1788444736.450913	49	0.41	2715
1788444736.450931	50	0.41	2711
1788444736.450949	51	0.41	2739
1788444736.450966	52	0.40	2725
1788444736.450984	53	0.40	2736
1788444736.451003	54	0.41	2751
1788444736.451020	55	0.40	2722
1788444736.451038	56	0.41	2715
1788444736.451057	57	0.40	2746
1788444736.451075	58	0.41	2715
1788444736.451093	59	0.42	2744
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444737.452928	-	4.09	3514
1788444737.451854	151	0.41	2807
1788444737.451873	152	0.41	2789
1788444737.451891	153	0.41	2824
1788444737.452534	24	99.76	3596
1788444737.452552	25	0.41	2792
1788444737.452568	26	0.40	2730
1788444737.452585	27	0.41	2717
1788444737.452599	28	0.40	2727
1788444737.452616	29	0.41	2732
1788444737.452632	30	0.39	2591
1788444737.452649	31	0.40	2715
1788444737.452668	32	0.41	2705
1788444737.452685	33	0.40	2731
1788444737.452702	34	0.40	2716
1788444737.452719	35	0.40	2719
1788444737.452737	48	0.41	2742
1788444737.452754	49	0.40	2713
1788444737.452771	50	0.42	2742
1788444737.452787	51	0.41	2741
1788444737.452804	52	0.40	2721
1788444737.452822	53	0.40	2739
1788444737.452839	54	0.41	2755
1788444737.452857	55	0.40	2723
1788444737.452874	56	0.41	2705
1788444737.452891	57	0.41	2746
1788444737.452910	58	0.43	2721
1788444737.452928	59	0.48	2918
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444738.453532	-	4.08	3512
1788444738.453035	151	0.41	2808
1788444738.453053	152	0.41	2789
1788444738.453070	153	0.41	2799
1788444738.453088	24	99.76	3595
1788444738.453108	25	0.41	2792
1788444738.453125	26	0.40	2726
1788444738.453142	27	0.41	2715
1788444738.453160	28	0.40	2725
1788444738.453178	29	0.41	2732
1788444738.453194	30	0.39	2591
1788444738.453212	31	0.40	2715
1788444738.453232	32	0.41	2708
1788444738.453250	33	0.40	2730
1788444738.453268	34	0.41	2722
1788444738.453286	35	0.40	2715
1788444738.453303	48	0.41	2742
1788444738.453320	49	0.40	2708
1788444738.453338	50	0.40	2705
1788444738.453357	51	0.41	2740
1788444738.453374	52	0.40	2719
1788444738.453392	53	0.40	2739
1788444738.453409	54	0.41	2756
1788444738.453426	55	0.40	2722
1788444738.453479	56	0.40	2701
1788444738.453498	57	0.40	2749
1788444738.453516	58	0.41	2715
1788444738.453532	59	0.42	2732
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444739.454704	-	4.09	3513
1788444739.454225	151	0.41	2807
1788444739.454243	152	0.41	2791
1788444739.454260	153	0.41	2823
1788444739.454277	24	99.76	3595
1788444739.454294	25	0.42	2792
1788444739.454311	26	0.40	2723
1788444739.454328	27	0.41	2713
1788444739.454344	28	0.41	2728
1788444739.454361	29	0.41	2731
1788444739.454378	30	0.40	2591
1788444739.454396	31	0.41	2716
1788444739.454413	32	0.41	2707
1788444739.454462	33	0.41	2744
1788444739.454481	34	0.41	2719
1788444739.454499	35	0.41	2712
1788444739.454516	48	0.41	2744
1788444739.454532	49	0.40	2709
1788444739.454549	50	0.41	2733
1788444739.454565	51	0.41	2745
1788444739.454582	52	0.40	2719
1788444739.454599	53	0.41	2737
1788444739.454618	54	0.41	2759
1788444739.454635	55	0.41	2733
1788444739.454652	56	0.41	2701
1788444739.454668	57	0.41	2748
1788444739.454686	58	0.41	2716
1788444739.454704	59	0.47	2904
