Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444585.920443	-	3.55	3932
1788444585.920443	24	3.55	3932
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444586.920548	-	99.76	3930
1788444586.920548	24	99.76	3930
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444587.921233	-	99.76	3895
1788444587.921233	24	99.76	3895
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444588.921309	-	99.76	3895
1788444588.921309	24	99.76	3895
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444589.924441	-	99.76	3895
1788444589.924441	24	99.76	3895
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444590.156536	-	72.63	3890
1788444590.156536	24	72.63	3890
