Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444686.513994	-	0.64	3178
1788444686.513479	151	0.41	2800
1788444686.513497	152	0.41	2782
1788444686.513515	153	0.40	2792
1788444686.513538	24	0.43	2764
1788444686.513558	25	0.44	2805
1788444686.513580	26	0.51	2983
1788444686.513606	27	1.13	3557
1788444686.513632	28	0.42	2721
1788444686.513658	29	3.87	3873
1788444686.513681	30	0.81	2983
1788444686.513703	31	0.41	2738
1788444686.513722	32	0.41	2710
1788444686.513740	33	0.40	2734
1788444686.513758	34	0.83	3425
1788444686.513776	35	0.58	3128
1788444686.513794	48	0.41	2750
1788444686.513811	49	0.40	2707
1788444686.513828	50	0.40	2713
1788444686.513846	51	0.41	2755
1788444686.513864	52	0.40	2724
1788444686.513882	53	0.80	3407
1788444686.513901	54	0.41	2758
1788444686.513919	55	0.40	2725
1788444686.513937	56	0.40	2712
1788444686.513954	57	0.41	2759
1788444686.513973	58	0.70	3281
1788444686.513994	59	0.56	2960
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444687.515448	-	59.63	3695
1788444687.514173	151	59.22	3692
1788444687.514203	152	59.21	3691
1788444687.514229	153	59.21	3694
1788444687.514262	24	61.08	3708
1788444687.514288	25	59.42	3698
1788444687.514317	26	61.73	3712
1788444687.514345	27	59.58	3698
1788444687.514369	28	59.34	3696
1788444687.514393	29	59.65	3697
1788444687.514420	30	60.21	3695
1788444687.514448	31	59.35	3695
1788444687.514474	32	59.67	3697
1788444687.514499	33	59.35	3696
1788444687.514520	34	59.78	3692
1788444687.514541	35	59.73	3701
1788444687.514565	48	59.29	3688
1788444687.514593	49	59.79	3692
1788444687.514619	50	59.27	3693
1788444687.514644	51	59.28	3692
1788444687.514672	52	59.40	3693
1788444687.514696	53	59.86	3692
1788444687.514723	54	59.47	3690
1788444687.514750	55	59.30	3692
1788444687.514776	56	59.31	3693
1788444687.514802	57	59.31	3689
1788444687.514827	58	59.76	3698
1788444687.515448	59	59.34	3691
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
