Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444591.222102	-	0.53	2973
1788444591.222102	24	0.53	2973
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444592.223440	-	85.84	3942
1788444592.223440	24	85.84	3942
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444593.224324	-	99.76	3895
1788444593.224324	24	99.76	3895
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444594.224400	-	99.76	3895
1788444594.224400	24	99.76	3895
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444595.225438	-	99.76	3895
1788444595.225438	24	99.76	3895
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444595.619938	-	86.50	3893
1788444595.619938	24	86.50	3893
