Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444674.971288	-	0.41	2746
1788444674.970801	151	0.41	2810
1788444674.970819	152	0.42	2791
1788444674.970838	153	0.41	2800
1788444674.970863	24	0.43	2769
1788444674.970881	25	0.41	2795
1788444674.970899	26	0.42	2735
1788444674.970922	27	0.42	2720
1788444674.970946	28	0.40	2733
1788444674.970963	29	0.41	2733
1788444674.970981	30	0.39	2597
1788444674.970998	31	0.40	2713
1788444674.971015	32	0.41	2710
1788444674.971037	33	0.40	2737
1788444674.971056	34	0.41	2722
1788444674.971073	35	0.41	2718
1788444674.971090	48	0.41	2743
1788444674.971108	49	0.40	2716
1788444674.971126	50	0.40	2720
1788444674.971144	51	0.41	2742
1788444674.971162	52	0.40	2726
1788444674.971179	53	0.40	2740
1788444674.971198	54	0.41	2761
1788444674.971216	55	0.41	2728
1788444674.971234	56	0.40	2712
1788444674.971252	57	0.41	2750
1788444674.971270	58	0.41	2721
1788444674.971288	59	0.52	2946
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444675.974835	-	2.91	3548
1788444675.971454	151	0.41	2813
1788444675.971471	152	0.41	2787
1788444675.971489	153	0.42	2830
1788444675.974444	24	67.86	3675
1788444675.974462	25	0.42	2793
1788444675.974479	26	0.40	2724
1788444675.974496	27	0.41	2717
1788444675.974514	28	0.42	2718
1788444675.974531	29	0.42	2733
1788444675.974547	30	0.39	2593
1788444675.974563	31	0.40	2711
1788444675.974582	32	0.41	2708
1788444675.974598	33	0.40	2732
1788444675.974615	34	0.41	2714
1788444675.974632	35	0.41	2712
1788444675.974650	48	0.41	2744
1788444675.974667	49	0.41	2707
1788444675.974683	50	0.40	2710
1788444675.974700	51	0.41	2745
1788444675.974716	52	0.40	2720
1788444675.974733	53	0.41	2739
1788444675.974750	54	0.41	2758
1788444675.974767	55	0.41	2723
1788444675.974784	56	0.41	2703
1788444675.974801	57	0.41	2752
1788444675.974818	58	0.41	2717
1788444675.974835	59	0.42	2745
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444676.976013	-	4.08	3517
1788444676.975571	151	0.41	2802
1788444676.975588	152	0.41	2785
1788444676.975605	153	0.41	2798
1788444676.975622	24	99.76	3599
1788444676.975639	25	0.41	2793
1788444676.975655	26	0.39	2724
1788444676.975673	27	0.41	2712
1788444676.975690	28	0.40	2731
1788444676.975707	29	0.40	2730
1788444676.975724	30	0.38	2590
1788444676.975741	31	0.40	2711
1788444676.975757	32	0.41	2704
1788444676.975774	33	0.40	2731
1788444676.975790	34	0.40	2715
1788444676.975808	35	0.40	2714
1788444676.975826	48	0.41	2742
1788444676.975842	49	0.40	2709
1788444676.975859	50	0.40	2709
1788444676.975877	51	0.41	2746
1788444676.975894	52	0.40	2719
1788444676.975911	53	0.40	2738
1788444676.975928	54	0.40	2759
1788444676.975945	55	0.40	2723
1788444676.975962	56	0.40	2703
1788444676.975979	57	0.40	2754
1788444676.975996	58	0.40	2714
1788444676.976013	59	0.48	2924
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444677.976573	-	4.08	3516
1788444677.976120	151	0.41	2802
1788444677.976137	152	0.41	2783
1788444677.976154	153	0.41	2810
1788444677.976170	24	99.76	3599
1788444677.976187	25	0.41	2793
1788444677.976203	26	0.39	2725
1788444677.976219	27	0.40	2711
1788444677.976236	28	0.41	2724
1788444677.976252	29	0.40	2729
1788444677.976268	30	0.38	2591
1788444677.976284	31	0.40	2712
1788444677.976301	32	0.41	2707
1788444677.976317	33	0.40	2731
1788444677.976333	34	0.40	2716
1788444677.976350	35	0.40	2712
1788444677.976367	48	0.41	2743
1788444677.976383	49	0.40	2709
1788444677.976399	50	0.40	2708
1788444677.976416	51	0.41	2749
1788444677.976456	52	0.40	2728
1788444677.976473	53	0.40	2739
1788444677.976491	54	0.40	2759
1788444677.976506	55	0.40	2724
1788444677.976523	56	0.40	2703
1788444677.976539	57	0.41	2756
1788444677.976556	58	0.42	2717
1788444677.976573	59	0.41	2728
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444678.977675	-	4.08	3517
1788444678.977233	151	0.40	2802
1788444678.977251	152	0.41	2782
1788444678.977268	153	0.40	2798
1788444678.977284	24	99.76	3599
1788444678.977301	25	0.41	2789
1788444678.977316	26	0.39	2724
1788444678.977332	27	0.40	2710
1788444678.977348	28	0.41	2727
1788444678.977365	29	0.40	2727
1788444678.977380	30	0.38	2590
1788444678.977396	31	0.40	2712
1788444678.977414	32	0.40	2707
1788444678.977446	33	0.40	2736
1788444678.977462	34	0.40	2715
1788444678.977478	35	0.40	2713
1788444678.977495	48	0.41	2742
1788444678.977510	49	0.40	2708
1788444678.977526	50	0.40	2709
1788444678.977543	51	0.41	2749
1788444678.977559	52	0.40	2720
1788444678.977576	53	0.41	2753
1788444678.977592	54	0.40	2759
1788444678.977609	55	0.40	2729
1788444678.977625	56	0.40	2703
1788444678.977641	57	0.41	2755
1788444678.977657	58	0.41	2711
1788444678.977675	59	0.47	2898
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444679.271619	-	3.20	3488
1788444679.271146	151	0.42	2803
1788444679.271164	152	0.42	2785
1788444679.271182	153	0.42	2796
1788444679.271219	24	75.48	3596
1788444679.271236	25	0.45	2871
1788444679.271253	26	0.40	2727
1788444679.271269	27	0.42	2713
1788444679.271285	28	0.44	2715
1788444679.271301	29	0.42	2728
1788444679.271317	30	0.39	2594
1788444679.271334	31	0.41	2712
1788444679.271351	32	0.44	2708
1788444679.271368	33	0.43	2823
1788444679.271385	34	0.41	2716
1788444679.271402	35	0.41	2714
1788444679.271419	48	0.42	2745
1788444679.271452	49	0.41	2730
1788444679.271468	50	0.41	2709
1788444679.271485	51	0.43	2747
1788444679.271501	52	0.41	2719
1788444679.271518	53	0.41	2741
1788444679.271535	54	0.41	2761
1788444679.271552	55	0.41	2724
1788444679.271569	56	0.41	2706
1788444679.271585	57	0.42	2755
1788444679.271603	58	0.42	2713
1788444679.271619	59	0.43	2753
