Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444779.211190	-	0.41	2743
1788444779.210715	151	0.41	2804
1788444779.210734	152	0.41	2788
1788444779.210754	153	0.41	2799
1788444779.210777	24	0.42	2736
1788444779.210796	25	0.43	2825
1788444779.210814	26	0.42	2739
1788444779.210831	27	0.41	2712
1788444779.210849	28	0.41	2727
1788444779.210868	29	0.41	2725
1788444779.210885	30	0.39	2594
1788444779.210903	31	0.40	2713
1788444779.210921	32	0.41	2708
1788444779.210939	33	0.42	2748
1788444779.210957	34	0.41	2714
1788444779.210974	35	0.41	2714
1788444779.210992	48	0.41	2744
1788444779.211010	49	0.40	2710
1788444779.211027	50	0.40	2711
1788444779.211044	51	0.41	2750
1788444779.211063	52	0.40	2721
1788444779.211081	53	0.40	2739
1788444779.211099	54	0.40	2761
1788444779.211117	55	0.41	2724
1788444779.211136	56	0.44	2734
1788444779.211155	57	0.41	2756
1788444779.211173	58	0.41	2714
1788444779.211190	59	0.49	2897
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444780.214440	-	57.08	3923
1788444780.211352	151	56.65	3922
1788444780.211382	152	56.66	3921
1788444780.211405	153	56.66	3922
1788444780.211461	24	65.73	3951
1788444780.211481	25	56.81	3927
1788444780.211503	26	56.79	3917
1788444780.211524	27	56.80	3927
1788444780.211545	28	56.77	3927
1788444780.211570	29	56.85	3923
1788444780.211590	30	56.86	3924
1788444780.211609	31	56.77	3926
1788444780.211630	32	56.79	3918
1788444780.211652	33	56.74	3925
1788444780.211673	34	56.70	3921
1788444780.211692	35	56.70	3927
1788444780.211716	48	56.72	3921
1788444780.211741	49	56.69	3921
1788444780.211762	50	56.73	3923
1788444780.211783	51	56.80	3920
1788444780.211808	52	56.69	3923
1788444780.211832	53	56.72	3923
1788444780.211854	54	56.76	3920
1788444780.211877	55	56.77	3918
1788444780.211901	56	56.69	3918
1788444780.211924	57	56.75	3921
1788444780.211944	58	56.74	3918
1788444780.214440	59	56.85	3923
