Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444746.952327	-	0.59	3093
1788444746.951765	151	0.39	2802
1788444746.951787	152	0.40	2783
1788444746.951806	153	0.40	2793
1788444746.951831	24	0.67	3250
1788444746.951851	25	0.45	2843
1788444746.951873	26	1.54	3755
1788444746.951902	27	2.09	3428
1788444746.951929	28	0.44	2746
1788444746.951951	29	0.40	2732
1788444746.951968	30	0.38	2595
1788444746.951990	31	0.62	3138
1788444746.952015	32	0.43	2740
1788444746.952032	33	0.40	2738
1788444746.952052	34	0.42	2763
1788444746.952071	35	1.61	3743
1788444746.952089	48	0.41	2751
1788444746.952108	49	0.40	2731
1788444746.952128	50	0.41	2727
1788444746.952147	51	0.41	2755
1788444746.952167	52	0.40	2746
1788444746.952186	53	0.41	2772
1788444746.952207	54	0.59	3089
1788444746.952234	55	0.43	2718
1788444746.952258	56	0.40	2718
1788444746.952287	57	0.43	2776
1788444746.952309	58	0.41	2725
1788444746.952327	59	0.50	2953
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444747.953447	-	57.59	3699
1788444747.952484	151	51.38	3648
1788444747.952509	152	57.01	3692
1788444747.952531	153	57.01	3695
1788444747.952557	24	66.67	3757
1788444747.952580	25	66.67	3756
1788444747.952604	26	57.26	3699
1788444747.952627	27	57.26	3699
1788444747.952652	28	57.13	3698
1788444747.952674	29	57.22	3698
1788444747.952692	30	57.19	3698
1788444747.952712	31	57.09	3697
1788444747.952738	32	57.13	3694
1788444747.952761	33	57.09	3697
1788444747.952783	34	57.08	3692
1788444747.952808	35	57.04	3698
1788444747.952832	48	57.08	3691
1788444747.952854	49	57.05	3693
1788444747.952880	50	57.03	3695
1788444747.952906	51	57.06	3694
1788444747.952930	52	57.01	3695
1788444747.952954	53	57.10	3694
1788444747.952976	54	57.07	3696
1788444747.953004	55	57.03	3691
1788444747.953031	56	57.07	3694
1788444747.953056	57	57.11	3690
1788444747.953083	58	57.10	3694
1788444747.953447	59	57.11	3696
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444749.009466	-	99.76	3597
1788444748.956451	151	99.76	3596
1788444748.959445	152	99.76	3592
1788444748.962451	153	99.76	3597
1788444748.964450	24	99.76	3598
1788444748.967445	25	99.76	3600
1788444748.969445	26	99.76	3596
1788444748.970444	27	99.76	3599
1788444748.973444	28	99.76	3599
1788444748.975444	29	99.76	3598
1788444748.976444	30	99.76	3597
1788444748.979446	31	99.76	3597
1788444748.982446	32	99.76	3596
1788444748.983444	33	99.76	3598
1788444748.986445	34	99.76	3594
1788444748.987444	35	99.76	3600
1788444748.989444	48	99.76	3596
1788444748.992447	49	99.76	3594
1788444748.993443	50	99.76	3596
1788444748.995444	51	99.76	3595
1788444748.998444	52	99.76	3596
1788444749.000446	53	99.76	3597
1788444749.001444	54	99.76	3595
1788444749.003442	55	99.76	3597
1788444749.006445	56	99.76	3597
1788444749.007446	57	99.76	3595
1788444749.009445	58	99.76	3596
1788444749.009466	59	99.76	3596
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444750.010193	-	99.76	3597
1788444750.009633	151	99.76	3595
1788444750.009658	152	99.76	3594
1788444750.009678	153	99.76	3597
1788444750.009706	24	99.76	3599
1788444750.009727	25	99.76	3600
1788444750.009747	26	99.76	3599
1788444750.009767	27	99.76	3600
1788444750.009787	28	99.76	3600
1788444750.009807	29	99.76	3598
1788444750.009824	30	99.76	3597
1788444750.009841	31	99.76	3599
1788444750.009865	32	99.76	3598
1788444750.009885	33	99.76	3599
1788444750.009908	34	99.76	3595
1788444750.009932	35	99.76	3600
1788444750.009952	48	99.76	3594
1788444750.009971	49	99.76	3595
1788444750.009993	50	99.76	3597
1788444750.010015	51	99.76	3595
