window,start_ts,dur_us,n_slices,n_threads,n_data_ready,n_rope_spans,us:fill_logits_buffer,us:waiting_for_logits,us:notify_listener,us:setup_logits,us:finalize_minibatches,us:construct_minibatches,us:gather_token_data,us:compute_forward_args,us:forward args,us:forward,us:add_tokens,us:finalize_ranges,us:work_queue::do_work get_work,us:poll_dma_completions,us:matmul enqueue,us:Prepare hardware matmul job,us:Launch hardware matmul job,us:legacy hw_prepare,us:legacy tx_launch,us:tx submitting activation DMA request,us:rx collecting results,us:data ready,us:Rope Q,us:Free scratchpads,us:other
0,136888289974355,1113.68,234,10,28,0,242.748,181.414,258.636,0.858,1.162,11.519,0.656,23.853,0.0,95.18,2.388,4.931,1.945,0.0,7.973,43.532,14.913,25.316,2431.413,36.285,1366.786,0.0,0.0,3.663,142.804
1,136888295078415,1135.107,227,10,26,0,396.477,236.908,404.365,0.39,0.535,5.233,0.244,18.028,0.0,61.756,1.421,1.499,1.189,0.0,10.66,82.73,115.152,62.976,1458.162,31.664,1227.045,0.0,0.0,2.224,412.36
2,136888300264672,1026.033,223,10,24,0,341.009,177.213,347.824,0.396,0.531,5.717,0.247,17.398,0.0,64.007,1.306,1.204,1.252,0.0,8.029,77.768,13.887,56.745,1062.255,22.785,1118.751,0.0,0.0,2.669,406.647
3,136888305380379,498.535,216,10,22,0,259.41,205.884,266.127,0.398,0.509,4.736,0.264,18.2,0.0,61.72,1.259,1.207,1.165,0.0,7.315,33.925,13.534,22.157,275.941,53.361,950.713,0.0,0.0,2.547,60.064
4,136888309920328,586.755,226,10,25,0,301.653,177.901,307.799,0.407,0.541,5.028,0.273,18.229,0.0,69.817,1.323,1.376,1.249,0.0,7.135,122.036,20.592,109.579,164.498,22.265,1026.286,0.0,0.0,2.335,74.319
5,136888314599509,851.885,217,10,24,0,299.603,168.698,305.247,0.391,0.607,4.776,0.278,18.057,0.0,72.408,1.331,1.243,0.764,0.0,16.83,76.426,23.123,53.882,1547.63,24.654,919.243,0.0,0.0,2.145,342.712
6,136888319499701,698.138,228,10,26,0,468.555,196.24,475.472,0.414,0.531,4.403,0.251,17.82,0.0,74.278,1.299,1.267,0.944,0.0,8.276,39.906,14.288,27.266,251.625,22.87,945.527,0.0,0.0,2.639,78.099
7,136888324224912,1068.92,225,10,25,0,331.144,178.41,337.346,0.402,0.558,5.363,0.306,28.376,0.0,63.542,1.256,1.295,0.987,0.0,8.394,75.688,19.279,61.115,1763.111,37.195,1072.629,0.0,0.0,2.141,401.91
8,136888329385656,1330.823,232,10,27,0,665.369,215.446,722.294,1.661,2.186,62.43,0.894,73.893,0.0,271.685,28.333,6.263,12.9,0.0,8.091,43.771,14.256,21.501,322.574,24.076,1001.481,0.0,0.0,3.048,217.224
9,136888334792532,569.546,231,10,26,0,216.251,171.509,221.8,0.353,0.511,4.359,0.275,17.319,0.0,61.76,1.333,1.335,0.966,0.0,8.189,168.766,14.241,60.007,347.902,28.63,1092.202,0.0,0.0,2.417,70.423
10,136888339462810,1787.015,244,10,28,1,640.266,251.499,679.53,0.579,2.131,72.777,0.416,68.486,0.0,265.637,15.697,8.289,9.582,0.0,13.608,79.958,120.865,64.311,1549.574,25.914,1201.625,0.0,0.0,13.411,498.368
11,136888345319627,1048.796,224,10,24,1,301.544,171.773,307.044,0.344,0.515,4.888,0.269,17.567,0.0,73.766,1.366,1.165,1.1,0.0,9.008,115.198,14.797,90.588,1700.585,21.21,1076.211,0.0,0.0,2.937,402.153
12,136888350421184,759.592,219,10,23,0,485.178,208.208,491.677,0.339,0.537,3.857,0.285,17.658,0.0,70.674,1.38,1.758,0.742,0.0,8.494,46.84,14.472,23.247,481.76,90.938,998.972,0.0,0.0,2.166,56.43
13,136888355327290,1049.354,239,10,28,0,305.58,175.223,316.357,0.339,0.546,16.563,0.272,19.83,0.0,77.43,1.567,1.186,1.01,0.0,16.284,89.09,23.075,68.44,1669.36,26.152,1151.919,0.0,0.0,2.393,403.254
14,136888360470769,1358.597,232,10,28,0,655.472,229.461,724.271,0.795,5.547,64.967,0.791,95.703,0.0,276.426,34.808,9.402,11.454,0.0,7.993,37.391,23.998,25.807,200.968,24.795,997.633,0.0,0.0,2.477,187.033
15,136888366014285,2059.684,243,10,28,0,654.221,245.152,739.18,0.378,0.58,4.43,0.246,80.213,0.0,65.032,28.115,1.103,8.476,0.0,10.878,357.517,22.487,343.029,1691.454,25.304,1339.348,0.0,0.0,1.964,681.032
16,136888372212679,1882.051,235,10,27,0,667.544,212.254,739.868,0.358,0.488,4.865,0.263,17.923,0.0,64.858,1.559,1.069,9.999,0.0,8.792,383.161,15.535,360.807,3255.662,419.36,1068.425,0.0,0.0,2.81,380.011
17,136888378210018,1442.28,241,10,28,0,674.161,209.577,739.178,1.434,0.85,68.525,0.673,87.977,0.0,287.154,33.192,9.803,8.404,0.0,8.952,38.123,52.065,26.966,297.757,26.075,1008.255,0.0,0.0,2.86,213.03
18,136888383768554,1305.086,239,10,28,0,636.03,215.247,703.358,0.384,0.454,55.564,0.253,80.916,0.0,125.458,26.857,12.17,9.988,0.0,13.924,73.958,16.328,59.913,860.74,25.462,1068.193,0.0,0.0,2.045,226.642
19,136888389131764,956.729,241,10,28,0,226.494,186.604,232.988,0.328,0.666,4.949,0.281,17.857,0.0,63.523,1.453,1.2,0.85,0.0,10.221,81.402,26.593,68.279,1872.837,28.702,1121.9,0.0,0.0,2.71,408.209
20,136888394168444,504.209,241,10,28,0,252.212,174.737,259.754,0.367,0.476,5.228,0.28,18.301,0.0,63.885,1.164,1.052,1.0,0.0,8.757,33.644,16.696,22.782,484.094,38.085,914.465,0.0,0.0,2.789,59.115
21,136888398728892,1891.448,222,10,24,0,656.474,220.924,719.072,0.724,3.21,63.65,0.482,107.765,0.0,247.614,22.021,14.168,4.448,0.0,8.489,79.336,128.23,63.239,1462.716,21.858,1224.069,0.0,0.0,2.571,508.911
22,136888404688461,447.452,224,10,24,1,230.901,172.896,237.114,0.183,0.483,4.586,0.283,18.485,0.0,66.801,1.279,1.188,1.002,0.0,7.885,34.549,30.491,23.259,214.002,21.25,960.694,0.0,0.0,2.992,58.817
23,136888409239479,500.23,221,10,24,0,295.196,169.988,302.29,0.336,0.474,4.808,0.266,18.396,0.0,72.583,1.282,1.177,0.9,0.0,7.449,36.195,13.475,21.661,205.845,21.352,928.077,0.0,0.0,2.898,60.358
24,136888413864203,527.935,232,10,28,0,299.508,181.29,305.701,0.32,0.53,4.431,0.243,17.523,0.0,71.639,1.252,1.049,0.9,0.0,7.493,38.619,13.817,27.321,283.196,24.991,976.958,0.0,0.0,2.734,57.582
25,136888418437879,1818.129,216,10,24,0,660.305,219.034,721.856,0.685,1.985,51.071,0.929,87.943,0.0,317.88,20.127,10.557,10.112,0.0,8.217,70.194,14.27,61.842,1701.134,40.057,1100.373,0.0,0.0,2.205,602.691
26,136888424419976,1645.523,218,10,24,0,650.615,209.827,715.798,0.348,0.492,60.727,0.307,71.444,0.0,137.672,25.407,8.187,8.732,0.0,89.878,74.184,96.074,56.981,1596.838,21.991,1117.01,0.0,0.0,2.543,473.224
27,136888430189950,905.276,221,10,24,0,646.334,214.374,708.81,0.375,0.496,4.717,0.237,18.625,0.0,60.967,1.323,1.017,0.952,0.0,7.207,48.402,13.633,33.419,170.206,21.446,984.992,0.0,0.0,3.093,57.011
28,136888435192607,458.015,235,10,26,0,238.11,173.622,243.824,0.328,0.488,4.863,0.255,17.21,0.0,61.078,1.526,1.025,1.203,0.0,17.524,33.675,24.554,22.808,268.019,22.668,983.936,0.0,0.0,3.077,57.862
29,136888439741090,1418.166,233,10,27,1,555.996,213.811,561.944,0.377,0.47,5.188,0.269,18.004,0.0,74.799,1.376,1.137,0.917,0.0,8.952,77.904,26.026,60.755,1891.436,24.686,1126.45,0.0,0.0,3.023,404.625
30,136888445211383,1029.185,233,10,28,0,316.231,194.54,321.89,0.338,0.449,4.49,0.277,17.137,0.0,69.782,1.451,1.044,1.092,0.0,8.787,73.0,22.672,57.044,1722.84,28.674,1141.2,0.0,0.0,3.703,403.32
31,136888450339294,928.805,229,10,26,0,250.989,187.958,257.142,0.348,0.471,4.775,0.245,18.441,0.0,70.329,1.293,1.076,0.819,0.0,11.432,62.152,17.714,48.007,1648.269,23.341,1093.872,0.0,0.0,2.493,381.409
32,136888455340487,546.181,222,10,24,0,290.666,176.465,297.866,0.402,0.72,5.471,0.26,17.955,0.0,80.244,1.423,1.111,0.891,0.0,8.655,34.466,14.768,22.46,352.901,20.992,1009.538,0.0,0.0,2.132,71.9
33,136888459938333,1211.439,240,10,28,0,590.95,240.354,597.063,0.404,0.537,4.403,0.276,18.309,0.0,61.576,1.424,1.192,1.049,0.0,8.977,33.976,30.025,22.647,1504.207,25.096,1019.949,0.0,0.0,2.632,364.053
34,136888465267323,1509.955,224,10,24,0,635.007,209.652,702.851,1.303,1.837,56.771,0.427,120.072,0.0,243.817,24.452,11.421,7.948,0.0,7.767,60.618,14.015,48.001,196.988,25.483,997.701,0.0,0.0,2.116,195.125
35,136888470879176,540.087,216,10,24,0,248.605,172.683,254.418,0.404,0.504,4.272,0.253,18.382,0.0,62.89,1.334,1.205,1.376,0.0,96.587,44.199,102.661,36.062,264.173,25.46,938.274,0.0,0.0,2.209,76.61
36,136888475491074,1700.383,231,10,26,1,628.025,227.054,690.892,0.894,0.9,76.717,0.62,79.014,0.0,265.064,25.462,8.216,8.389,0.0,8.91,84.831,128.703,65.963,1383.004,23.104,1095.676,0.0,0.0,2.808,503.279
