window,start_ts,span_us,work_cov_us,wait_cov_us,idle_us,biggest_gap_us,gap_at_off_us,gap_before,gap_after,last_dataready_off_us,fill_end_off_us,listener_start_off_us,wcls_last_dr_off_us,dispatch_first_dr_off_us
0,137906133072046,1143.3,225.6,885.9,31.8,10.6,1106.6,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1141.5,1019.4,750.5,763.6,1128.1
1,137906138221148,1008.1,548.9,382.6,76.6,51.9,534.2,rx collecting results@149/0-RX-38,prepare streams@25/0-worker,1006.1,912.3,588.2,603.8,990.2
2,137906143247535,1060.4,595.7,388.1,76.6,44.2,584.4,rx collecting results@149/0-RX-38,prepare streams@25/0-worker,1058.0,959.1,629.9,655.7,1042.9
3,137906148417975,1095.7,712.0,361.3,22.4,9.7,1052.8,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1094.0,999.1,698.0,704.1,1072.2
4,137906153588570,518.3,129.9,355.8,32.7,11.8,473.1,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,516.2,408.9,102.4,108.9,494.5
5,137906158159505,443.0,119.1,296.7,27.1,13.5,405.0,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,440.9,343.3,112.1,121.5,427.9
6,137906162665333,727.7,354.2,347.4,26.2,13.3,689.1,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,725.5,626.5,369.1,374.2,711.7
7,137906167494422,591.3,142.3,418.3,30.7,13.7,552.1,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,588.8,486.9,181.8,190.8,576.3
8,137906172126149,512.4,123.9,362.6,25.9,13.3,474.7,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,510.4,421.9,113.9,119.4,496.9
9,137906176672093,774.7,322.6,391.5,60.6,29.2,90.8,rx collecting results@148/0-RX-13,Launch hardware matmul job@24/?-work_queue,772.5,672.2,369.8,380.3,752.1
10,137906181495663,455.4,115.6,313.8,26.0,12.3,409.6,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,453.3,356.8,102.5,111.6,431.8
11,137906186056512,486.6,165.3,294.5,26.7,14.4,446.4,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,484.3,382.9,144.4,155.9,470.8
12,137906190657216,741.0,400.5,313.2,27.2,12.2,702.5,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,739.0,634.0,384.5,397.9,724.9
13,137906195416144,920.8,558.5,287.0,75.4,51.0,529.8,rx collecting results@149/0-RX-38,prepare streams@25/0-worker,918.8,829.0,582.9,590.7,904.5
14,137906200435412,999.2,534.8,435.6,28.8,13.0,960.7,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,996.2,904.9,652.8,665.9,982.4
15,137906205506259,964.2,537.8,397.0,29.4,11.4,926.0,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,962.4,872.9,572.3,577.8,947.5
16,137906210563775,447.1,126.8,292.5,27.8,12.0,396.8,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,445.5,340.1,109.0,115.6,419.4
17,137906215062176,507.9,121.1,362.3,24.5,11.3,462.7,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,506.0,406.6,101.2,105.8,492.3
18,137906219639546,802.0,385.0,383.6,33.5,13.8,763.0,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,799.5,700.3,400.3,405.1,786.3
