window,start_ts,dur_us,n_slices,n_threads,n_data_ready,n_rope_spans,us:fill_logits_buffer,us:waiting_for_logits,us:notify_listener,us:setup_logits,us:finalize_minibatches,us:construct_minibatches,us:gather_token_data,us:compute_forward_args,us:forward args,us:forward,us:add_tokens,us:finalize_ranges,us:work_queue::do_work get_work,us:poll_dma_completions,us:matmul enqueue,us:Prepare hardware matmul job,us:Launch hardware matmul job,us:legacy hw_prepare,us:legacy tx_launch,us:tx submitting activation DMA request,us:rx collecting results,us:data ready,us:Rope Q,us:Free scratchpads,us:other
0,137906133072046,1143.575,239,10,28,0,255.402,187.4,268.937,0.876,1.421,6.919,0.678,23.352,0.0,83.172,2.313,5.233,2.016,0.0,9.777,38.713,21.19,23.699,2598.338,36.049,1448.858,0.0,0.0,2.841,128.576
1,137906138221148,1008.264,239,10,28,0,316.481,182.767,324.025,0.412,0.577,4.588,0.242,18.992,0.0,63.631,1.582,1.829,0.811,0.0,12.562,201.0,21.179,68.737,1203.662,36.217,1150.151,0.0,0.0,2.685,403.836
2,137906143247535,1060.433,228,10,26,0,323.272,195.411,329.245,0.45,0.57,5.284,0.262,18.302,0.0,66.124,1.583,1.405,1.151,0.0,9.402,84.217,138.803,63.344,1305.819,27.134,1197.434,0.0,0.0,3.128,406.287
3,137906148417975,1095.856,242,10,28,1,295.786,180.204,301.059,0.46,0.492,4.675,0.223,17.506,0.0,67.388,1.46,1.645,1.13,0.0,9.517,90.714,132.389,70.827,2175.154,511.878,1046.424,0.0,0.0,2.261,75.457
4,137906153588570,518.333,237,10,28,0,300.804,180.316,306.537,0.234,0.433,4.666,0.277,22.065,0.0,69.962,1.336,1.299,0.985,0.0,8.436,36.162,22.482,24.655,217.879,24.974,1008.469,0.0,0.0,2.717,50.27
5,137906158159505,442.971,233,10,28,0,225.253,177.497,231.12,0.427,0.489,4.472,0.386,17.08,0.0,70.516,1.471,1.255,0.835,0.0,7.012,33.368,12.984,20.929,261.943,24.91,986.353,0.0,0.0,2.705,65.865
6,137906162665333,727.737,239,10,28,0,251.487,182.165,257.426,0.445,0.515,4.665,0.254,17.57,0.0,63.253,8.89,1.441,1.211,0.0,10.569,62.38,17.672,47.122,1272.681,25.48,1043.425,0.0,0.0,2.783,265.362
7,137906167494422,591.267,241,10,28,0,299.02,179.844,305.047,0.37,0.495,4.305,0.299,26.898,0.0,62.995,1.229,1.385,1.065,0.0,7.488,45.34,14.54,22.835,580.098,25.329,979.297,0.0,0.0,3.095,52.322
8,137906172126149,512.437,241,10,28,0,302.997,188.995,308.01,0.363,0.483,4.507,0.257,17.164,0.0,61.088,1.58,1.348,0.806,0.0,7.499,33.605,28.58,21.865,240.443,24.68,1031.989,0.0,0.0,2.806,45.794
9,137906176672093,774.683,235,10,28,1,297.547,188.218,302.397,0.367,0.485,4.876,0.267,17.663,0.0,69.08,1.427,1.232,0.858,0.0,11.01,78.028,24.404,58.851,704.964,26.201,1135.165,0.0,0.0,2.834,199.346
