window,start_ts,dur_us,n_slices,n_threads,n_data_ready,n_rope_spans,us:fill_logits_buffer,us:waiting_for_logits,us:notify_listener,us:setup_logits,us:finalize_minibatches,us:construct_minibatches,us:gather_token_data,us:compute_forward_args,us:forward args,us:forward,us:add_tokens,us:finalize_ranges,us:work_queue::do_work get_work,us:poll_dma_completions,us:matmul enqueue,us:Prepare hardware matmul job,us:Launch hardware matmul job,us:legacy hw_prepare,us:legacy tx_launch,us:tx submitting activation DMA request,us:rx collecting results,us:data ready,us:Rope Q,us:Free scratchpads,us:other
0,136825080169255,1126.466,237,10,28,0,303.887,188.0,313.529,0.784,1.109,17.109,0.486,26.315,0.0,81.919,2.196,5.754,2.017,0.0,9.568,38.217,20.372,24.659,2453.403,33.297,1348.543,0.0,0.0,2.919,123.028
1,136825085228334,1116.852,220,10,24,0,237.7,176.294,252.422,0.36,0.539,5.208,0.277,20.261,0.0,64.594,1.28,1.725,1.287,0.0,9.36,183.211,15.616,164.189,1838.238,23.79,1148.444,0.0,0.0,3.787,497.558
2,136825090282770,884.341,219,10,24,0,666.95,250.889,672.885,0.361,0.505,5.063,0.329,18.445,0.0,63.136,1.409,1.578,1.147,0.0,6.937,50.478,12.713,36.509,197.169,21.285,1029.426,0.0,0.0,2.509,60.968
3,136825095174782,1969.998,223,10,24,0,1089.816,996.445,1095.493,0.345,0.473,4.526,0.326,19.572,0.0,64.874,1.308,1.525,0.895,0.0,11.015,89.584,17.372,70.82,4035.452,2140.994,1260.667,0.0,0.0,3.39,482.61
4,136825101168758,1113.516,232,10,26,1,234.101,178.068,239.413,0.316,0.681,5.032,0.306,18.801,0.0,71.312,1.296,1.49,0.963,0.0,9.225,104.723,16.38,81.026,1614.801,46.69,1194.866,0.0,0.0,3.034,477.332
5,136825106328954,2228.807,241,10,28,0,943.066,227.471,1043.682,1.723,1.297,51.222,1.063,108.152,0.0,261.185,27.045,14.378,6.914,0.0,10.165,77.554,17.74,58.805,2193.779,26.154,1202.897,0.0,0.0,2.584,565.364
6,136825112609197,1497.167,231,10,26,0,864.898,215.28,936.381,0.346,7.562,4.712,0.337,18.528,0.0,73.869,1.346,1.33,1.083,0.0,8.162,80.379,18.061,66.346,1524.038,23.122,1045.711,0.0,0.0,3.927,234.151
7,136825118117189,1159.097,211,10,22,0,369.393,171.938,375.146,0.359,0.51,4.422,0.261,19.261,0.0,62.189,1.28,1.571,0.9,0.0,10.062,63.76,15.901,50.08,2005.804,19.958,1166.823,0.0,0.0,2.856,480.306
8,136825123330907,1118.55,221,10,24,0,302.04,171.04,307.64,0.261,0.526,4.641,0.261,19.506,0.0,61.805,1.525,1.374,1.185,0.0,9.745,514.796,15.714,498.553,1368.444,23.624,1224.586,0.0,0.0,2.779,254.367
9,136825128442116,1652.429,226,10,25,0,883.247,225.624,955.162,0.321,0.514,4.293,0.287,19.155,0.0,61.737,1.458,1.242,0.702,0.0,10.887,190.637,17.489,172.76,1874.409,23.016,1200.194,0.0,0.0,2.831,370.993
10,136825134155115,1151.526,229,10,26,0,263.672,174.712,269.269,0.323,0.563,5.402,0.304,19.275,0.0,62.608,1.326,1.131,0.984,0.0,9.747,193.117,15.57,175.79,1818.035,26.603,1258.667,0.0,0.0,3.154,486.916
11,136825139384990,443.956,223,10,24,0,232.25,180.117,237.416,0.361,0.456,5.076,0.248,17.979,0.0,70.129,1.242,1.284,0.772,0.0,6.637,45.861,20.661,25.065,193.419,21.375,1017.679,0.0,0.0,3.15,50.548
12,136825143865314,1686.64,214,10,24,1,865.267,304.681,1007.518,0.34,0.517,62.349,0.276,90.422,0.0,319.797,19.965,12.066,2.092,0.0,44.297,41.517,52.607,28.562,448.339,165.637,967.853,0.0,0.0,2.372,186.964
13,136825149625210,749.421,221,10,24,0,230.73,178.006,237.188,0.245,0.488,4.374,0.276,19.098,0.0,71.64,1.372,1.219,0.814,0.0,9.925,77.825,15.979,60.32,1357.63,21.175,1094.057,0.0,0.0,2.836,283.054
14,136825154362949,432.19,197,10,20,0,230.791,175.517,236.313,0.353,0.548,4.377,0.32,18.606,0.0,73.994,1.298,1.221,0.701,0.0,6.56,31.834,12.63,21.686,197.219,17.789,857.78,0.0,0.0,3.069,61.746
15,136825158796659,1809.582,228,10,26,0,887.75,282.368,996.132,3.927,0.509,57.991,1.524,108.053,0.0,238.84,24.152,7.102,5.401,0.0,85.276,77.254,91.117,61.243,1105.591,25.932,1445.091,0.0,0.0,3.031,207.863
16,136825164577843,1167.353,227,10,26,0,293.961,175.013,299.917,0.377,0.465,4.522,0.264,17.573,0.0,60.324,1.312,1.17,0.808,0.0,9.173,169.055,15.074,54.295,2003.342,24.687,1237.928,0.0,0.0,3.145,453.461
17,136825169745085,1803.528,224,10,25,0,862.547,222.195,948.048,1.723,0.428,67.838,0.602,95.537,0.0,264.274,36.878,9.173,10.434,0.0,243.862,41.357,249.942,29.572,348.026,23.28,1152.039,0.0,0.0,2.86,237.011
18,136825175718545,454.959,240,10,28,1,235.349,182.553,240.402,0.362,0.471,4.634,0.24,18.814,0.0,67.438,1.28,1.32,0.903,0.0,13.928,32.842,33.454,22.407,233.344,25.143,1005.681,0.0,0.0,4.078,60.507
19,136825180256194,1130.617,217,10,24,0,297.889,176.366,302.593,0.39,0.599,4.908,0.26,18.955,0.0,72.719,1.436,1.259,0.885,0.0,10.785,79.09,17.117,62.368,2016.283,26.165,1085.764,0.0,0.0,2.723,482.804
20,136825185417679,1683.42,223,10,24,0,874.083,229.991,938.835,0.355,0.456,4.675,0.253,18.378,0.0,70.905,1.212,1.176,0.979,0.0,9.29,77.456,15.461,60.976,2214.117,21.756,1185.797,0.0,0.0,3.19,439.635
21,136825191135669,1611.514,220,10,24,1,865.133,230.563,929.55,0.215,0.464,62.811,105.858,93.882,0.0,342.55,20.604,8.918,4.985,0.0,7.241,34.717,13.275,23.874,238.595,20.457,1011.155,0.0,0.0,4.111,179.903
22,136825196794978,1582.925,234,10,28,0,930.754,181.599,1002.747,1.18,0.791,64.917,1.411,98.407,0.0,272.661,17.598,12.037,7.496,0.0,7.682,37.164,13.584,26.335,279.938,28.168,1009.437,0.0,0.0,3.11,210.517
23,136825202400641,447.025,236,10,28,0,230.262,170.602,235.98,0.395,0.433,4.736,0.273,18.39,0.0,62.023,1.288,1.126,1.005,0.0,6.863,41.587,16.66,30.558,270.033,24.81,982.216,0.0,0.0,2.417,63.12
24,136825206888414,461.463,241,10,28,0,248.59,182.238,253.618,0.394,0.498,4.442,0.26,18.323,0.0,62.668,13.218,1.376,0.942,0.0,7.478,35.895,24.196,25.304,176.068,24.611,962.285,0.0,0.0,2.94,49.345
25,136825211339573,1121.187,234,10,27,1,301.151,173.281,306.623,0.467,0.536,4.746,0.285,18.282,0.0,72.855,0.564,1.407,1.012,0.0,342.252,105.125,349.418,88.593,1142.439,47.011,1152.047,0.0,0.0,2.715,240.104
26,136825216407517,1689.632,221,10,24,0,862.775,243.011,922.438,0.388,0.478,4.443,0.25,17.772,0.0,70.904,0.753,1.436,9.845,0.0,8.409,75.625,23.496,58.832,2030.287,22.412,1146.889,0.0,0.0,3.272,452.929
27,136825222091545,1199.407,237,10,28,0,347.638,180.156,352.539,0.34,0.465,5.017,0.394,18.178,0.0,74.947,0.735,1.314,1.291,0.0,9.891,79.363,16.206,55.619,2254.06,25.416,1184.494,0.0,0.0,3.727,478.907
28,136825227274530,1071.828,215,10,24,0,299.533,180.057,304.586,0.414,0.414,4.551,0.257,18.919,0.0,69.733,0.626,1.398,0.926,0.0,13.203,84.687,19.938,69.704,1876.155,21.699,1076.361,0.0,0.0,3.126,477.919
29,136825232465811,1629.743,231,10,27,0,878.482,192.671,942.967,0.376,0.442,5.035,0.246,18.172,0.0,63.69,0.695,1.22,0.823,0.0,8.438,66.453,85.505,54.58,2119.341,24.995,1190.173,0.0,0.0,3.836,377.84
30,136825238110065,1186.217,219,10,24,0,355.397,218.825,360.444,0.362,0.5,4.693,0.295,18.884,0.0,66.602,0.674,1.233,0.854,0.0,9.601,385.263,15.43,369.044,885.618,21.648,1186.306,0.0,0.0,3.038,427.995
31,136825243349413,2078.735,217,10,24,0,861.225,260.366,923.989,1.295,0.631,58.795,0.352,100.473,0.0,269.768,8.662,6.852,2.291,0.0,8.58,185.176,14.631,168.076,1626.593,21.525,1164.232,0.0,0.0,2.189,563.833
32,136825249465457,2405.037,219,10,24,0,1155.188,242.646,1228.132,0.343,0.465,58.072,0.317,98.887,0.0,269.732,5.859,6.143,6.652,0.0,9.026,189.392,16.407,69.158,1528.692,27.798,1134.573,0.0,0.0,3.155,574.573
33,136825255892889,638.385,218,10,23,0,293.034,172.813,312.534,0.355,0.49,5.288,0.265,18.268,0.0,71.246,1.071,1.334,0.829,0.0,8.232,143.451,21.733,130.099,208.823,20.533,1023.119,0.0,0.0,2.368,99.389
34,136825260499349,2042.414,217,10,24,0,883.802,238.98,1007.8,3.626,0.444,67.218,1.645,96.204,0.0,298.863,5.611,8.169,6.272,0.0,9.578,95.929,15.678,69.21,1872.029,21.822,1051.385,0.0,0.0,3.147,522.894
