f1_ts,f1f3_us,n_slices,work_us,wait_us,idle_us,us:fill_logits_buffer,us:waiting_for_logits,us:notify_listener,us:setup_logits,us:compute_forward_args,us:construct_minibatches,us:finalize_ranges,us:add_tokens,us:assemble attention plan,us:matmul enqueue,us:Prepare hardware matmul job,us:Launch hardware matmul job,us:legacy hw_prepare,us:legacy tx_launch,us:tx submitting activation DMA request,us:rx collecting results,us:Free scratchpads,us:other
256164891049930,252.81,28,7.72,235.99,9.1,235.4,201.36,241.59,0.0,0.0,0.0,0.0,0.0,0.0,1.66,0.0,2.78,0.0,19.09,3.61,678.54,0.0,2.12
256164896044907,316.7,28,6.64,301.76,8.29,300.84,184.53,307.21,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,2.57,0.0,10.55,3.58,699.23,0.0,1.19
256164900713926,317.86,28,7.0,303.0,7.86,302.21,178.13,308.62,0.0,0.0,0.0,0.0,0.0,0.0,1.73,0.0,2.69,0.0,11.84,3.74,667.26,0.0,1.39
256164906032182,252.34,28,6.4,238.9,7.04,236.73,183.21,244.01,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.0,2.88,0.0,9.86,3.48,667.61,0.0,1.29
256164910564537,313.31,28,6.58,298.43,8.3,297.26,187.29,303.92,0.0,0.0,0.0,0.0,0.0,0.0,1.74,0.0,2.64,0.0,14.56,3.55,689.22,0.0,1.09
256164915157842,316.96,28,5.22,304.72,7.03,302.75,193.14,308.74,0.0,0.0,0.0,0.0,0.0,0.0,1.56,0.0,2.6,0.0,8.42,3.44,715.64,0.0,1.19
256164920082179,314.19,28,6.94,298.61,8.64,297.43,190.35,304.31,0.0,0.0,0.0,0.0,0.0,0.0,1.76,0.0,2.92,0.0,21.21,3.67,686.74,0.0,1.24
256164925057963,281.15,28,6.81,266.09,8.24,265.05,187.07,271.59,0.0,0.0,0.0,0.0,0.0,0.0,1.58,0.0,2.74,0.0,13.21,3.42,703.49,0.0,1.32
256164930046720,245.57,28,6.72,230.27,8.58,229.68,188.29,236.09,0.0,0.0,0.0,0.0,0.0,0.0,2.08,0.0,3.1,0.0,9.88,3.48,688.97,0.0,0.9
256164935057109,265.91,28,6.5,251.38,8.03,250.47,188.26,256.56,0.0,0.0,0.0,0.0,0.0,0.0,1.28,0.0,2.48,0.0,17.51,3.51,693.43,0.0,1.32
256164940531428,607.56,28,7.06,540.11,60.38,539.44,502.52,545.61,0.0,0.0,0.0,0.0,0.0,0.0,1.44,0.0,2.64,0.0,328.91,3.57,613.85,0.0,1.56
256164946041684,346.19,28,6.66,331.33,8.2,330.59,182.49,336.92,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.0,2.45,0.0,15.24,3.59,660.27,0.0,1.07
256164951049155,313.37,28,5.93,298.19,9.25,296.78,186.01,302.84,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,2.41,0.0,8.71,3.55,697.62,0.0,1.28
256164956051479,245.82,28,6.99,231.1,7.73,230.63,183.09,236.52,0.0,0.0,0.0,0.0,0.0,0.0,1.65,0.0,2.84,0.0,9.33,3.48,687.98,0.0,1.57
256164961038997,257.78,28,6.68,242.92,8.18,242.25,186.27,248.43,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.0,2.8,0.0,16.07,3.54,678.68,0.0,1.17
256164966377812,754.77,28,7.28,692.27,55.22,687.83,315.03,698.15,0.0,0.0,0.0,0.0,0.0,0.0,1.28,0.0,2.5,0.0,28.8,3.6,748.62,0.0,1.4
256164972015564,237.82,28,5.54,223.64,8.64,221.62,187.43,228.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.0,2.67,0.0,8.06,3.45,688.94,0.0,1.17
