f1_ts,f1f3_us,n_slices,work_us,wait_us,idle_us,us:fill_logits_buffer,us:waiting_for_logits,us:notify_listener,us:setup_logits,us:compute_forward_args,us:construct_minibatches,us:finalize_ranges,us:add_tokens,us:assemble attention plan,us:matmul enqueue,us:Prepare hardware matmul job,us:Launch hardware matmul job,us:legacy hw_prepare,us:legacy tx_launch,us:tx submitting activation DMA request,us:rx collecting results,us:Free scratchpads,us:other
256292186094024,328.53,28,12.49,306.25,9.79,302.62,179.28,310.69,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.0,2.13,0.0,20.61,3.52,664.22,0.0,7.29
256292191025796,336.95,28,6.49,321.25,9.2,319.57,182.9,325.64,0.0,0.0,0.0,0.0,0.0,0.0,1.16,0.0,2.22,0.0,9.68,3.52,683.01,0.0,2.11
256292196025404,741.09,28,7.32,724.72,9.05,650.67,186.75,730.65,0.0,0.0,0.0,0.0,0.0,0.0,1.45,0.0,3.92,0.0,8.61,3.45,701.23,0.0,1.38
256292202081512,803.06,28,6.91,739.15,57.01,665.68,178.71,744.09,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,2.44,0.0,10.0,3.66,684.55,0.0,1.96
256292208006233,259.55,28,8.13,243.43,7.99,244.25,182.31,249.95,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,4.23,0.0,12.79,3.72,661.76,0.0,1.61
256292212952382,814.78,28,7.46,748.41,58.91,676.12,188.47,753.46,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.0,2.29,0.0,13.11,3.88,657.13,0.0,2.4
256292218360704,661.76,28,7.75,646.01,8.0,640.24,170.32,651.69,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0,4.27,0.0,9.02,3.51,649.97,0.0,2.07
256292223699848,420.96,28,6.89,361.52,52.54,360.48,175.56,366.91,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.0,2.09,0.0,9.65,4.35,649.65,0.0,1.51
256292228863077,310.91,28,7.91,242.57,60.42,242.44,173.9,248.08,0.0,0.0,0.0,0.0,0.0,0.0,1.39,0.0,4.01,0.0,8.23,3.5,675.19,0.0,2.41
256292233843190,316.44,28,7.57,248.77,60.1,248.41,181.82,254.03,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.0,2.48,0.0,13.4,3.52,667.73,0.0,2.31
256292238932693,363.42,28,11.97,290.72,60.73,294.35,178.86,300.37,0.0,0.0,0.0,0.0,0.0,0.0,4.99,0.0,7.71,0.0,14.44,3.46,672.95,0.0,2.24
