f1_ts,f1f3_us,n_slices,work_us,wait_us,idle_us,us:fill_logits_buffer,us:waiting_for_logits,us:notify_listener,us:setup_logits,us:compute_forward_args,us:construct_minibatches,us:finalize_ranges,us:add_tokens,us:assemble attention plan,us:matmul enqueue,us:Prepare hardware matmul job,us:Launch hardware matmul job,us:legacy hw_prepare,us:legacy tx_launch,us:tx submitting activation DMA request,us:rx collecting results,us:Free scratchpads,us:other
256227436600119,322.95,28,9.15,303.48,10.33,297.33,177.94,309.22,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,3.58,0.0,9.82,3.48,666.67,0.0,2.75
256227441547043,540.79,28,5.38,476.87,58.54,473.94,176.62,480.98,0.0,0.0,0.0,0.0,0.0,0.0,1.03,0.0,2.0,0.0,8.72,3.51,665.59,0.0,1.25
256227446605829,244.83,28,15.62,221.99,7.22,230.05,182.04,236.3,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,13.42,0.0,12.41,3.45,679.66,0.0,1.31
256227452032873,242.84,28,9.21,225.93,7.7,225.09,192.75,231.65,0.0,0.0,0.0,0.0,0.0,0.0,1.22,0.0,2.2,0.0,16.67,3.52,679.7,0.0,3.5
256227457010875,258.93,28,6.27,243.44,9.22,242.82,188.11,248.75,0.0,0.0,0.0,0.0,0.0,0.0,1.27,0.0,2.61,0.0,13.78,3.54,676.91,0.0,0.87
256227461921985,359.37,28,7.25,296.84,55.28,296.0,180.2,302.24,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.0,2.3,0.0,10.36,3.48,670.4,0.0,1.84
256227466548638,308.34,28,7.09,293.01,8.24,292.85,178.18,298.83,0.0,0.0,0.0,0.0,0.0,0.0,1.61,0.0,2.77,0.0,12.98,3.51,679.0,0.0,1.27
256227471687303,355.54,28,9.41,299.52,46.61,301.64,197.41,307.88,0.0,0.0,0.0,0.0,0.0,0.0,1.28,0.0,2.35,0.0,27.88,6.34,667.07,0.0,1.06
256227476345734,259.83,28,6.43,245.78,7.62,245.38,175.45,251.13,0.0,0.0,0.0,0.0,0.0,0.0,1.23,0.0,2.35,0.0,10.87,3.52,668.98,0.0,1.08
256227480872597,243.9,28,6.29,230.9,6.7,229.98,186.18,235.53,0.0,0.0,0.0,0.0,0.0,0.0,1.24,0.0,2.2,0.0,12.73,3.47,681.19,0.0,1.67
256227485826297,409.86,28,7.57,349.09,53.2,348.96,183.43,354.95,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.0,2.32,0.0,15.22,3.63,645.58,0.0,1.67
256227490469491,311.54,28,6.34,297.41,7.79,296.61,194.9,302.65,0.0,0.0,0.0,0.0,0.0,0.0,1.29,0.0,2.27,0.0,26.6,3.58,672.62,0.0,1.1
256227495110427,311.86,28,6.88,297.4,7.57,296.21,171.98,302.32,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.0,2.29,0.0,13.13,3.54,658.92,0.0,1.96
256227500037748,307.89,28,5.2,294.86,7.83,292.87,190.19,299.1,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.0,2.1,0.0,9.83,3.48,694.67,0.0,0.96
256227504659973,239.87,28,5.28,226.98,7.6,225.36,176.78,231.23,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.0,2.48,0.0,8.7,3.42,686.65,0.0,1.03
256227509685529,837.28,28,5.62,775.9,55.76,673.33,190.6,780.54,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.0,2.1,0.0,13.01,3.63,706.27,0.0,0.9
256227515209648,305.14,28,5.52,291.59,8.03,289.44,181.73,295.93,0.0,0.0,0.0,0.0,0.0,0.0,1.24,0.0,2.36,0.0,8.65,3.44,685.08,0.0,1.14
256227519744171,235.45,28,6.49,221.63,7.32,220.96,177.44,226.99,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.0,2.07,0.0,10.53,3.45,665.96,0.0,1.14
256227524246795,316.91,28,5.92,304.25,6.74,302.51,185.95,309.24,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.0,2.19,0.0,14.75,3.51,684.36,0.0,0.93
256227529039288,316.96,28,7.02,302.07,7.88,301.74,189.31,307.97,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.0,2.42,0.0,21.43,3.48,681.27,0.0,1.12
256227534031578,250.36,28,6.97,234.58,8.81,234.29,185.29,240.28,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,3.39,0.0,11.36,3.52,663.59,0.0,1.27
256227538513843,258.98,28,5.28,246.71,6.99,245.58,179.33,251.04,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.0,1.99,0.0,10.15,3.46,676.43,0.0,0.95
256227543016757,313.55,28,5.66,300.62,7.28,299.47,179.02,305.17,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,2.44,0.0,8.58,3.5,688.31,0.0,1.1
256227548006275,691.32,28,7.44,674.6,9.27,637.35,217.41,680.25,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.0,2.23,0.0,63.44,4.14,681.76,0.0,1.8
