f1_ts,f1f3_us,n_slices,work_us,wait_us,idle_us,us:fill_logits_buffer,us:waiting_for_logits,us:notify_listener,us:setup_logits,us:compute_forward_args,us:construct_minibatches,us:finalize_ranges,us:add_tokens,us:assemble attention plan,us:matmul enqueue,us:Prepare hardware matmul job,us:Launch hardware matmul job,us:legacy hw_prepare,us:legacy tx_launch,us:tx submitting activation DMA request,us:rx collecting results,us:Free scratchpads,us:other
256935027076413,322.6,28,7.77,307.58,7.25,303.9,188.07,311.78,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.0,2.28,0.0,15.82,3.55,686.78,0.0,3.0
256935032027206,254.32,28,6.03,240.49,7.8,238.5,183.37,244.95,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.0,2.38,0.0,10.57,3.48,695.5,0.0,1.56
256935037027347,234.19,28,5.6,221.67,6.92,219.39,184.63,225.72,0.0,0.0,0.0,0.0,0.0,0.0,1.22,0.0,2.28,0.0,8.66,3.43,706.76,0.0,1.54
256935042053609,300.2,28,21.47,271.88,6.85,285.15,185.54,292.2,0.0,0.0,0.0,0.0,0.0,0.0,1.49,0.0,2.48,0.0,27.71,20.53,655.46,0.0,1.15
256935047025799,739.92,28,6.13,725.04,8.76,630.09,261.67,729.64,0.0,0.0,0.0,0.0,0.0,0.0,1.27,0.0,2.28,0.0,8.55,3.53,758.83,0.0,1.52
256935052839299,319.28,28,7.23,259.96,52.09,258.79,199.11,264.91,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.0,2.2,0.0,22.11,3.5,643.19,0.0,2.28
256935057960790,762.31,28,7.71,704.22,50.38,626.65,238.04,709.85,0.0,0.0,0.0,0.0,0.0,0.0,1.29,0.0,2.48,0.0,22.86,3.52,675.36,0.0,2.08
256935063836557,285.92,28,6.32,229.62,49.99,229.15,195.75,234.97,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.0,2.31,0.0,27.25,3.65,704.07,0.0,0.97
256935068426563,247.84,28,6.3,234.51,7.03,233.72,177.79,239.66,0.0,0.0,0.0,0.0,0.0,0.0,1.56,0.0,2.62,0.0,8.71,3.54,677.27,0.0,1.15
256935073767146,398.19,28,6.25,343.74,48.19,342.72,197.7,348.85,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,2.5,0.0,8.17,3.46,715.93,0.0,1.15
