# fused-page sweep 2026-08-18T18:34:53Z, cpu 96, binary sha256:
6e09fa3a874b183dcd834beab93f52d719010f98805ee139640413540cabd222  /tmp/amx_fused_bench
Nq=1 variant=amx62 pages=512 iters=800 per_page_ns=1724.4 useful_GFLOPS=19.0 worst_rel_err=0.00e+00
Nq=2 variant=amx62 pages=512 iters=800 per_page_ns=1752.0 useful_GFLOPS=37.4 worst_rel_err=0.00e+00
Nq=3 variant=amx62 pages=512 iters=800 per_page_ns=1912.6 useful_GFLOPS=51.4 worst_rel_err=0.00e+00
Nq=4 variant=amx62 pages=512 iters=800 per_page_ns=2033.6 useful_GFLOPS=64.5 worst_rel_err=0.00e+00
Nq=6 variant=amx62 pages=512 iters=800 per_page_ns=2097.3 useful_GFLOPS=93.7 worst_rel_err=0.00e+00
Nq=8 variant=amx62 pages=512 iters=800 per_page_ns=2142.6 useful_GFLOPS=122.3 worst_rel_err=0.00e+00
Nq=12 variant=amx62 pages=512 iters=800 per_page_ns=2267.3 useful_GFLOPS=173.4 worst_rel_err=0.00e+00
Nq=16 variant=amx62 pages=512 iters=800 per_page_ns=2367.5 useful_GFLOPS=221.5 worst_rel_err=0.00e+00
Nq=1 variant=amxqk pages=512 iters=800 per_page_ns=1337.2 useful_GFLOPS=24.5 worst_rel_err=0.00e+00
Nq=2 variant=amxqk pages=512 iters=800 per_page_ns=1402.6 useful_GFLOPS=46.7 worst_rel_err=0.00e+00
Nq=3 variant=amxqk pages=512 iters=800 per_page_ns=1461.4 useful_GFLOPS=67.3 worst_rel_err=0.00e+00
Nq=4 variant=amxqk pages=512 iters=800 per_page_ns=1470.2 useful_GFLOPS=89.1 worst_rel_err=0.00e+00
Nq=6 variant=amxqk pages=512 iters=800 per_page_ns=1544.1 useful_GFLOPS=127.3 worst_rel_err=0.00e+00
Nq=8 variant=amxqk pages=512 iters=800 per_page_ns=1600.4 useful_GFLOPS=163.8 worst_rel_err=0.00e+00
Nq=12 variant=amxqk pages=512 iters=800 per_page_ns=1713.7 useful_GFLOPS=229.5 worst_rel_err=0.00e+00
Nq=16 variant=amxqk pages=512 iters=800 per_page_ns=1813.1 useful_GFLOPS=289.2 worst_rel_err=0.00e+00
Nq=1 variant=avx pages=16384 iters=25 per_page_ns=1969.9 useful_GFLOPS=16.6 worst_rel_err=0.00e+00
Nq=2 variant=avx pages=16384 iters=25 per_page_ns=2322.7 useful_GFLOPS=28.2 worst_rel_err=0.00e+00
Nq=3 variant=avx pages=16384 iters=25 per_page_ns=2828.4 useful_GFLOPS=34.8 worst_rel_err=0.00e+00
Nq=4 variant=avx pages=16384 iters=25 per_page_ns=3186.3 useful_GFLOPS=41.1 worst_rel_err=0.00e+00
Nq=6 variant=avx pages=16384 iters=25 per_page_ns=3981.0 useful_GFLOPS=49.4 worst_rel_err=0.00e+00
Nq=8 variant=avx pages=16384 iters=25 per_page_ns=4900.9 useful_GFLOPS=53.5 worst_rel_err=0.00e+00
Nq=12 variant=avx pages=16384 iters=25 per_page_ns=6683.1 useful_GFLOPS=58.8 worst_rel_err=0.00e+00
Nq=16 variant=avx pages=16384 iters=25 per_page_ns=8568.2 useful_GFLOPS=61.2 worst_rel_err=0.00e+00
Nq=1 variant=amx44 pages=16384 iters=25 per_page_ns=2181.2 useful_GFLOPS=15.0 worst_rel_err=0.00e+00
Nq=2 variant=amx44 pages=16384 iters=25 per_page_ns=2222.0 useful_GFLOPS=29.5 worst_rel_err=0.00e+00
Nq=3 variant=amx44 pages=16384 iters=25 per_page_ns=2276.1 useful_GFLOPS=43.2 worst_rel_err=0.00e+00
Nq=4 variant=amx44 pages=16384 iters=25 per_page_ns=2294.0 useful_GFLOPS=57.1 worst_rel_err=0.00e+00
Nq=6 variant=amx44 pages=16384 iters=25 per_page_ns=2376.9 useful_GFLOPS=82.7 worst_rel_err=0.00e+00
Nq=8 variant=amx44 pages=16384 iters=25 per_page_ns=2439.2 useful_GFLOPS=107.5 worst_rel_err=0.00e+00
Nq=12 variant=amx44 pages=16384 iters=25 per_page_ns=2508.3 useful_GFLOPS=156.8 worst_rel_err=0.00e+00
Nq=16 variant=amx44 pages=16384 iters=25 per_page_ns=2583.3 useful_GFLOPS=203.0 worst_rel_err=0.00e+00
Nq=1 variant=amx62 pages=16384 iters=25 per_page_ns=2114.4 useful_GFLOPS=15.5 worst_rel_err=0.00e+00
Nq=2 variant=amx62 pages=16384 iters=25 per_page_ns=2140.6 useful_GFLOPS=30.6 worst_rel_err=0.00e+00
Nq=3 variant=amx62 pages=16384 iters=25 per_page_ns=2288.6 useful_GFLOPS=43.0 worst_rel_err=0.00e+00
Nq=4 variant=amx62 pages=16384 iters=25 per_page_ns=2340.9 useful_GFLOPS=56.0 worst_rel_err=0.00e+00
Nq=6 variant=amx62 pages=16384 iters=25 per_page_ns=2415.1 useful_GFLOPS=81.4 worst_rel_err=0.00e+00
Nq=8 variant=amx62 pages=16384 iters=25 per_page_ns=2470.4 useful_GFLOPS=106.1 worst_rel_err=0.00e+00
Nq=12 variant=amx62 pages=16384 iters=25 per_page_ns=2561.7 useful_GFLOPS=153.5 worst_rel_err=0.00e+00
Nq=16 variant=amx62 pages=16384 iters=25 per_page_ns=2671.6 useful_GFLOPS=196.2 worst_rel_err=0.00e+00
Nq=1 variant=amxqk pages=16384 iters=25 per_page_ns=1633.4 useful_GFLOPS=20.1 worst_rel_err=0.00e+00
Nq=2 variant=amxqk pages=16384 iters=25 per_page_ns=1668.2 useful_GFLOPS=39.3 worst_rel_err=0.00e+00
Nq=3 variant=amxqk pages=16384 iters=25 per_page_ns=1759.5 useful_GFLOPS=55.9 worst_rel_err=0.00e+00
Nq=4 variant=amxqk pages=16384 iters=25 per_page_ns=1799.8 useful_GFLOPS=72.8 worst_rel_err=0.00e+00
Nq=6 variant=amxqk pages=16384 iters=25 per_page_ns=1907.1 useful_GFLOPS=103.1 worst_rel_err=0.00e+00
Nq=8 variant=amxqk pages=16384 iters=25 per_page_ns=2000.3 useful_GFLOPS=131.1 worst_rel_err=0.00e+00
Nq=12 variant=amxqk pages=16384 iters=25 per_page_ns=2068.9 useful_GFLOPS=190.1 worst_rel_err=0.00e+00
Nq=16 variant=amxqk pages=16384 iters=25 per_page_ns=2150.7 useful_GFLOPS=243.8 worst_rel_err=0.00e+00
