window,start_ts,dur_us,n_slices,n_threads,n_data_ready,n_rope_spans,us:fill_logits_buffer,us:waiting_for_logits,us:notify_listener,us:setup_logits,us:finalize_minibatches,us:construct_minibatches,us:gather_token_data,us:compute_forward_args,us:forward args,us:forward,us:add_tokens,us:finalize_ranges,us:work_queue::do_work get_work,us:poll_dma_completions,us:matmul enqueue,us:Prepare hardware matmul job,us:Launch hardware matmul job,us:legacy hw_prepare,us:legacy tx_launch,us:tx submitting activation DMA request,us:rx collecting results,us:data ready,us:Rope Q,us:Free scratchpads,us:other
24,137016249099763,1091.671,213,10,24,0,455.599,179.893,462.082,0.445,0.443,4.968,0.245,18.357,0.0,73.939,0.76,0.953,1.091,0.0,12.153,68.461,19.028,53.715,1445.004,23.18,982.322,0.0,0.0,2.679,417.111
25,137016254214244,1003.51,211,10,24,0,387.656,169.236,393.761,0.356,0.465,5.319,0.236,17.081,0.0,75.887,0.73,1.035,1.273,0.0,8.541,74.083,16.515,61.155,1348.544,23.47,909.391,0.0,0.0,3.062,431.484
26,137016259270684,953.824,213,10,24,0,360.832,178.706,366.898,0.419,0.557,5.093,0.253,18.625,0.0,77.079,0.655,1.046,1.268,0.0,12.007,85.873,19.236,72.509,1162.927,23.045,912.558,0.0,0.0,4.13,428.681
27,137016264199545,1714.745,222,10,24,0,633.561,185.844,719.347,3.231,1.933,45.741,1.222,86.225,0.0,283.961,7.043,7.609,7.258,0.0,11.546,79.627,137.096,60.731,1303.093,22.696,1018.588,0.0,0.0,3.133,564.35
28,137016270038085,2003.209,228,10,26,0,664.928,177.345,737.849,2.357,1.56,48.483,1.212,76.601,0.0,229.884,6.597,7.559,5.358,0.0,10.619,203.294,17.351,55.191,2976.827,286.119,960.284,0.0,0.0,3.285,541.366
29,137016276097441,1790.816,221,10,24,0,632.335,179.918,701.744,1.15,5.844,53.254,0.507,86.991,0.0,289.794,7.476,7.775,5.175,0.0,8.846,79.548,16.414,63.749,1337.197,27.158,946.667,0.0,0.0,4.053,575.095
30,137016281958565,528.315,200,10,24,0,304.971,173.31,310.928,0.427,0.451,4.847,0.294,17.261,0.0,62.945,0.735,1.064,1.307,0.0,39.565,38.098,45.331,28.657,149.275,22.459,933.335,0.0,0.0,3.549,79.148
31,137016286528808,1543.133,211,10,24,0,666.622,182.046,739.375,0.389,0.497,4.564,0.248,92.513,0.0,101.031,15.5,6.137,8.077,0.0,9.961,156.559,17.288,56.788,1247.593,21.554,960.527,0.0,0.0,3.249,422.624
32,137016292110770,1125.973,200,10,20,0,427.727,169.642,434.064,0.363,0.475,5.375,0.233,18.557,0.0,71.912,0.796,1.162,1.356,0.0,7.614,87.677,119.576,69.872,1243.928,27.306,878.904,0.0,0.0,3.343,404.606
33,137016297350908,798.274,224,10,25,0,595.766,183.66,602.322,0.379,0.456,5.45,0.274,19.224,0.0,71.279,0.645,1.128,0.923,0.0,6.868,34.362,13.247,23.088,174.509,22.198,962.552,0.0,0.0,2.792,52.571
34,137016302176495,1059.666,220,10,24,0,440.638,184.318,446.517,0.392,0.506,4.236,0.238,19.529,0.0,70.249,0.618,1.088,0.837,0.0,7.379,94.666,14.237,78.114,1391.968,22.739,978.3,0.0,0.0,3.563,410.617
35,137016307265635,1157.937,223,10,24,0,301.173,176.404,307.337,0.416,8.525,5.283,0.29,19.312,0.0,72.152,0.651,1.204,1.2,0.0,8.046,75.484,15.29,60.966,1361.986,25.216,1052.801,0.0,0.0,3.799,650.83
36,137016312451261,1592.882,217,10,24,0,644.071,162.53,690.034,1.298,0.43,49.326,0.618,81.178,0.0,195.841,7.636,5.845,3.357,0.0,104.142,86.691,110.884,68.563,1521.386,23.128,896.985,0.0,0.0,3.449,541.775
37,137016318047014,1157.741,234,10,28,0,398.56,214.089,404.715,0.201,0.557,4.563,0.255,19.165,0.0,65.434,0.609,1.172,0.966,0.0,8.432,67.77,15.451,54.154,846.276,87.649,1007.331,0.0,0.0,3.876,396.949
38,137016323253636,963.544,199,10,24,0,372.158,190.531,378.359,0.434,0.449,5.097,0.233,19.03,0.0,63.777,1.006,1.156,0.979,0.0,6.259,163.852,12.205,51.721,871.476,22.251,964.645,0.0,0.0,3.438,393.896
39,137016328234200,440.338,211,10,24,0,235.94,180.004,241.904,0.377,0.412,5.151,0.245,18.444,0.0,64.482,1.301,1.06,0.965,0.0,8.384,39.285,20.227,29.97,169.037,21.117,909.703,0.0,0.0,3.41,61.01
40,137016332687356,1413.544,226,10,25,0,646.856,176.918,715.449,0.363,0.457,4.166,0.244,18.036,0.0,62.155,0.617,1.156,1.036,0.0,110.457,86.811,117.093,68.668,1234.614,28.163,988.042,0.0,0.0,3.835,403.41
41,137016338145264,946.474,212,10,24,0,643.137,177.372,679.824,0.359,0.474,4.535,0.253,29.484,0.0,64.644,5.419,1.136,6.596,0.0,6.906,39.102,13.763,19.692,166.694,21.477,905.488,0.0,0.0,3.898,60.893
42,137016343143419,2001.394,213,10,24,0,636.804,190.223,695.977,3.956,1.2,48.446,2.507,92.494,0.0,286.246,5.944,10.362,4.081,0.0,7.81,175.39,14.737,51.028,2523.974,23.606,979.833,0.0,0.0,3.655,555.741
43,137016349281587,1748.5,214,10,24,1,635.985,175.084,706.818,1.297,0.473,52.482,0.505,88.751,0.0,280.888,4.335,13.193,4.463,0.0,14.954,182.008,21.473,54.015,1179.653,23.319,937.317,0.0,0.0,3.09,548.684
44,137016355042318,1167.221,226,10,25,0,528.74,168.779,534.57,0.451,0.469,4.67,0.246,18.358,0.0,72.815,0.646,1.154,1.344,0.0,9.406,92.446,16.423,62.82,1413.33,25.828,1019.412,0.0,0.0,3.211,407.751
45,137016360228363,990.667,202,10,24,1,379.689,185.616,386.808,0.375,0.439,4.556,0.266,18.941,0.0,73.724,0.699,1.235,0.997,0.0,7.361,64.577,21.849,50.41,1357.414,24.412,971.502,0.0,0.0,3.478,405.986
46,137016365190362,931.243,231,10,26,0,706.867,177.186,713.16,0.451,0.435,4.626,0.26,18.062,0.0,75.724,0.668,1.337,1.334,0.0,8.37,34.205,15.888,23.145,269.419,23.408,975.697,0.0,0.0,3.638,79.358
47,137016370142935,1874.192,217,10,24,0,648.317,175.981,870.63,0.798,0.779,49.838,0.3,69.983,0.0,344.831,3.448,6.037,4.952,0.0,7.163,77.928,13.974,63.649,1334.605,22.384,941.036,0.0,0.0,3.397,516.912
48,137016376017303,1180.695,219,10,24,0,577.049,175.529,583.106,0.363,0.441,4.414,0.255,18.371,0.0,61.034,0.672,1.253,1.257,0.0,8.401,74.907,15.225,52.149,1338.875,22.442,977.514,0.0,0.0,3.495,400.281
49,137016381252836,1012.56,231,10,27,0,382.53,178.376,388.636,0.371,0.439,5.09,0.244,18.212,0.0,58.71,0.564,1.089,1.038,0.0,7.918,169.586,14.96,60.593,1049.784,29.71,981.101,0.0,0.0,3.497,404.216
50,137016386364503,968.932,220,10,24,0,301.044,171.952,306.831,0.382,0.517,5.071,0.278,19.066,0.0,62.355,0.662,1.325,1.186,0.0,8.593,168.558,15.105,153.738,1285.491,22.369,959.151,0.0,0.0,3.666,394.385
51,137016391318366,1781.526,211,10,24,0,657.402,226.902,750.459,0.376,0.467,4.675,0.225,18.822,0.0,64.442,0.605,1.104,1.326,0.0,9.47,463.769,16.495,450.819,1447.107,22.296,974.248,0.0,0.0,3.673,396.095
52,137016397130530,1095.954,232,10,27,1,358.485,182.971,366.912,0.365,0.44,4.247,0.269,18.884,0.0,70.392,0.552,1.227,1.236,0.0,14.122,188.292,20.584,77.332,1293.478,26.949,1062.534,0.0,0.0,3.027,407.826
53,137016402277717,955.831,216,10,24,0,330.652,177.393,336.246,0.375,0.447,4.859,0.255,18.777,0.0,75.196,0.703,1.198,1.032,0.0,9.703,70.571,26.636,60.883,1407.248,22.07,958.571,0.0,0.0,2.972,409.864
54,137016407325415,447.4,222,10,24,0,235.268,180.18,241.354,0.368,0.445,4.452,0.26,19.046,0.0,72.462,0.655,1.534,0.767,0.0,7.527,47.344,14.016,22.68,170.157,21.247,980.988,0.0,0.0,3.61,50.505
55,137016411834461,515.934,205,10,22,0,300.366,167.99,306.744,0.499,0.417,5.238,0.259,18.589,0.0,75.804,0.598,1.146,1.172,0.0,7.93,26.811,14.667,22.639,276.803,29.309,841.542,0.0,0.0,3.214,97.299
56,137016416453484,962.208,193,10,24,0,328.052,175.675,333.555,0.376,0.502,4.406,0.259,18.52,0.0,74.084,0.773,1.278,1.243,0.0,6.614,59.973,12.053,41.676,1455.826,22.841,968.686,0.0,0.0,3.921,398.991
57,137016421499811,508.383,210,10,24,0,303.163,169.299,310.096,0.364,0.456,5.36,0.254,19.873,0.0,78.473,0.588,1.273,0.797,0.0,7.428,32.159,14.043,21.73,180.988,19.265,915.446,0.0,0.0,7.951,69.967
58,137016426057771,1122.968,217,10,24,0,502.983,183.133,509.234,0.296,0.475,5.1,0.24,28.757,0.0,65.36,0.626,10.886,0.774,0.0,7.552,82.207,14.029,64.945,1362.246,21.248,994.246,0.0,0.0,3.62,409.109
59,137016431218928,1034.055,210,10,23,0,425.8,164.421,431.498,0.373,0.457,5.071,0.286,19.043,0.0,62.153,0.672,1.133,0.958,0.0,8.264,74.204,15.26,62.347,1385.059,23.913,918.958,0.0,0.0,3.921,413.913
60,137016436349597,997.137,214,10,24,0,306.034,168.303,312.01,0.369,0.569,4.74,0.238,18.481,0.0,62.996,0.7,1.184,0.772,0.0,8.029,399.072,14.508,378.901,542.863,22.412,870.293,0.0,0.0,2.702,417.419
61,137016441382044,1668.07,201,10,24,0,641.04,174.441,717.659,1.873,0.75,50.517,0.517,78.974,0.0,255.096,5.823,9.314,2.323,0.0,6.352,166.867,11.839,51.009,1008.013,22.224,890.001,0.0,0.0,3.043,564.213
62,137016447077201,1139.132,228,10,26,0,533.745,175.773,540.753,0.389,0.423,4.706,0.254,18.526,0.0,63.993,0.662,1.241,0.977,0.0,9.021,165.962,16.484,151.248,1031.906,25.874,1017.133,0.0,0.0,3.051,410.483
63,137016452229264,420.271,209,10,24,0,221.075,172.791,227.114,0.368,0.411,4.366,0.232,18.662,0.0,59.864,0.893,1.046,1.252,0.0,8.029,38.843,19.73,20.006,180.422,21.508,913.193,0.0,0.0,2.737,59.599
64,137016456671963,694.23,199,10,23,0,222.247,188.288,227.92,0.363,0.471,4.882,0.242,19.752,0.0,63.878,0.752,1.16,1.124,0.0,7.245,181.54,12.893,164.648,708.773,22.25,921.522,0.0,0.0,3.431,332.168
65,137016461371970,916.596,201,10,24,0,238.81,227.544,244.311,0.378,0.415,5.02,0.253,18.812,0.0,63.945,0.583,1.274,1.14,0.0,7.739,159.676,13.148,147.607,1138.961,80.793,929.294,0.0,0.0,3.66,404.435
66,137016466324129,1008.476,225,10,25,0,302.383,180.581,309.091,0.36,0.415,4.646,0.235,19.549,0.0,60.292,0.937,1.178,0.884,0.0,8.995,176.386,15.96,64.816,1316.864,22.524,1033.602,0.0,0.0,2.577,415.581
67,137016471381840,971.129,194,10,24,0,303.943,182.962,309.525,0.377,0.471,4.486,0.244,19.329,0.0,62.152,0.585,1.078,0.829,0.0,8.845,67.516,108.26,61.958,1185.107,22.867,949.0,0.0,0.0,3.986,400.059
68,137016476420495,1716.611,197,10,24,0,640.959,169.969,710.625,0.371,0.463,58.466,0.558,94.28,0.0,258.903,3.895,5.949,2.126,0.0,111.095,73.303,116.903,56.828,1106.375,23.564,908.601,0.0,0.0,2.898,534.794
69,137016482221625,999.184,193,10,24,0,400.582,176.803,406.794,0.375,0.486,4.203,0.243,18.251,0.0,65.468,0.582,0.948,1.317,0.0,7.605,138.35,13.585,48.315,995.01,24.023,919.405,0.0,0.0,3.754,400.513
70,137016487235993,1035.344,217,10,24,0,241.157,166.732,246.782,0.391,0.429,4.551,0.244,19.534,0.0,60.141,0.961,1.059,1.009,0.0,10.923,232.253,17.647,72.22,1370.976,22.802,909.615,0.0,0.0,2.794,388.565
71,137016492341066,974.039,236,10,28,1,246.779,176.849,253.103,0.381,0.462,4.527,0.234,18.826,0.0,69.526,0.658,1.055,1.094,0.0,7.479,195.054,18.235,179.982,1290.532,26.582,993.989,0.0,0.0,3.5,428.698
72,137016497298525,939.738,216,10,24,0,310.693,186.57,316.511,0.374,0.45,4.572,0.25,19.5,0.0,73.797,0.604,1.25,1.301,0.0,8.401,71.307,26.791,61.417,1382.011,22.126,950.765,0.0,0.0,3.699,414.067
73,137016502278918,1785.786,207,10,23,0,661.158,171.842,731.478,0.376,0.423,52.555,0.747,81.739,0.0,176.17,8.177,5.458,3.054,0.0,12.922,76.255,19.869,53.773,2093.789,20.504,1263.713,0.0,0.0,3.806,511.284
74,137016508113521,1130.82,194,10,24,0,308.236,172.95,521.721,0.437,0.469,4.935,0.234,19.493,0.0,71.862,0.621,1.418,0.956,0.0,6.298,66.345,12.926,55.864,1335.57,23.284,918.415,0.0,0.0,3.617,416.481
