window,start_ts,span_us,work_cov_us,wait_cov_us,idle_us,biggest_gap_us,gap_at_off_us,gap_before,gap_after,last_dataready_off_us,fill_end_off_us,listener_start_off_us,wcls_last_dr_off_us,dispatch_first_dr_off_us
0,137016122966367,50.0,36.7,0.0,13.3,8.3,18.8,Launch hardware matmul job@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,,,,,
1,137016127205991,1090.6,323.7,723.4,43.6,11.6,975.6,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,1088.3,975.6,399.3,570.1,1074.6
2,137016132279306,1791.5,620.1,905.2,266.2,87.3,93.6,rx collecting results@147/0-RX-10,Launch hardware matmul job@24/?-work_queue,1788.6,1489.2,663.6,677.1,1773.1
3,137016138113998,983.2,111.5,807.8,63.9,45.8,852.6,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,981.1,852.6,79.7,90.5,967.7
4,137016143073326,1103.9,471.2,551.4,81.3,52.8,427.4,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1089.4,1009.0,482.4,491.3,1087.8
5,137016148287789,978.0,605.8,280.1,92.1,56.6,569.1,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,975.5,881.1,627.7,632.5,962.4
6,137016153253114,1797.0,777.0,803.3,216.8,61.7,535.4,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1788.3,1363.6,599.5,604.8,1774.5
7,137016159195302,1665.1,662.2,749.1,253.8,100.7,1538.2,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1662.8,1195.8,478.8,489.4,1648.6
8,137016164829154,667.3,294.7,344.2,28.4,12.6,619.7,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,664.8,565.8,265.3,269.7,642.3
9,137016169567102,1645.2,677.5,768.9,198.9,99.9,1510.4,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1642.2,1183.7,449.0,680.3,1628.3
10,137016175225689,1680.8,667.4,776.2,237.3,88.5,1556.9,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1678.2,1230.8,492.3,496.1,1663.9
11,137016180947212,1134.1,248.3,753.1,132.7,86.1,828.5,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,1131.2,828.5,111.5,117.4,1107.9
12,137016186165587,1043.5,502.4,453.2,87.8,59.9,450.4,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1040.2,937.7,512.6,524.3,1025.2
13,137016191176786,1039.8,491.7,458.1,90.0,60.7,442.6,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1037.5,936.2,505.6,520.6,1015.2
14,137016196190427,1870.6,683.0,1012.3,175.3,66.5,700.1,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1868.0,1506.6,768.1,779.1,1853.9
15,137016202074323,1120.9,496.9,541.8,82.2,53.2,479.5,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1118.4,1013.9,534.7,542.0,1104.2
16,137016207220494,522.8,149.8,346.8,26.2,13.3,484.1,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,520.0,415.0,109.8,119.9,507.6
17,137016211726969,1461.1,611.2,757.8,92.1,62.9,860.6,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1458.5,1367.6,925.1,1035.0,1445.7
18,137016217243595,857.2,128.1,705.9,23.2,10.0,821.7,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,842.5,766.3,101.8,112.2,841.2
