window,start_ts,span_us,work_cov_us,wait_cov_us,idle_us,biggest_gap_us,gap_at_off_us,gap_before,gap_after,last_dataready_off_us,fill_end_off_us,listener_start_off_us,wcls_last_dr_off_us,dispatch_first_dr_off_us
0,137334769080020,849.1,216.7,593.0,39.4,11.3,810.0,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,845.9,723.1,408.6,415.7,832.7
1,137334773828132,1840.7,867.5,697.2,276.0,100.0,1712.4,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1838.3,1280.4,484.2,624.2,1822.8
2,137334779665948,503.6,125.6,347.3,30.8,13.9,462.3,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,500.5,404.9,103.1,108.5,486.0
3,137334784143362,518.8,130.5,362.2,26.1,12.6,480.5,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,504.2,426.7,114.4,120.4,502.2
4,137334788764998,498.6,121.4,350.6,26.6,13.3,459.6,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,496.1,406.3,101.7,108.2,481.8
5,137334793235802,1008.1,580.5,334.9,92.8,62.3,536.9,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,998.6,905.2,600.5,606.6,982.7
6,137334798213431,1006.4,502.9,422.4,81.2,55.2,483.7,rx collecting results@149/0-RX-38,prepare streams@25/0-worker,1003.7,902.7,540.1,545.0,979.2
7,137334803138889,1083.6,516.1,474.5,93.0,64.9,464.0,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1081.4,975.2,530.5,544.1,1055.9
8,137334808220612,505.3,124.0,354.8,26.5,11.6,455.9,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,503.0,402.3,98.2,106.9,488.0
9,137334812731113,718.8,354.8,335.7,28.3,13.5,677.9,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,715.9,612.8,308.7,313.2,701.7
10,137334817488438,1587.6,666.0,748.1,173.5,89.2,1220.0,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,1584.6,1220.0,520.4,535.2,1570.7
11,137334823124710,966.4,110.4,750.6,105.4,62.6,790.9,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,963.7,790.9,102.8,117.3,949.7
12,137334828108554,936.0,487.7,349.9,98.4,67.2,455.0,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,933.8,835.0,523.3,527.7,919.0
13,137334833104479,2280.0,1144.8,875.5,259.6,93.6,2159.4,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,2277.2,1760.8,910.3,922.7,2262.7
14,137334839377222,922.8,490.6,337.2,95.0,64.7,432.1,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,920.1,823.4,498.1,513.3,905.1
15,137334844328867,1045.0,604.0,298.2,142.8,107.6,584.2,rx collecting results@150/0-RX-3b,kernel_add_rmsnorm_71@25/0-worker,1042.7,952.8,706.9,719.8,1029.3
16,137334849339594,1418.6,610.5,713.4,94.7,65.4,954.5,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1416.0,1315.5,1021.4,1035.3,1395.2
17,137334854755861,432.6,134.5,271.7,26.4,11.3,386.3,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,429.5,328.4,102.8,108.6,407.5
18,137334859216197,1004.6,500.2,418.5,85.9,58.5,467.2,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1002.0,899.7,526.9,536.2,987.6
19,137334864172932,500.9,117.4,356.9,26.6,13.4,461.0,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,498.5,397.9,89.2,94.6,483.9
20,137334868680728,414.5,110.5,270.9,33.1,10.9,377.5,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,412.1,311.0,91.3,96.3,397.5
21,137334873108863,1117.9,499.0,526.9,92.0,56.2,449.1,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1115.8,1014.7,506.5,517.8,1102.0
22,137334878183629,1092.2,792.6,222.8,76.8,53.4,449.4,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1089.7,1000.7,504.2,508.4,1075.4
23,137334883321248,916.2,496.5,333.5,86.2,60.5,451.0,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,913.7,823.3,513.5,523.0,900.3
24,137334888283575,1023.4,482.3,391.9,149.2,67.3,545.6,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1021.3,931.7,614.1,621.1,1007.2
25,137334893344480,512.5,125.0,363.7,23.9,11.2,474.5,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,509.7,422.5,102.4,113.2,496.0
26,137334897845397,544.7,237.1,280.6,27.0,10.4,503.3,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,541.8,445.9,204.5,211.3,523.0
27,137334902358798,475.1,170.2,280.0,24.9,12.0,429.3,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,472.5,374.4,128.6,134.5,450.4
28,137334906819749,645.5,268.9,344.9,31.6,17.2,590.0,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,643.1,536.5,235.2,239.6,616.8
29,137334911502384,1580.7,542.8,875.6,162.3,87.4,1334.9,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,1578.2,1334.9,510.0,522.5,1563.8
30,137334917104051,1824.5,848.7,749.2,226.7,80.1,1717.7,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1822.4,1255.7,546.5,564.5,1807.4
31,137334922966234,1113.7,230.2,757.7,125.8,83.2,814.4,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,1099.0,814.4,117.9,140.3,1097.1
32,137334928170051,423.5,126.0,272.1,25.4,11.5,386.8,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,421.3,331.0,90.3,107.0,407.7
33,137334932580969,435.9,130.4,282.9,22.6,10.6,392.5,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,432.9,340.9,105.7,111.5,412.5
